financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population"
2017/2018,Sydney,8.9,13.9
2017/2018,Western NSW,11.5,14.1
2017/2018,Western Sydney,8.6,9.3
2018/2019,Central Coast,7.8,13.3
2018/2019,Hunter New England,9.9,10.4
2018/2019,Illawarra Shoalhaven,10.1,10.4
2018/2019,Mid North Coast,9.1,8.8
2018/2019,Murrumbidgee,9.2,8.2
2018/2019,Nepean Blue Mountains,9.4,13.0
2018/2019,Northern NSW,5.7,10.7
2018/2019,Northern Sydney,9.1,9.5
2018/2019,South Eastern Sydney,6.6,8.4
2018/2019,South Western Sydney,7.7,9.9
2018/2019,Southern NSW,9.5,9.4
2018/2019,Sydney,8.2,12.1
2018/2019,Western NSW,11.9,12.9
2018/2019,Western Sydney,8.3,9.5
2019/2020,Central Coast,7.2,11.2
2019/2020,Hunter New England,7.6,7.3
2019/2020,Illawarra Shoalhaven,9.1,7.7
2019/2020,Mid North Coast,8.7,6.4
2019/2020,Murrumbidgee,8.0,6.3
2019/2020,Nepean Blue Mountains,8.0,12.0
2019/2020,Northern NSW,4.7,10.3
2019/2020,Northern Sydney,8.2,7.8
2019/2020,South Eastern Sydney,5.8,6.4
2019/2020,South Western Sydney,5.9,8.7
2019/2020,Southern NSW,8.0,7.4
2019/2020,Sydney,6.9,9.8
2019/2020,Western NSW,9.8,11.4
2019/2020,Western Sydney,7.2,9.2
2020/2021,Central Coast,4.8,7.5
2020/2021,Hunter New England,4.6,5.8
2020/2021,Illawarra Shoalhaven,4.8,6.5
2020/2021,Mid North Coast,5.3,4.2
2020/2021,Murrumbidgee,5.8,5.2
2020/2021,Nepean Blue Mountains,6.3,9.0
2020/2021,Northern NSW,3.3,5.8
2020/2021,Northern Sydney,5.7,6.3
2020/2021,South Eastern Sydney,4.2,5.2
2020/2021,South Western Sydney,4.8,6.3
2020/2021,Southern NSW,3.9,4.5
2020/2021,Sydney,4.0,6.0
2020/2021,Western NSW,4.8,8.6
2020/2021,Western Sydney,4.0,5.7
