Disease type,Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Influenza and pneumonia,Males,Hunter New England LHD,01/02,354.7,336.2,373.8
Influenza and pneumonia,Males,Hunter New England LHD,02/03,355.9,337.6,375
Influenza and pneumonia,Males,Hunter New England LHD,03/04,362.9,344.6,382
Influenza and pneumonia,Males,Hunter New England LHD,04/05,371.9,353.5,391
Influenza and pneumonia,Males,Hunter New England LHD,05/06,326.1,308.9,343.9
Influenza and pneumonia,Males,Hunter New England LHD,06/07,330.3,313.4,347.9
Influenza and pneumonia,Males,Hunter New England LHD,07/08,330.4,313.6,347.9
Influenza and pneumonia,Males,Hunter New England LHD,08/09,323.1,306.6,340.2
Influenza and pneumonia,Males,Hunter New England LHD,09/10,316.6,300.4,333.3
Influenza and pneumonia,Males,Hunter New England LHD,10/11,321.3,305.2,338.1
Influenza and pneumonia,Males,Hunter New England LHD,11/12,358.1,341.2,375.6
Influenza and pneumonia,Males,Hunter New England LHD,12/13,305.2,289.9,321.1
Influenza and pneumonia,Males,Hunter New England LHD,13/14,325.8,310.1,342
Influenza and pneumonia,Males,Hunter New England LHD,14/15,391,373.9,408.6
Influenza and pneumonia,Males,Hunter New England LHD,15/16,398.9,381.6,416.8
Influenza and pneumonia,Males,Hunter New England LHD,16/17,395.9,379,413.4
Influenza and pneumonia,Males,Hunter New England LHD,17/18,461,443,479.6
Influenza and pneumonia,Males,Hunter New England LHD,18/19,417.6,400.4,435.4
Influenza and pneumonia,Males,Hunter New England LHD,19/20,379.1,362.9,395.7
Influenza and pneumonia,Males,Hunter New England LHD,20/21,253.1,240.3,266.4
Influenza and pneumonia,Males,Hunter New England LHD,21/22,318.2,303.7,333.4
Influenza and pneumonia,Males,Northern NSW LHD,01/02,375.9,344,409.9
Influenza and pneumonia,Males,Northern NSW LHD,02/03,362.3,331.2,395.5
Influenza and pneumonia,Males,Northern NSW LHD,03/04,346.5,316.1,379.2
Influenza and pneumonia,Males,Northern NSW LHD,04/05,306.6,278.4,337
Influenza and pneumonia,Males,Northern NSW LHD,05/06,328.9,299.3,360.7
Influenza and pneumonia,Males,Northern NSW LHD,06/07,282.3,255.6,311.2
Influenza and pneumonia,Males,Northern NSW LHD,07/08,350.7,321.2,382.2
Influenza and pneumonia,Males,Northern NSW LHD,08/09,313,285.3,342.6
Influenza and pneumonia,Males,Northern NSW LHD,09/10,342.4,313.3,373.6
Influenza and pneumonia,Males,Northern NSW LHD,10/11,306.5,279.4,335.5
Influenza and pneumonia,Males,Northern NSW LHD,11/12,348.9,320.5,379.2
Influenza and pneumonia,Males,Northern NSW LHD,12/13,287,261.5,314.3
Influenza and pneumonia,Males,Northern NSW LHD,13/14,325.9,298.3,355.4
Influenza and pneumonia,Males,Northern NSW LHD,14/15,320.6,293.8,349.2
Influenza and pneumonia,Males,Northern NSW LHD,15/16,387.6,357.9,419.2
Influenza and pneumonia,Males,Northern NSW LHD,16/17,375.3,346.8,405.6
Influenza and pneumonia,Males,Northern NSW LHD,17/18,445,413.9,477.9
Influenza and pneumonia,Males,Northern NSW LHD,18/19,399.8,369.5,431.9
Influenza and pneumonia,Males,Northern NSW LHD,19/20,414.7,384.7,446.4
Influenza and pneumonia,Males,Northern NSW LHD,20/21,212.6,192.1,234.8
Influenza and pneumonia,Males,Northern NSW LHD,21/22,320.8,295.6,347.8
Influenza and pneumonia,Males,Mid North Coast LHD,01/02,381.6,343.4,423
Influenza and pneumonia,Males,Mid North Coast LHD,02/03,427.1,387.2,470
Influenza and pneumonia,Males,Mid North Coast LHD,03/04,504.8,461.3,551.5
Influenza and pneumonia,Males,Mid North Coast LHD,04/05,421.5,382.9,463.1
Influenza and pneumonia,Males,Mid North Coast LHD,05/06,403.7,365.9,444.4
Influenza and pneumonia,Males,Mid North Coast LHD,06/07,389.1,352.4,428.7
Influenza and pneumonia,Males,Mid North Coast LHD,07/08,430.9,392.7,471.8
Influenza and pneumonia,Males,Mid North Coast LHD,08/09,391,354.7,430
Influenza and pneumonia,Males,Mid North Coast LHD,09/10,376.8,341.6,414.8
Influenza and pneumonia,Males,Mid North Coast LHD,10/11,340.1,308.2,374.7
Influenza and pneumonia,Males,Mid North Coast LHD,11/12,393,358.3,430.4
Influenza and pneumonia,Males,Mid North Coast LHD,12/13,399.6,365.3,436.6
Influenza and pneumonia,Males,Mid North Coast LHD,13/14,324.7,295.1,356.8
Influenza and pneumonia,Males,Mid North Coast LHD,14/15,399.9,366.2,436.1
Influenza and pneumonia,Males,Mid North Coast LHD,15/16,451.9,414.9,491.5
Influenza and pneumonia,Males,Mid North Coast LHD,16/17,408.1,373.7,445
Influenza and pneumonia,Males,Mid North Coast LHD,17/18,429.6,394.7,466.9
Influenza and pneumonia,Males,Mid North Coast LHD,18/19,399.5,366,435.4
Influenza and pneumonia,Males,Mid North Coast LHD,19/20,392.8,359.6,428.5
Influenza and pneumonia,Males,Mid North Coast LHD,20/21,285.5,257.5,315.8
Influenza and pneumonia,Males,Mid North Coast LHD,21/22,328.2,298.4,360.4
Influenza and pneumonia,Males,Southern NSW LHD,01/02,350.9,312.3,393
Influenza and pneumonia,Males,Southern NSW LHD,02/03,376,336.3,419
Influenza and pneumonia,Males,Southern NSW LHD,03/04,397.7,357.2,441.6
Influenza and pneumonia,Males,Southern NSW LHD,04/05,371.6,333.4,413
Influenza and pneumonia,Males,Southern NSW LHD,05/06,322,287,360.2
Influenza and pneumonia,Males,Southern NSW LHD,06/07,298.6,265,335.3
Influenza and pneumonia,Males,Southern NSW LHD,07/08,406.6,367.8,448.5
Influenza and pneumonia,Males,Southern NSW LHD,08/09,392.4,355.2,432.6
Influenza and pneumonia,Males,Southern NSW LHD,09/10,391.5,354.5,431.5
Influenza and pneumonia,Males,Southern NSW LHD,10/11,455.8,416.1,498.5
Influenza and pneumonia,Males,Southern NSW LHD,11/12,431.8,393.7,472.8
Influenza and pneumonia,Males,Southern NSW LHD,12/13,362.3,328.2,399.2
Influenza and pneumonia,Males,Southern NSW LHD,13/14,354.1,320.4,390.5
Influenza and pneumonia,Males,Southern NSW LHD,14/15,371.9,337.5,408.9
Influenza and pneumonia,Males,Southern NSW LHD,15/16,414.9,378.7,453.8
Influenza and pneumonia,Males,Southern NSW LHD,16/17,451.8,414.6,491.6
Influenza and pneumonia,Males,Southern NSW LHD,17/18,504.5,465.9,545.6
Influenza and pneumonia,Males,Southern NSW LHD,18/19,454.3,417.5,493.7
Influenza and pneumonia,Males,Southern NSW LHD,19/20,421.6,386.9,458.6
Influenza and pneumonia,Males,Southern NSW LHD,20/21,294.1,265.7,324.9
Influenza and pneumonia,Males,Southern NSW LHD,21/22,329.3,299.8,361.2
Influenza and pneumonia,Males,Murrumbidgee LHD,01/02,463.5,424.4,505.2
Influenza and pneumonia,Males,Murrumbidgee LHD,02/03,534.8,493.3,578.9
Influenza and pneumonia,Males,Murrumbidgee LHD,03/04,475.2,435.9,517
Influenza and pneumonia,Males,Murrumbidgee LHD,04/05,485.3,445.4,527.7
Influenza and pneumonia,Males,Murrumbidgee LHD,05/06,509.7,470.1,551.8
Influenza and pneumonia,Males,Murrumbidgee LHD,06/07,421.8,386,460.1
Influenza and pneumonia,Males,Murrumbidgee LHD,07/08,484.8,446.6,525.4
Influenza and pneumonia,Males,Murrumbidgee LHD,08/09,465.7,428.7,505.1
Influenza and pneumonia,Males,Murrumbidgee LHD,09/10,446.1,410,484.6
Influenza and pneumonia,Males,Murrumbidgee LHD,10/11,519.4,480.8,560.3
Influenza and pneumonia,Males,Murrumbidgee LHD,11/12,504.6,467,544.6
Influenza and pneumonia,Males,Murrumbidgee LHD,12/13,438.9,404.2,475.8
Influenza and pneumonia,Males,Murrumbidgee LHD,13/14,459.5,424.2,496.9
Influenza and pneumonia,Males,Murrumbidgee LHD,14/15,562.2,523.7,602.9
Influenza and pneumonia,Males,Murrumbidgee LHD,15/16,577.6,538.2,619.1
Influenza and pneumonia,Males,Murrumbidgee LHD,16/17,536.1,498.6,575.7
Influenza and pneumonia,Males,Murrumbidgee LHD,17/18,589.7,550.6,630.9
Influenza and pneumonia,Males,Murrumbidgee LHD,18/19,573.4,534.8,614.2
Influenza and pneumonia,Males,Murrumbidgee LHD,19/20,508.3,472.7,546
Influenza and pneumonia,Males,Murrumbidgee LHD,20/21,351,321.6,382.5
Influenza and pneumonia,Males,Murrumbidgee LHD,21/22,478.6,444.2,515.1
Influenza and pneumonia,Males,Western NSW LHD,01/02,569.8,528.6,613.5
Influenza and pneumonia,Males,Western NSW LHD,02/03,614,571.4,659
Influenza and pneumonia,Males,Western NSW LHD,03/04,658.9,614.6,705.6
Influenza and pneumonia,Males,Western NSW LHD,04/05,598.7,556.3,643.4
Influenza and pneumonia,Males,Western NSW LHD,05/06,554.7,514.5,597.1
Influenza and pneumonia,Males,Western NSW LHD,06/07,488.2,451.1,527.6
Influenza and pneumonia,Males,Western NSW LHD,07/08,544.3,505.2,585.5
Influenza and pneumonia,Males,Western NSW LHD,08/09,503.8,466.7,543
Influenza and pneumonia,Males,Western NSW LHD,09/10,552.3,513.4,593.3
Influenza and pneumonia,Males,Western NSW LHD,10/11,531.6,494.2,571.1
Influenza and pneumonia,Males,Western NSW LHD,11/12,511.8,475.6,550.2
Influenza and pneumonia,Males,Western NSW LHD,12/13,507.8,472.4,545.2
Influenza and pneumonia,Males,Western NSW LHD,13/14,426.5,394.1,460.8
Influenza and pneumonia,Males,Western NSW LHD,14/15,483.2,449.1,519.2
Influenza and pneumonia,Males,Western NSW LHD,15/16,545.3,508.9,583.7
Influenza and pneumonia,Males,Western NSW LHD,16/17,599.4,561.6,639.1
Influenza and pneumonia,Males,Western NSW LHD,17/18,564.7,528.2,603.2
Influenza and pneumonia,Males,Western NSW LHD,18/19,486.6,452.7,522.3
Influenza and pneumonia,Males,Western NSW LHD,19/20,456.8,424.2,491.4
Influenza and pneumonia,Males,Western NSW LHD,20/21,332.4,305,361.8
Influenza and pneumonia,Males,Western NSW LHD,21/22,418.6,388.3,450.8
Influenza and pneumonia,Males,Far West LHD,01/02,406.6,316.7,514.3
Influenza and pneumonia,Males,Far West LHD,02/03,488.7,386.1,610.1
Influenza and pneumonia,Males,Far West LHD,03/04,459.5,359.4,578.8
Influenza and pneumonia,Males,Far West LHD,04/05,390.4,298.2,502
Influenza and pneumonia,Males,Far West LHD,05/06,507.7,400.7,634.2
Influenza and pneumonia,Males,Far West LHD,06/07,407.5,318.1,514.9
Influenza and pneumonia,Males,Far West LHD,07/08,335.2,255.7,432.4
Influenza and pneumonia,Males,Far West LHD,08/09,471.6,373.5,588
Influenza and pneumonia,Males,Far West LHD,09/10,305.8,227.8,402.4
Influenza and pneumonia,Males,Far West LHD,10/11,385,294.9,494
Influenza and pneumonia,Males,Far West LHD,11/12,401.6,310.2,511.7
Influenza and pneumonia,Males,Far West LHD,12/13,358,275.4,458.6
Influenza and pneumonia,Males,Far West LHD,13/14,376.2,291.1,479.4
Influenza and pneumonia,Males,Far West LHD,14/15,372,287.7,474.4
Influenza and pneumonia,Males,Far West LHD,15/16,539.7,433.2,665
Influenza and pneumonia,Males,Far West LHD,16/17,420.3,327.7,531.7
Influenza and pneumonia,Males,Far West LHD,17/18,493,392,612.9
Influenza and pneumonia,Males,Far West LHD,18/19,559.8,454.6,683.1
Influenza and pneumonia,Males,Far West LHD,19/20,606.7,497,734.7
Influenza and pneumonia,Males,Far West LHD,20/21,460.8,366,573.9
Influenza and pneumonia,Males,Far West LHD,21/22,466.5,367.4,585
Influenza and pneumonia,Males,All LHDs,01/02,337,330.4,343.8
Influenza and pneumonia,Males,All LHDs,02/03,339.7,333.1,346.4
Influenza and pneumonia,Males,All LHDs,03/04,346.2,339.6,352.9
Influenza and pneumonia,Males,All LHDs,04/05,332.6,326.1,339.1
Influenza and pneumonia,Males,All LHDs,05/06,314,307.7,320.2
Influenza and pneumonia,Males,All LHDs,06/07,306,300,312.2
Influenza and pneumonia,Males,All LHDs,07/08,335.8,329.6,342.1
Influenza and pneumonia,Males,All LHDs,08/09,317.5,311.5,323.6
Influenza and pneumonia,Males,All LHDs,09/10,314.4,308.5,320.4
Influenza and pneumonia,Males,All LHDs,10/11,324.3,318.5,330.3
Influenza and pneumonia,Males,All LHDs,11/12,345.4,339.4,351.5
Influenza and pneumonia,Males,All LHDs,12/13,312.6,307,318.3
Influenza and pneumonia,Males,All LHDs,13/14,314.1,308.5,319.8
Influenza and pneumonia,Males,All LHDs,14/15,363.9,357.9,369.9
Influenza and pneumonia,Males,All LHDs,15/16,376.8,370.8,382.9
Influenza and pneumonia,Males,All LHDs,16/17,378.6,372.7,384.6
Influenza and pneumonia,Males,All LHDs,17/18,434.2,427.9,440.5
Influenza and pneumonia,Males,All LHDs,18/19,411,404.9,417.1
Influenza and pneumonia,Males,All LHDs,19/20,385.6,379.8,391.5
Influenza and pneumonia,Males,All LHDs,20/21,238.5,234,243.1
Influenza and pneumonia,Males,All LHDs,21/22,419.1,413.2,425.2
Influenza and pneumonia,Females,Sydney LHD,01/02,222.3,204.1,241.7
Influenza and pneumonia,Females,Sydney LHD,02/03,219.4,201.6,238.5
Influenza and pneumonia,Females,Sydney LHD,03/04,221.1,203.2,240.2
Influenza and pneumonia,Females,Sydney LHD,04/05,214.7,197.4,233.2
Influenza and pneumonia,Females,Sydney LHD,05/06,201.1,184,219.2
Influenza and pneumonia,Females,Sydney LHD,06/07,184.1,168.3,201
Influenza and pneumonia,Females,Sydney LHD,07/08,213,196.1,231
Influenza and pneumonia,Females,Sydney LHD,08/09,193.2,177.3,210.2
Influenza and pneumonia,Females,Sydney LHD,09/10,202.8,186.3,220.4
Influenza and pneumonia,Females,Sydney LHD,10/11,220.1,203.3,238
Influenza and pneumonia,Females,Sydney LHD,11/12,220.5,203.9,238.1
Influenza and pneumonia,Females,Sydney LHD,12/13,198.3,182.8,214.8
Influenza and pneumonia,Females,Sydney LHD,13/14,203.5,187.9,220.1
