financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population","Persons rate per 100,000 population"
2004/2005,Nepean Blue Mountains,276.0,364.9,314.9
2005/2006,Nepean Blue Mountains,253.4,341.5,287.4
2006/2007,Nepean Blue Mountains,262.6,344.1,299.0
2007/2008,Nepean Blue Mountains,320.1,447.8,375.6
2008/2009,Nepean Blue Mountains,251.5,340.9,287.7
2009/2010,Nepean Blue Mountains,244.1,325.6,280.3
2010/2011,Nepean Blue Mountains,312.5,413.6,353.1
2014/2015,Nepean Blue Mountains,320.3,392.5,351.1
2015/2016,Nepean Blue Mountains,326.5,391.9,353.1
2016/2017,Nepean Blue Mountains,301.2,372.5,332.8
2017/2018,Nepean Blue Mountains,386.6,479.6,427.0
2018/2019,Nepean Blue Mountains,370.6,425.4,392.3
2019/2020,Nepean Blue Mountains,354.3,376.5,362.9
2020/2021,Nepean Blue Mountains,182.8,247.3,210.5
2021/2022,Nepean Blue Mountains,209.175,279.45,240.075
2022/2023,Nepean Blue Mountains,235.55,311.6,269.65
2023/2024,Nepean Blue Mountains,261.925,343.75,299.225
2001/2002,Northern NSW,288.3,375.9,328.8
2002/2003,Northern NSW,318.4,362.3,335.6
2003/2004,Northern NSW,257.0,346.5,298.3
2004/2005,Northern NSW,242.2,306.6,270.6
2005/2006,Northern NSW,251.2,328.9,287.4
2006/2007,Northern NSW,235.6,282.3,255.8
2007/2008,Northern NSW,278.8,350.7,311.7
2008/2009,Northern NSW,291.2,313.0,299.9
2009/2010,Northern NSW,265.5,342.4,302.4
2010/2011,Northern NSW,233.1,306.5,267.2
2014/2015,Northern NSW,291.9,320.6,304.4
2015/2016,Northern NSW,303.2,387.6,341.9
2016/2017,Northern NSW,273.4,375.9,321.5
2017/2018,Northern NSW,358.9,445.0,399.2
2018/2019,Northern NSW,344.3,400.1,370.3
2019/2020,Northern NSW,383.1,414.1,396.5
2020/2021,Northern NSW,190.4,225.8,205.8
2021/2022,Northern NSW,189.5,231.47500000000002,206.72500000000002
2022/2023,Northern NSW,188.60000000000002,237.15,207.65
2023/2024,Northern NSW,187.70000000000002,242.825,208.575
2001/2002,Northern Sydney,186.8,248.5,209.5
2002/2003,Northern Sydney,179.8,247.3,205.3
2003/2004,Northern Sydney,204.1,251.5,222.2
2004/2005,Northern Sydney,199.4,264.3,226.1
2005/2006,Northern Sydney,191.7,242.9,212.1
2006/2007,Northern Sydney,164.1,240.2,194.3
2007/2008,Northern Sydney,197.3,280.1,231.9
2008/2009,Northern Sydney,208.1,268.7,233.2
2009/2010,Northern Sydney,200.7,247.1,218.2
2010/2011,Northern Sydney,217.9,267.0,237.3
2014/2015,Northern Sydney,264.6,306.7,281.6
2015/2016,Northern Sydney,274.3,334.9,300.3
2016/2017,Northern Sydney,261.8,319.8,287.1
2017/2018,Northern Sydney,306.0,382.4,339.3
2018/2019,Northern Sydney,302.4,357.5,325.5
2019/2020,Northern Sydney,288.3,338.1,310.2
2020/2021,Northern Sydney,136.4,182.5,156.3
2021/2022,Northern Sydney,154.975,207.375,176.875
2022/2023,Northern Sydney,173.55,232.25,197.45
2023/2024,Northern Sydney,192.125,257.125,218.025
2001/2002,South Eastern Sydney,210.7,282.0,238.6
2002/2003,South Eastern Sydney,228.4,292.5,255.1
2003/2004,South Eastern Sydney,224.7,301.1,255.9
2004/2005,South Eastern Sydney,207.4,281.8,239.2
2005/2006,South Eastern Sydney,188.8,270.1,223.8
2006/2007,South Eastern Sydney,184.8,262.9,218.0
2007/2008,South Eastern Sydney,215.5,276.0,240.4
2008/2009,South Eastern Sydney,187.0,256.9,218.5
2009/2010,South Eastern Sydney,201.4,258.6,224.7
2010/2011,South Eastern Sydney,195.9,260.5,223.1
2014/2015,South Eastern Sydney,251.1,309.0,276.6
2015/2016,South Eastern Sydney,231.1,291.4,257.2
2016/2017,South Eastern Sydney,247.0,316.0,278.3
2017/2018,South Eastern Sydney,300.0,351.5,321.5
2018/2019,South Eastern Sydney,316.5,368.3,339.3
2019/2020,South Eastern Sydney,296.7,337.9,314.3
2020/2021,South Eastern Sydney,135.0,187.1,158.7
2021/2022,South Eastern Sydney,155.975,226.15,187.2
2022/2023,South Eastern Sydney,176.95,265.2,215.7
2023/2024,South Eastern Sydney,197.925,304.25,244.2
2001/2002,South Western Sydney,218.9,343.3,272.7
2002/2003,South Western Sydney,249.7,326.7,284.3
2003/2004,South Western Sydney,252.7,342.7,294.2
2004/2005,South Western Sydney,237.5,302.8,266.3
2005/2006,South Western Sydney,234.6,255.1,242.8
2006/2007,South Western Sydney,218.2,270.3,239.7
2007/2008,South Western Sydney,248.2,301.5,271.6
2008/2009,South Western Sydney,218.1,300.6,254.4
2009/2010,South Western Sydney,236.4,280.4,255.5
2010/2011,South Western Sydney,231.2,296.2,259.4
2014/2015,South Western Sydney,297.4,339.4,314.8
2015/2016,South Western Sydney,308.9,361.2,331.7
2016/2017,South Western Sydney,328.5,386.1,353.2
2017/2018,South Western Sydney,378.6,434.3,402.5
2018/2019,South Western Sydney,358.4,413.1,382.5
2019/2020,South Western Sydney,326.3,384.7,352.2
2020/2021,South Western Sydney,176.4,233.6,202.2
2021/2022,South Western Sydney,200.225,262.925,228.25
2022/2023,South Western Sydney,224.05,292.25,254.29999999999998
2023/2024,South Western Sydney,247.875,321.575,280.34999999999997
2001/2002,Southern NSW,271.7,350.9,306.4
2002/2003,Southern NSW,299.9,376.0,333.0
2003/2004,Southern NSW,292.5,397.7,337.3
2004/2005,Southern NSW,275.5,371.6,322.5
2005/2006,Southern NSW,238.2,322.0,278.8
2006/2007,Southern NSW,249.4,298.6,269.4
2007/2008,Southern NSW,303.6,406.6,348.9
2008/2009,Southern NSW,317.0,391.8,349.0
2009/2010,Southern NSW,299.7,391.5,341.2
2010/2011,Southern NSW,395.9,456.5,420.8
2014/2015,Southern NSW,315.8,371.9,339.8
2015/2016,Southern NSW,347.7,414.9,375.5
2016/2017,Southern NSW,391.8,451.2,419.8
2017/2018,Southern NSW,440.0,505.3,469.1
2018/2019,Southern NSW,383.7,457.8,416.2
2019/2020,Southern NSW,344.0,425.4,381.8
2020/2021,Southern NSW,255.7,306.4,279.9
2021/2022,Southern NSW,247.35,316.04999999999995,278.2
2022/2023,Southern NSW,239.0,325.7,276.5
2023/2024,Southern NSW,230.65,335.35,274.8
2001/2002,Sydney,222.3,345.0,273.1
2002/2003,Sydney,219.4,349.1,273.0
2003/2004,Sydney,221.1,362.4,274.4
2004/2005,Sydney,214.7,364.8,274.0
2005/2006,Sydney,201.7,285.2,235.8
2006/2007,Sydney,184.1,301.6,235.5
2007/2008,Sydney,212.9,291.4,245.9
2008/2009,Sydney,193.2,249.4,217.9
2009/2010,Sydney,202.8,257.6,226.0
2010/2011,Sydney,220.2,279.2,246.1
2014/2015,Sydney,261.7,336.0,294.2
2015/2016,Sydney,260.9,337.7,295.9
2016/2017,Sydney,280.6,376.6,322.7
2017/2018,Sydney,319.9,419.7,365.2
2018/2019,Sydney,281.5,384.0,328.7
2019/2020,Sydney,297.2,382.0,334.9
2020/2021,Sydney,172.8,221.6,193.8
2021/2022,Sydney,239.325,308.65,268.75
2022/2023,Sydney,305.85,395.69999999999993,343.70000000000005
2023/2024,Sydney,372.375,482.75,418.65000000000003
2001/2002,Western NSW,438.9,569.8,493.6
2002/2003,Western NSW,465.9,614.0,529.4
2003/2004,Western NSW,478.0,658.9,558.0
2004/2005,Western NSW,404.8,598.7,490.5
2005/2006,Western NSW,457.2,554.7,501.7
2006/2007,Western NSW,344.8,488.2,408.1
2007/2008,Western NSW,444.3,544.3,487.4
2008/2009,Western NSW,437.0,504.7,466.3
2009/2010,Western NSW,408.0,553.1,471.9
2010/2011,Western NSW,491.8,531.6,508.0
2014/2015,Western NSW,398.0,483.2,436.8
2015/2016,Western NSW,451.6,545.3,493.4
2016/2017,Western NSW,490.2,599.5,539.2
2017/2018,Western NSW,476.2,565.2,515.6
2018/2019,Western NSW,463.4,487.4,472.4
2019/2020,Western NSW,435.9,458.9,444.9
2020/2021,Western NSW,289.3,338.9,312.1
2021/2022,Western NSW,273.525,331.95,299.40000000000003
2022/2023,Western NSW,257.75,325.0,286.70000000000005
2023/2024,Western NSW,241.975,318.05,274.0
2001/2002,Western Sydney,226.2,311.1,261.3
2002/2003,Western Sydney,213.3,299.1,248.6
2003/2004,Western Sydney,235.2,317.1,269.4
2004/2005,Western Sydney,224.3,283.7,247.1
2005/2006,Western Sydney,215.1,291.7,245.8
2006/2007,Western Sydney,222.9,291.3,250.8
2007/2008,Western Sydney,223.5,311.6,260.6
2008/2009,Western Sydney,235.2,304.6,262.8
2009/2010,Western Sydney,222.7,317.2,262.8
2010/2011,Western Sydney,238.2,305.7,267.0
2014/2015,Western Sydney,302.3,335.9,314.7
2015/2016,Western Sydney,297.6,344.5,319.0
2016/2017,Western Sydney,291.9,351.9,318.3
2017/2018,Western Sydney,351.0,413.8,379.7
2018/2019,Western Sydney,362.4,397.2,376.8
2019/2020,Western Sydney,311.1,365.6,334.8
2020/2021,Western Sydney,161.9,228.0,192.9
2021/2022,Western Sydney,161.9,228.0,192.9
2022/2023,Western Sydney,161.9,228.0,192.9
2023/2024,Western Sydney,161.9,228.0,192.9
