Risk group,Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Older adults (65+ years),Males,Murrumbidgee LHD,2015-2016,269,221.4,323.6
Older adults (65+ years),Males,Murrumbidgee LHD,2016-2017,240.7,196.6,291.7
Older adults (65+ years),Males,Murrumbidgee LHD,2017-2018,260.7,215.4,312.8
Older adults (65+ years),Males,Murrumbidgee LHD,2018-2019,265.5,220,317.5
Older adults (65+ years),Males,Murrumbidgee LHD,2019-2020,238.8,196.4,287.6
Older adults (65+ years),Males,Murrumbidgee LHD,2020-2021,240.4,198.5,288.3
Older adults (65+ years),Males,Western NSW LHD,2011-2012,325.1,269.9,388.2
Older adults (65+ years),Males,Western NSW LHD,2012-2013,315.9,262.6,376.8
Older adults (65+ years),Males,Western NSW LHD,2013-2014,330.8,277.3,391.4
Older adults (65+ years),Males,Western NSW LHD,2014-2015,351.5,297.3,412.6
Older adults (65+ years),Males,Western NSW LHD,2015-2016,383.8,327.6,446.8
Older adults (65+ years),Males,Western NSW LHD,2016-2017,403.5,346.4,467.3
Older adults (65+ years),Males,Western NSW LHD,2017-2018,380.1,325.7,440.8
Older adults (65+ years),Males,Western NSW LHD,2018-2019,320.3,271.3,375.6
Older adults (65+ years),Males,Western NSW LHD,2019-2020,273,228.6,323.4
Older adults (65+ years),Males,Western NSW LHD,2020-2021,257.5,215.2,305.7
Older adults (65+ years),Males,Far West LHD,2011-2012,285.6,154.8,481.2
Older adults (65+ years),Males,Far West LHD,2012-2013,448,279.7,678.8
Older adults (65+ years),Males,Far West LHD,2013-2014,390.8,238.1,603.5
Older adults (65+ years),Males,Far West LHD,2014-2015,470.8,301.3,699.7
Older adults (65+ years),Males,Far West LHD,2015-2016,465,296.9,692.9
Older adults (65+ years),Males,Far West LHD,2016-2017,273.6,151.5,455.1
Older adults (65+ years),Males,Far West LHD,2017-2018,344.9,206.3,541.3
Older adults (65+ years),Males,Far West LHD,2018-2019,400,249.5,607.3
Older adults (65+ years),Males,Far West LHD,2019-2020,451.5,288.4,671.7
Older adults (65+ years),Males,Far West LHD,2020-2021,388.2,239.4,593
Older adults (65+ years),Males,All LHDs,2011-2012,215.8,206.4,225.6
Older adults (65+ years),Males,All LHDs,2012-2013,222.3,212.9,232.1
Older adults (65+ years),Males,All LHDs,2013-2014,226.7,217.4,236.4
Older adults (65+ years),Males,All LHDs,2014-2015,223.3,214.1,232.7
Older adults (65+ years),Males,All LHDs,2015-2016,217.7,208.9,226.9
Older adults (65+ years),Males,All LHDs,2016-2017,225.1,216.2,234.2
Older adults (65+ years),Males,All LHDs,2017-2018,210.7,202.3,219.4
Older adults (65+ years),Males,All LHDs,2018-2019,191.1,183.3,199.3
Older adults (65+ years),Males,All LHDs,2019-2020,183.2,175.6,191
Older adults (65+ years),Males,All LHDs,2020-2021,172.8,165.5,180.3
Older adults (65+ years),Females,Sydney LHD,2011-2012,102.7,81.7,127.5
Older adults (65+ years),Females,Sydney LHD,2012-2013,99.6,79.3,123.7
Older adults (65+ years),Females,Sydney LHD,2013-2014,78.9,61.2,100.2
Older adults (65+ years),Females,Sydney LHD,2014-2015,80.7,62.9,101.9
Older adults (65+ years),Females,Sydney LHD,2015-2016,87.7,69.2,109.6
Older adults (65+ years),Females,Sydney LHD,2016-2017,81,63.6,101.9
Older adults (65+ years),Females,Sydney LHD,2017-2018,82.5,65.2,103.2
Older adults (65+ years),Females,Sydney LHD,2018-2019,84.3,66.7,105.3
Older adults (65+ years),Females,Sydney LHD,2019-2020,72.5,56.1,92.2
Older adults (65+ years),Females,Sydney LHD,2020-2021,73.9,57.4,93.7
Older adults (65+ years),Females,South Western Sydney LHD,2011-2012,148,126.5,172.2
Older adults (65+ years),Females,South Western Sydney LHD,2012-2013,141.9,121,165.3
Older adults (65+ years),Females,South Western Sydney LHD,2013-2014,136.8,116.8,159.2
Older adults (65+ years),Females,South Western Sydney LHD,2014-2015,139.2,119.4,161.4
Older adults (65+ years),Females,South Western Sydney LHD,2015-2016,155.8,134.8,179.2
Older adults (65+ years),Females,South Western Sydney LHD,2016-2017,165.4,144.2,188.9
Older adults (65+ years),Females,South Western Sydney LHD,2017-2018,150,130.2,171.9
Older adults (65+ years),Females,South Western Sydney LHD,2018-2019,137.7,119.1,158.3
Older adults (65+ years),Females,South Western Sydney LHD,2019-2020,128.3,110.7,147.9
Older adults (65+ years),Females,South Western Sydney LHD,2020-2021,114.7,98.3,133.2
Older adults (65+ years),Females,South Eastern Sydney LHD,2011-2012,89.9,75.2,106.8
Older adults (65+ years),Females,South Eastern Sydney LHD,2012-2013,96.9,81.4,114.5
Older adults (65+ years),Females,South Eastern Sydney LHD,2013-2014,104.2,88.3,122.2
Older adults (65+ years),Females,South Eastern Sydney LHD,2014-2015,102.6,87.1,120.1
Older adults (65+ years),Females,South Eastern Sydney LHD,2015-2016,100.9,85.6,118.2
Older adults (65+ years),Females,South Eastern Sydney LHD,2016-2017,114,97.8,132.2
Older adults (65+ years),Females,South Eastern Sydney LHD,2017-2018,114,98,132
Older adults (65+ years),Females,South Eastern Sydney LHD,2018-2019,101.6,86.5,118.6
Older adults (65+ years),Females,South Eastern Sydney LHD,2019-2020,104.8,89.4,122.2
Older adults (65+ years),Females,South Eastern Sydney LHD,2020-2021,92.5,78.4,108.6
Older adults (65+ years),Females,Illawarra Shoalhaven LHD,2011-2012,143.1,117.6,172.4
Older adults (65+ years),Females,Illawarra Shoalhaven LHD,2012-2013,146.2,120.9,175.3
Older adults (65+ years),Females,Illawarra Shoalhaven LHD,2013-2014,163.3,136.7,193.5
Older adults (65+ years),Females,Illawarra Shoalhaven LHD,2014-2015,164.7,138.3,194.8
Older adults (65+ years),Females,Illawarra Shoalhaven LHD,2015-2016,172.6,145.7,202.9
Older adults (65+ years),Females,Illawarra Shoalhaven LHD,2016-2017,197,168.9,228.6
Older adults (65+ years),Females,Illawarra Shoalhaven LHD,2017-2018,177.8,151.6,207.4
Older adults (65+ years),Females,Illawarra Shoalhaven LHD,2018-2019,172.7,146.8,201.9
Older adults (65+ years),Females,Illawarra Shoalhaven LHD,2019-2020,177.8,151.6,207.2
Older adults (65+ years),Females,Illawarra Shoalhaven LHD,2020-2021,169.4,144.3,197.7
Older adults (65+ years),Females,Western Sydney LHD,2011-2012,127.1,105.4,151.8
Older adults (65+ years),Females,Western Sydney LHD,2012-2013,120.9,100.5,144.4
Older adults (65+ years),Females,Western Sydney LHD,2013-2014,120.6,100.7,143.3
Older adults (65+ years),Females,Western Sydney LHD,2014-2015,118.8,99,141.5
Older adults (65+ years),Females,Western Sydney LHD,2015-2016,135.5,114.2,159.6
Older adults (65+ years),Females,Western Sydney LHD,2016-2017,140.2,119,164
Older adults (65+ years),Females,Western Sydney LHD,2017-2018,119.7,100.6,141.3
Older adults (65+ years),Females,Western Sydney LHD,2018-2019,116.3,97.8,137.2
Older adults (65+ years),Females,Western Sydney LHD,2019-2020,98.7,82,117.8
Older adults (65+ years),Females,Western Sydney LHD,2020-2021,97.1,80.8,115.6
Older adults (65+ years),Females,Nepean Blue Mountains LHD,2011-2012,198.4,159.2,244.3
Older adults (65+ years),Females,Nepean Blue Mountains LHD,2012-2013,197.4,159.4,241.9
Older adults (65+ years),Females,Nepean Blue Mountains LHD,2013-2014,181.9,145.7,224.4
Older adults (65+ years),Females,Nepean Blue Mountains LHD,2014-2015,199.4,161.4,243.6
Older adults (65+ years),Females,Nepean Blue Mountains LHD,2015-2016,200.3,163.2,243.2
Older adults (65+ years),Females,Nepean Blue Mountains LHD,2016-2017,197.2,161.3,238.7
Older adults (65+ years),Females,Nepean Blue Mountains LHD,2017-2018,182.9,148.8,222.3
Older adults (65+ years),Females,Nepean Blue Mountains LHD,2018-2019,162.4,131.1,199
Older adults (65+ years),Females,Nepean Blue Mountains LHD,2019-2020,147.7,118.5,181.9
Older adults (65+ years),Females,Nepean Blue Mountains LHD,2020-2021,135.6,108.3,167.7
Older adults (65+ years),Females,Northern Sydney LHD,2011-2012,90.3,76.3,106.3
Older adults (65+ years),Females,Northern Sydney LHD,2012-2013,84,70.8,99.1
Older adults (65+ years),Females,Northern Sydney LHD,2013-2014,89.2,75.3,104.9
Older adults (65+ years),Females,Northern Sydney LHD,2014-2015,93.7,79.5,109.7
Older adults (65+ years),Females,Northern Sydney LHD,2015-2016,95.1,81.1,110.8
Older adults (65+ years),Females,Northern Sydney LHD,2016-2017,90.7,77.4,105.9
Older adults (65+ years),Females,Northern Sydney LHD,2017-2018,82.7,70.2,96.9
Older adults (65+ years),Females,Northern Sydney LHD,2018-2019,76.9,65,90.4
Older adults (65+ years),Females,Northern Sydney LHD,2019-2020,66.4,55.4,79.1
Older adults (65+ years),Females,Northern Sydney LHD,2020-2021,60.4,50,72.4
Older adults (65+ years),Females,Central Coast LHD,2011-2012,170.3,141.7,203.2
Older adults (65+ years),Females,Central Coast LHD,2012-2013,192.6,161.8,227.6
Older adults (65+ years),Females,Central Coast LHD,2013-2014,178.9,149.3,212.7
Older adults (65+ years),Females,Central Coast LHD,2014-2015,182.3,153,215.7
Older adults (65+ years),Females,Central Coast LHD,2015-2016,194.1,164.2,227.9
Older adults (65+ years),Females,Central Coast LHD,2016-2017,224.6,192.4,260.6
Older adults (65+ years),Females,Central Coast LHD,2017-2018,231,198.4,267.5
Older adults (65+ years),Females,Central Coast LHD,2018-2019,209.6,178.9,244
Older adults (65+ years),Females,Central Coast LHD,2019-2020,193.7,164.9,226.2
Older adults (65+ years),Females,Central Coast LHD,2020-2021,189.2,161.1,220.8
Older adults (65+ years),Females,Hunter New England LHD,2011-2012,125.5,109.5,143.2
Older adults (65+ years),Females,Hunter New England LHD,2012-2013,146.9,129.5,166
Older adults (65+ years),Females,Hunter New England LHD,2013-2014,167.7,149.2,187.9
Older adults (65+ years),Females,Hunter New England LHD,2014-2015,174.5,155.8,194.8
Older adults (65+ years),Females,Hunter New England LHD,2015-2016,183.4,164.3,204.1
Older adults (65+ years),Females,Hunter New England LHD,2016-2017,177,158.4,197.2
Older adults (65+ years),Females,Hunter New England LHD,2017-2018,163.3,145.7,182.5
Older adults (65+ years),Females,Hunter New England LHD,2018-2019,172.5,154.5,192
Older adults (65+ years),Females,Hunter New England LHD,2019-2020,165.7,148.4,184.5
Older adults (65+ years),Females,Hunter New England LHD,2020-2021,153,136.7,170.7
Older adults (65+ years),Females,Northern NSW LHD,2011-2012,151.7,122.9,185.2
Older adults (65+ years),Females,Northern NSW LHD,2012-2013,115.6,91.4,144.4
Older adults (65+ years),Females,Northern NSW LHD,2013-2014,120.8,96.3,149.7
Older adults (65+ years),Females,Northern NSW LHD,2014-2015,133.9,108.1,164.1
Older adults (65+ years),Females,Northern NSW LHD,2015-2016,145.1,118.6,175.8
Older adults (65+ years),Females,Northern NSW LHD,2016-2017,155.3,128.2,186.6
Older adults (65+ years),Females,Northern NSW LHD,2017-2018,150.1,123.7,180.5
Older adults (65+ years),Females,Northern NSW LHD,2018-2019,145.6,120.2,174.8
Older adults (65+ years),Females,Northern NSW LHD,2019-2020,148.5,122.8,177.9
Older adults (65+ years),Females,Northern NSW LHD,2020-2021,133.4,108.9,161.6
Older adults (65+ years),Females,Mid North Coast LHD,2011-2012,142.9,111.7,180.2
Older adults (65+ years),Females,Mid North Coast LHD,2012-2013,136.6,106.1,173.1
Older adults (65+ years),Females,Mid North Coast LHD,2013-2014,172.4,138.3,212.3
Older adults (65+ years),Females,Mid North Coast LHD,2014-2015,175.3,141.6,214.6
Older adults (65+ years),Females,Mid North Coast LHD,2015-2016,139.1,110.2,173.4
Older adults (65+ years),Females,Mid North Coast LHD,2016-2017,150.7,120.8,185.8
Older adults (65+ years),Females,Mid North Coast LHD,2017-2018,171.4,139.7,208.3
Older adults (65+ years),Females,Mid North Coast LHD,2018-2019,200.1,165.7,239.5
Older adults (65+ years),Females,Mid North Coast LHD,2019-2020,174.2,142.5,210.9
Older adults (65+ years),Females,Mid North Coast LHD,2020-2021,150.5,121.6,184.1
Older adults (65+ years),Females,Southern NSW LHD,2011-2012,158.8,119.3,207.1
Older adults (65+ years),Females,Southern NSW LHD,2012-2013,156.3,117.7,203.3
Older adults (65+ years),Females,Southern NSW LHD,2013-2014,202.8,159.4,254.4
Older adults (65+ years),Females,Southern NSW LHD,2014-2015,237.5,191.1,291.7
Older adults (65+ years),Females,Southern NSW LHD,2015-2016,208.6,166.2,258.6
Older adults (65+ years),Females,Southern NSW LHD,2016-2017,188.4,149.1,235
Older adults (65+ years),Females,Southern NSW LHD,2017-2018,220.5,177.9,270.2
Older adults (65+ years),Females,Southern NSW LHD,2018-2019,212.8,170.8,261.9
Older adults (65+ years),Females,Southern NSW LHD,2019-2020,165.2,129.4,207.7
Older adults (65+ years),Females,Southern NSW LHD,2020-2021,156.1,122.3,196.4
Older adults (65+ years),Females,Murrumbidgee LHD,2011-2012,150.9,117.8,190.6
Older adults (65+ years),Females,Murrumbidgee LHD,2012-2013,146.1,113.9,184.9
Older adults (65+ years),Females,Murrumbidgee LHD,2013-2014,152.9,119.7,192.5
Older adults (65+ years),Females,Murrumbidgee LHD,2014-2015,186,149.7,228.6
Older adults (65+ years),Females,Murrumbidgee LHD,2015-2016,225.7,186,271.5
Older adults (65+ years),Females,Murrumbidgee LHD,2016-2017,208.3,170.1,252.5
Older adults (65+ years),Females,Murrumbidgee LHD,2017-2018,161.6,128.4,200.7
Older adults (65+ years),Females,Murrumbidgee LHD,2018-2019,184,149.4,224.3
Older adults (65+ years),Females,Murrumbidgee LHD,2019-2020,195.2,159.5,236.5
Older adults (65+ years),Females,Murrumbidgee LHD,2020-2021,176.8,143.5,215.6
Older adults (65+ years),Females,Western NSW LHD,2011-2012,183.4,147.1,225.9
Older adults (65+ years),Females,Western NSW LHD,2012-2013,191.6,154.6,234.7
Older adults (65+ years),Females,Western NSW LHD,2013-2014,187.2,151,229.5
Older adults (65+ years),Females,Western NSW LHD,2014-2015,219.3,180.5,264
Older adults (65+ years),Females,Western NSW LHD,2015-2016,279.8,236.6,328.7
Older adults (65+ years),Females,Western NSW LHD,2016-2017,320.2,273.9,372.1
Older adults (65+ years),Females,Western NSW LHD,2017-2018,268.6,226.4,316.4
Older adults (65+ years),Females,Western NSW LHD,2018-2019,221.1,184,263.6
Older adults (65+ years),Females,Western NSW LHD,2019-2020,223.5,186.6,265.7
Older adults (65+ years),Females,Western NSW LHD,2020-2021,204.8,169.6,245.1
Older adults (65+ years),Females,Far West LHD,2011-2012,209.8,110.3,361.5
Older adults (65+ years),Females,Far West LHD,2012-2013,277.5,164.7,439.2
Older adults (65+ years),Females,Far West LHD,2013-2014,220.4,123.4,365.4
Older adults (65+ years),Females,Far West LHD,2014-2015,204.5,107.1,353
Older adults (65+ years),Females,Far West LHD,2015-2016,159.6,77.8,291.4
Older adults (65+ years),Females,Far West LHD,2016-2017,120.1,53,236.2
Older adults (65+ years),Females,Far West LHD,2017-2018,111.2,46.6,225.6
Older adults (65+ years),Females,Far West LHD,2018-2019,149.6,70.5,278.7
Older adults (65+ years),Females,Far West LHD,2019-2020,253.6,143.7,413.7
Older adults (65+ years),Females,Far West LHD,2020-2021,203.5,109.9,345.1
Older adults (65+ years),Females,All LHDs,2011-2012,131.2,124.8,137.8
Older adults (65+ years),Females,All LHDs,2012-2013,132.9,126.6,139.5
Older adults (65+ years),Females,All LHDs,2013-2014,137.9,131.5,144.5
Older adults (65+ years),Females,All LHDs,2014-2015,144.3,137.8,151
Older adults (65+ years),Females,All LHDs,2015-2016,152,145.4,158.8
Older adults (65+ years),Females,All LHDs,2016-2017,157.4,150.8,164.2
Older adults (65+ years),Females,All LHDs,2017-2018,147.6,141.3,154.2
Older adults (65+ years),Females,All LHDs,2018-2019,142.9,136.7,149.2
Older adults (65+ years),Females,All LHDs,2019-2020,134.7,128.8,140.8
Older adults (65+ years),Females,All LHDs,2020-2021,123.8,118.3,129.6
Older adults (65+ years),Persons,Sydney LHD,2011-2012,138.4,119.9,159
Older adults (65+ years),Persons,Sydney LHD,2012-2013,141.4,122.8,161.9
Older adults (65+ years),Persons,Sydney LHD,2013-2014,141.6,123.3,161.8
Older adults (65+ years),Persons,Sydney LHD,2014-2015,136.8,119.1,156.5
Older adults (65+ years),Persons,Sydney LHD,2015-2016,121,104.5,139.4
Older adults (65+ years),Persons,Sydney LHD,2016-2017,124.1,107.5,142.5
Older adults (65+ years),Persons,Sydney LHD,2017-2018,132.9,116,151.7
Older adults (65+ years),Persons,Sydney LHD,2018-2019,121,105,138.7
Older adults (65+ years),Persons,Sydney LHD,2019-2020,100.4,86,116.5
Older adults (65+ years),Persons,Sydney LHD,2020-2021,103.6,89.1,119.7
Older adults (65+ years),Persons,South Western Sydney LHD,2011-2012,172.5,154.9,191.5
Older adults (65+ years),Persons,South Western Sydney LHD,2012-2013,176.8,159.2,195.8
Older adults (65+ years),Persons,South Western Sydney LHD,2013-2014,178.1,160.9,196.8
Older adults (65+ years),Persons,South Western Sydney LHD,2014-2015,171.7,155,189.8
Older adults (65+ years),Persons,South Western Sydney LHD,2015-2016,180.1,163.2,198.3
Older adults (65+ years),Persons,South Western Sydney LHD,2016-2017,197.8,180.4,216.4
Older adults (65+ years),Persons,South Western Sydney LHD,2017-2018,174,158.1,191
Older adults (65+ years),Persons,South Western Sydney LHD,2018-2019,151.5,137,167.2
Older adults (65+ years),Persons,South Western Sydney LHD,2019-2020,149.3,135.1,164.6
