financial year,lhd,NO pphm,NO2 pphm,OZONE pphm,asthma deaths,asthma edp,asthma hospitalisations,asthma pic,copd deaths,copd hospitalisations,iap deaths,iap hospitalisations
2023/2024,Northern Sydney,0.467736610646612,0.727352407772408,1.7236518872195166,0.65,225.9,91.69166666666666,9320.833333333334,14.575,150.03333333333336,7.325,218.025
2014/2015,South Eastern Sydney,2.9836949880926364,1.422863153287438,1.3380543932524065,0.5,295.9,100.475,5937.5,16.3,135.9,7.8,276.6
2015/2016,South Eastern Sydney,3.0797308700945063,1.467131480703206,1.3105384625631342,0.55,265.5,95.225,6100.0,15.7,135.7,7.2,257.2
2016/2017,South Eastern Sydney,2.8977913421151213,1.4346761032126245,1.384755324375561,0.6499999999999999,261.0,96.375,6200.0,17.4,139.7,8.9,278.3
2017/2018,South Eastern Sydney,2.75815575500696,1.448040511962799,1.4285173071141617,0.675,226.8,101.9,6950.0,16.7,129.1,8.8,321.5
2018/2019,South Eastern Sydney,2.947545236365947,1.56961659504037,1.3641075794669748,0.65,240.5,112.0,7200.0,14.1,127.8,7.4,339.3
2019/2020,South Eastern Sydney,2.5416666666666665,1.4833333333333334,1.4951346962429817,0.6000000000000001,219.0,98.525,7883.333333333333,14.8,118.5,6.1,314.3
2020/2021,South Eastern Sydney,2.45021977036854,1.331017425791939,1.39085773492464,0.55,176.9,68.1,8566.666666666666,13.7,76.8,4.7,158.7
2021/2022,South Eastern Sydney,2.100257976640234,1.1410720793663889,1.3913952823690847,0.65,170.5,72.35,9250.0,16.125,68.3,5.25,187.2
2022/2023,South Eastern Sydney,2.408333333333333,1.2791666666666666,1.3583333333333334,0.65,204.9,85.6111111111111,9933.333333333334,18.55,139.6,5.800000000000001,215.7
2023/2024,South Eastern Sydney,2.9250000000000003,1.3110278370369608,1.2791666666666666,0.65,279.95,98.87222222222222,10616.666666666668,20.975,210.9,6.3500000000000005,244.2
2014/2015,South Western Sydney,0.6062508463481429,0.6809514381538279,1.8207820082184003,0.75,355.0,135.875,7250.0,23.4,219.1,6.9,314.8
2015/2016,South Western Sydney,0.620532641365352,0.7404601501172303,1.7896288528116229,0.875,352.9,135.425,7087.5,24.8,234.9,8.1,331.7
2016/2017,South Western Sydney,0.6184612669161064,0.7217657218018579,1.851354296205579,1.025,328.9,145.4,8387.5,27.0,243.9,9.2,353.2
2017/2018,South Western Sydney,0.6473568451923719,0.8058900520707791,1.944652193772641,1.1,288.5,142.375,9100.0,23.9,233.1,9.1,402.5
2018/2019,South Western Sydney,0.6973454542097005,0.7994661749857594,1.9073747438212951,1.025,311.1,151.275,9050.0,20.8,232.2,8.8,382.5
2019/2020,South Western Sydney,0.6349472896785444,0.7714376783807076,1.9597857208670224,0.8500000000000001,255.8,126.1,9095.833333333334,20.1,198.0,7.2,352.2
2020/2021,South Western Sydney,0.6551222983361523,0.5562991949209095,1.8712453605561,0.8,217.3,88.02499999999999,9141.666666666666,18.8,129.7,5.5,202.2
2021/2022,South Western Sydney,0.5893832244626266,0.4850553320735976,1.736121473260763,0.65,213.1,92.9,9187.5,22.325,114.9,6.775,228.25
2022/2023,South Western Sydney,0.6427489701802699,0.5106091081096767,1.797856521393066,0.65,250.6,119.5,9233.333333333334,25.85,172.36666666666667,8.05,254.3
2023/2024,South Western Sydney,0.6514773750929004,0.6562829332006416,1.8508685444465456,0.65,334.2,146.1,9279.166666666666,29.375,229.83333333333331,9.325,280.35
2014/2015,Southern NSW,0.2189165139726544,0.3599331214103749,2.1583556686898766,0.9,417.8,88.75,8587.5,32.9,240.9,10.6,339.8
2015/2016,Southern NSW,0.2133868944695589,0.3544366379302887,2.1269432218374904,0.875,441.9,84.4,8187.5,30.7,253.5,9.0,375.5
2016/2017,Southern NSW,0.2240676414777005,0.3888401459007684,2.148951429643016,0.8,467.2,101.575,7912.5,31.2,280.5,14.2,419.8
2017/2018,Southern NSW,0.1969609498454024,0.3636862320580289,2.3116235913760894,0.7,436.5,116.125,7712.5,34.5,330.4,13.6,469.1
2018/2019,Southern NSW,0.1989445969922525,0.3666980845123523,2.154204502643132,0.625,494.0,121.725,7900.0,33.3,308.1,9.5,416.2
2019/2020,Southern NSW,0.1804304933032408,0.3925435302882054,2.302080263986021,0.55,431.0,97.65,7966.666666666667,29.1,260.7,7.8,381.8
2020/2021,Southern NSW,0.1999999999999999,0.3416666666666666,2.0416666666666665,0.5,354.1,68.45,8033.333333333333,27.1,191.5,4.2,279.9
2021/2022,Southern NSW,0.1857391732558533,0.2397016552894644,1.949675293089784,0.65,350.6,58.625,8100.0,25.1,164.4,5.1,278.2
2022/2023,Southern NSW,0.2083333333333333,0.2166666666666666,2.058333333333333,0.65,431.2,76.15833333333333,8166.666666666667,23.1,184.6,6.0,276.5
2023/2024,Southern NSW,0.2333333333333333,0.3999999999999999,2.1416666666666666,0.65,352.9,93.69166666666666,8233.333333333334,21.1,204.8,6.9,274.8
2014/2015,Sydney,0.8465612116873759,0.9899788618854928,1.553116116259753,0.85,274.6,94.675,5787.5,19.1,189.6,7.8,294.2
2015/2016,Sydney,0.9107371114137738,1.0037779574315306,1.4537110916517813,0.575,270.8,105.425,6012.5,17.1,184.1,8.6,295.9
2016/2017,Sydney,0.9036367570850224,1.056809497236488,1.4668048633918456,0.375,261.4,116.95,6350.0,17.1,193.9,11.4,322.7
2017/2018,Sydney,0.8831397743516476,1.0603989893778427,1.5137321056511104,0.425,220.4,114.4,6050.0,17.6,189.4,11.0,365.2
2018/2019,Sydney,0.8975033672289054,1.0095269087344845,1.5329863204648613,0.525,239.9,115.425,5625.0,16.6,197.9,9.9,328.7
2019/2020,Sydney,0.7518343957445824,0.9073486806972658,1.5239325116442977,0.6000000000000001,201.8,104.675,6983.333333333333,14.5,172.0,8.2,334.9
2020/2021,Sydney,0.743314531020729,0.873356732285131,1.598568613289858,0.65,188.2,83.57499999999999,8341.666666666666,15.1,108.1,4.9,193.8
2021/2022,Sydney,0.626840857528761,0.7796411911388818,1.498413491048061,0.65,160.3,70.45,9700.0,20.95,83.1,5.95,268.75
2022/2023,Sydney,0.6404878705781331,0.8270709754751286,1.547411274706022,0.65,200.4,129.825,11058.333333333332,26.8,211.56666666666663,7.0,343.70000000000005
2023/2024,Sydney,0.7436132518974167,0.8780744651192189,1.4625519409963206,0.65,309.8,189.2,12416.666666666666,32.65,340.0333333333333,8.05,418.65
2014/2015,Western NSW,0.1491654773597109,0.173631390937633,2.24270341900474,1.4,419.2,109.325,10100.0,38.5,366.8,9.1,436.8
2015/2016,Western NSW,0.0961662476250072,0.2227896246722744,2.2194485723317,1.25,565.8,103.65,9100.0,45.6,349.6,11.3,493.4
2016/2017,Western NSW,0.0604642392956178,0.2015450773912776,2.1870929785504565,1.2000000000000002,690.1,115.6,8700.0,51.3,360.9,15.0,539.2
2017/2018,Western NSW,0.0553019346937642,0.25163134249543,2.346973277752733,1.25,539.9,108.675,8562.5,45.2,382.6,12.5,515.6
2018/2019,Western NSW,0.1522267370239259,0.2743650402431547,2.263526653733468,1.2999999999999998,553.1,96.45,9375.0,37.9,331.9,12.4,472.4
2019/2020,Western NSW,0.1899262100345896,0.301065971059534,2.411665509278862,1.325,516.3,119.125,9575.0,35.5,337.8,10.6,444.9
2020/2021,Western NSW,0.0815916135094641,0.2400020579430331,2.122618691985908,1.25,551.8,80.275,9775.0,34.1,269.5,6.5,312.1
2021/2022,Western NSW,0.0753889805734898,0.1831141956966949,2.009218071334292,0.65,561.8,79.275,9975.0,31.25,242.6,7.05,299.40000000000003
2022/2023,Western NSW,0.0613728081434918,0.2127970710773593,2.0815591091963315,0.65,600.8,89.39166666666667,10175.0,28.4,242.9333333333333,7.6,286.70000000000005
2023/2024,Western NSW,0.0564140597681302,0.2609618897930771,2.2587677475433527,0.65,458.45,99.50833333333334,10375.0,25.55,243.26666666666665,8.149999999999999,274.0
2014/2015,Western Sydney,0.8156642290241426,0.9268278358769244,1.726750657405119,0.9,316.1,152.05,6387.5,22.7,240.9,8.7,314.7
2015/2016,Western Sydney,0.6526738370731023,0.9324067161918684,1.6838826890949816,1.0,310.9,151.85,4650.0,23.1,234.0,8.4,319.0
2016/2017,Western Sydney,0.6739796404859272,0.8885685314400931,1.716075034810478,1.025,304.2,152.45,5075.0,23.3,236.6,10.7,318.3
2017/2018,Western Sydney,0.8357283342606058,0.8860084425902278,1.8469216704227835,0.9,268.5,153.725,6725.0,19.6,217.1,9.0,379.7
2018/2019,Western Sydney,0.8019438334612193,0.9008274649729348,1.81470410196044,0.725,269.2,164.625,7300.0,19.0,226.2,8.8,376.8
2019/2020,Western Sydney,0.8104726588695504,0.7734344862100935,1.9835044504180688,0.675,224.7,138.325,7300.0,18.3,197.4,8.1,334.8
2020/2021,Western Sydney,0.68125,0.75625,1.7208333333333332,0.65,187.3,123.325,7300.0,16.8,144.3,4.8,192.9
2021/2022,Western Sydney,0.5791666666666667,0.6958333333333333,1.6,0.65,186.1,98.45,7300.0,16.8,121.3,4.8,192.9
2022/2023,Western Sydney,0.6853534780300429,0.6975207771494528,1.6329238230066805,0.65,215.7,98.45,7300.0,16.8,121.3,4.8,192.9
2023/2024,Western Sydney,0.6044902620626927,0.840359764763215,1.740042571721771,0.65,215.7,98.45,7300.0,16.8,121.3,4.8,192.9
