financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population","Persons rate per 100,000 population"
2019/2020,Nepean Blue Mountains,21.9,25.0,22.9
2020/2021,Nepean Blue Mountains,20.1,22.4,20.8
2021/2022,Nepean Blue Mountains,19.725,24.049999999999997,21.4
2022/2023,Nepean Blue Mountains,19.35,25.7,22.0
2023/2024,Nepean Blue Mountains,18.975,27.35,22.6
2014/2015,Northern NSW,18.6,29.0,23.2
2015/2016,Northern NSW,20.5,31.3,25.4
2016/2017,Northern NSW,22.1,29.7,25.5
2017/2018,Northern NSW,22.6,30.1,25.9
2018/2019,Northern NSW,22.8,31.3,26.7
2019/2020,Northern NSW,21.9,32.5,26.7
2020/2021,Northern NSW,19.4,28.2,23.2
2021/2022,Northern NSW,17.625,24.725,20.625
2022/2023,Northern NSW,15.85,21.25,18.05
2023/2024,Northern NSW,14.075,17.775,15.475
2014/2015,Northern Sydney,12.3,14.3,12.9
2015/2016,Northern Sydney,12.6,14.0,13.1
2016/2017,Northern Sydney,12.1,14.0,12.9
2017/2018,Northern Sydney,11.0,12.2,11.5
2018/2019,Northern Sydney,10.1,11.0,10.5
2019/2020,Northern Sydney,8.8,11.0,9.7
2020/2021,Northern Sydney,7.9,11.5,9.4
2021/2022,Northern Sydney,9.325,13.7,11.125
2022/2023,Northern Sydney,10.75,15.9,12.850000000000001
2023/2024,Northern Sydney,12.175,18.1,14.575000000000001
2014/2015,South Eastern Sydney,13.6,20.3,16.3
2015/2016,South Eastern Sydney,14.1,18.1,15.7
2016/2017,South Eastern Sydney,15.8,19.4,17.4
2017/2018,South Eastern Sydney,15.2,18.5,16.7
2018/2019,South Eastern Sydney,13.9,14.6,14.1
2019/2020,South Eastern Sydney,14.1,16.1,14.8
2020/2021,South Eastern Sydney,12.0,16.2,13.7
2021/2022,South Eastern Sydney,13.75,19.475,16.125
2022/2023,South Eastern Sydney,15.5,22.75,18.549999999999997
2023/2024,South Eastern Sydney,17.25,26.025,20.974999999999998
2014/2015,South Western Sydney,19.0,29.3,23.4
2015/2016,South Western Sydney,21.3,29.5,24.8
2016/2017,South Western Sydney,22.1,33.6,27.0
2017/2018,South Western Sydney,20.5,28.7,23.9
2018/2019,South Western Sydney,19.1,23.4,20.8
2019/2020,South Western Sydney,17.1,24.2,20.1
2020/2021,South Western Sydney,15.4,23.3,18.8
2021/2022,South Western Sydney,19.775,25.825,22.325
2022/2023,South Western Sydney,24.15,28.35,25.85
2023/2024,South Western Sydney,28.525,30.875,29.375
2014/2015,Southern NSW,32.9,33.4,32.9
2015/2016,Southern NSW,28.6,33.4,30.7
2016/2017,Southern NSW,27.4,36.0,31.2
2017/2018,Southern NSW,30.8,38.9,34.5
2018/2019,Southern NSW,29.4,38.6,33.3
2019/2020,Southern NSW,24.0,35.4,29.1
2020/2021,Southern NSW,22.1,32.6,27.1
2021/2022,Southern NSW,19.35,31.825000000000003,25.1
2022/2023,Southern NSW,16.6,31.05,23.1
2023/2024,Southern NSW,13.85,30.275,21.1
2014/2015,Sydney,11.1,29.5,19.1
2015/2016,Sydney,12.1,23.3,17.1
2016/2017,Sydney,11.1,24.5,17.1
2017/2018,Sydney,10.9,26.0,17.6
2018/2019,Sydney,11.3,23.4,16.6
2019/2020,Sydney,10.0,20.2,14.5
2020/2021,Sydney,9.8,21.6,15.1
2021/2022,Sydney,15.125,28.375,20.95
2022/2023,Sydney,20.450000000000003,35.150000000000006,26.799999999999997
2023/2024,Sydney,25.775000000000002,41.925000000000004,32.65
2014/2015,Western NSW,31.1,48.7,38.5
2015/2016,Western NSW,40.1,52.5,45.6
2016/2017,Western NSW,46.4,57.4,51.3
2017/2018,Western NSW,38.8,53.5,45.2
2018/2019,Western NSW,32.0,44.4,37.9
2019/2020,Western NSW,32.0,39.5,35.5
2020/2021,Western NSW,31.0,37.6,34.1
2021/2022,Western NSW,27.325,36.175,31.25
2022/2023,Western NSW,23.65,34.75,28.4
2023/2024,Western NSW,19.975,33.325,25.55
2014/2015,Western Sydney,16.3,31.9,22.7
2015/2016,Western Sydney,18.2,30.3,23.1
2016/2017,Western Sydney,19.0,29.3,23.3
2017/2018,Western Sydney,16.5,23.9,19.6
2018/2019,Western Sydney,16.0,23.2,19.0
2019/2020,Western Sydney,13.5,24.5,18.3
2020/2021,Western Sydney,13.8,20.7,16.8
2021/2022,Western Sydney,13.8,20.7,16.8
2022/2023,Western Sydney,13.8,20.7,16.8
2023/2024,Western Sydney,13.8,20.7,16.8
