Disease type,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Influenza and pneumonia,South Western Sydney LHD,2014-2016,7.4,6.5,8.5
Influenza and pneumonia,South Western Sydney LHD,2015-2017,8.7,7.7,9.9
Influenza and pneumonia,South Western Sydney LHD,2016-2018,8.9,7.9,10
Influenza and pneumonia,South Western Sydney LHD,2017-2019,9.2,8.1,10.3
Influenza and pneumonia,South Western Sydney LHD,2018-2020,7.6,6.6,8.6
Influenza and pneumonia,South Western Sydney LHD,2019-2021,6.7,5.8,7.6
Influenza and pneumonia,South Eastern Sydney LHD,2001-2003,12.2,11,13.7
Influenza and pneumonia,South Eastern Sydney LHD,2002-2004,13.2,11.8,14.6
Influenza and pneumonia,South Eastern Sydney LHD,2003-2005,12.8,11.5,14.2
Influenza and pneumonia,South Eastern Sydney LHD,2004-2006,10.9,9.7,12.1
Influenza and pneumonia,South Eastern Sydney LHD,2005-2007,8.4,7.4,9.5
Influenza and pneumonia,South Eastern Sydney LHD,2006-2008,6.7,5.8,7.7
Influenza and pneumonia,South Eastern Sydney LHD,2007-2009,5.5,4.7,6.4
Influenza and pneumonia,South Eastern Sydney LHD,2008-2010,5.7,4.9,6.6
Influenza and pneumonia,South Eastern Sydney LHD,2009-2011,5.8,5,6.7
Influenza and pneumonia,South Eastern Sydney LHD,2010-2012,6.8,5.9,7.7
Influenza and pneumonia,South Eastern Sydney LHD,2011-2013,6.5,5.6,7.4
Influenza and pneumonia,South Eastern Sydney LHD,2012-2014,7.2,6.3,8.1
Influenza and pneumonia,South Eastern Sydney LHD,2013-2015,7.2,6.3,8.2
Influenza and pneumonia,South Eastern Sydney LHD,2014-2016,7.6,6.7,8.6
Influenza and pneumonia,South Eastern Sydney LHD,2015-2017,8.3,7.4,9.3
Influenza and pneumonia,South Eastern Sydney LHD,2016-2018,8.3,7.4,9.3
Influenza and pneumonia,South Eastern Sydney LHD,2017-2019,8.5,7.6,9.4
Influenza and pneumonia,South Eastern Sydney LHD,2018-2020,6.5,5.7,7.3
Influenza and pneumonia,South Eastern Sydney LHD,2019-2021,5.7,5,6.5
Influenza and pneumonia,Illawarra Shoalhaven LHD,2001-2003,13.4,11.4,15.8
Influenza and pneumonia,Illawarra Shoalhaven LHD,2002-2004,14.1,12.1,16.4
Influenza and pneumonia,Illawarra Shoalhaven LHD,2003-2005,14,12,16.3
Influenza and pneumonia,Illawarra Shoalhaven LHD,2004-2006,12.4,10.5,14.5
Influenza and pneumonia,Illawarra Shoalhaven LHD,2005-2007,10.1,8.5,11.9
Influenza and pneumonia,Illawarra Shoalhaven LHD,2006-2008,7.8,6.4,9.4
Influenza and pneumonia,Illawarra Shoalhaven LHD,2007-2009,6.3,5.1,7.7
Influenza and pneumonia,Illawarra Shoalhaven LHD,2008-2010,6.6,5.4,8
Influenza and pneumonia,Illawarra Shoalhaven LHD,2009-2011,7.5,6.2,9
Influenza and pneumonia,Illawarra Shoalhaven LHD,2010-2012,8.4,7.1,9.9
Influenza and pneumonia,Illawarra Shoalhaven LHD,2011-2013,7.9,6.6,9.4
Influenza and pneumonia,Illawarra Shoalhaven LHD,2012-2014,8,6.7,9.4
Influenza and pneumonia,Illawarra Shoalhaven LHD,2013-2015,7.7,6.5,9.1
Influenza and pneumonia,Illawarra Shoalhaven LHD,2014-2016,8.3,7.1,9.8
Influenza and pneumonia,Illawarra Shoalhaven LHD,2015-2017,9.6,8.3,11.2
Influenza and pneumonia,Illawarra Shoalhaven LHD,2016-2018,10.2,8.9,11.7
Influenza and pneumonia,Illawarra Shoalhaven LHD,2017-2019,11,9.7,12.6
Influenza and pneumonia,Illawarra Shoalhaven LHD,2018-2020,8.8,7.6,10.2
Influenza and pneumonia,Illawarra Shoalhaven LHD,2019-2021,7.5,6.4,8.8
Influenza and pneumonia,Western Sydney LHD,2001-2003,13.1,11.4,15.1
Influenza and pneumonia,Western Sydney LHD,2002-2004,15.3,13.4,17.3
Influenza and pneumonia,Western Sydney LHD,2003-2005,14.9,13.1,16.8
Influenza and pneumonia,Western Sydney LHD,2004-2006,14.4,12.6,16.3
Influenza and pneumonia,Western Sydney LHD,2005-2007,11.6,10.1,13.3
Influenza and pneumonia,Western Sydney LHD,2006-2008,8.5,7.2,10
Influenza and pneumonia,Western Sydney LHD,2007-2009,5.6,4.6,6.8
Influenza and pneumonia,Western Sydney LHD,2008-2010,6,5,7.2
Influenza and pneumonia,Western Sydney LHD,2009-2011,7.8,6.6,9.1
Influenza and pneumonia,Western Sydney LHD,2010-2012,9.5,8.2,10.9
Influenza and pneumonia,Western Sydney LHD,2011-2013,9,7.8,10.3
Influenza and pneumonia,Western Sydney LHD,2012-2014,9.2,8,10.5
Influenza and pneumonia,Western Sydney LHD,2013-2015,8.3,7.2,9.6
Influenza and pneumonia,Western Sydney LHD,2014-2016,9.1,7.9,10.3
Influenza and pneumonia,Western Sydney LHD,2015-2017,9.5,8.3,10.8
Influenza and pneumonia,Western Sydney LHD,2016-2018,9.3,8.1,10.5
Influenza and pneumonia,Western Sydney LHD,2017-2019,9.7,8.5,10.9
Influenza and pneumonia,Western Sydney LHD,2018-2020,7.6,6.6,8.7
Influenza and pneumonia,Western Sydney LHD,2019-2021,6.8,5.9,7.8
Influenza and pneumonia,Nepean Blue Mountains LHD,2001-2003,14.8,12.1,17.8
Influenza and pneumonia,Nepean Blue Mountains LHD,2002-2004,17.2,14.4,20.4
Influenza and pneumonia,Nepean Blue Mountains LHD,2003-2005,17.9,15,21.1
Influenza and pneumonia,Nepean Blue Mountains LHD,2004-2006,17,14.2,20.1
Influenza and pneumonia,Nepean Blue Mountains LHD,2005-2007,12.8,10.5,15.5
Influenza and pneumonia,Nepean Blue Mountains LHD,2006-2008,10,8,12.4
Influenza and pneumonia,Nepean Blue Mountains LHD,2007-2009,7.8,6,9.8
Influenza and pneumonia,Nepean Blue Mountains LHD,2008-2010,6.7,5.1,8.6
Influenza and pneumonia,Nepean Blue Mountains LHD,2009-2011,8.1,6.4,10.2
Influenza and pneumonia,Nepean Blue Mountains LHD,2010-2012,10.2,8.3,12.5
Influenza and pneumonia,Nepean Blue Mountains LHD,2011-2013,11.7,9.7,14
Influenza and pneumonia,Nepean Blue Mountains LHD,2012-2014,10.6,8.7,12.8
Influenza and pneumonia,Nepean Blue Mountains LHD,2013-2015,11.1,9.2,13.2
Influenza and pneumonia,Nepean Blue Mountains LHD,2014-2016,12,10,14.2
Influenza and pneumonia,Nepean Blue Mountains LHD,2015-2017,13.7,11.6,16
Influenza and pneumonia,Nepean Blue Mountains LHD,2016-2018,12.8,10.9,15.1
Influenza and pneumonia,Nepean Blue Mountains LHD,2017-2019,11.7,9.9,13.9
Influenza and pneumonia,Nepean Blue Mountains LHD,2018-2020,10,8.3,11.9
Influenza and pneumonia,Nepean Blue Mountains LHD,2019-2021,8.6,7,10.3
Influenza and pneumonia,Northern Sydney LHD,2001-2003,16.3,14.9,17.8
Influenza and pneumonia,Northern Sydney LHD,2002-2004,18,16.5,19.5
Influenza and pneumonia,Northern Sydney LHD,2003-2005,18.2,16.7,19.7
Influenza and pneumonia,Northern Sydney LHD,2004-2006,15.8,14.4,17.2
Influenza and pneumonia,Northern Sydney LHD,2005-2007,12.3,11.1,13.5
Influenza and pneumonia,Northern Sydney LHD,2006-2008,9.7,8.7,10.8
Influenza and pneumonia,Northern Sydney LHD,2007-2009,7.2,6.3,8.2
Influenza and pneumonia,Northern Sydney LHD,2008-2010,7.7,6.8,8.6
Influenza and pneumonia,Northern Sydney LHD,2009-2011,8.3,7.4,9.3
Influenza and pneumonia,Northern Sydney LHD,2010-2012,9.3,8.4,10.3
Influenza and pneumonia,Northern Sydney LHD,2011-2013,8.6,7.7,9.6
Influenza and pneumonia,Northern Sydney LHD,2012-2014,8.4,7.5,9.3
Influenza and pneumonia,Northern Sydney LHD,2013-2015,8.4,7.5,9.3
Influenza and pneumonia,Northern Sydney LHD,2014-2016,8.9,8.1,9.9
Influenza and pneumonia,Northern Sydney LHD,2015-2017,10.7,9.7,11.7
Influenza and pneumonia,Northern Sydney LHD,2016-2018,10.5,9.5,11.5
Influenza and pneumonia,Northern Sydney LHD,2017-2019,10.7,9.8,11.8
Influenza and pneumonia,Northern Sydney LHD,2018-2020,8.3,7.5,9.2
Influenza and pneumonia,Northern Sydney LHD,2019-2021,7.2,6.4,8
Influenza and pneumonia,Central Coast LHD,2001-2003,14.4,12.4,16.8
Influenza and pneumonia,Central Coast LHD,2002-2004,14.8,12.7,17.1
Influenza and pneumonia,Central Coast LHD,2003-2005,15,13,17.3
Influenza and pneumonia,Central Coast LHD,2004-2006,12.9,11.1,15
Influenza and pneumonia,Central Coast LHD,2005-2007,10.8,9.2,12.7
Influenza and pneumonia,Central Coast LHD,2006-2008,8.6,7.1,10.3
Influenza and pneumonia,Central Coast LHD,2007-2009,7.6,6.2,9.2
Influenza and pneumonia,Central Coast LHD,2008-2010,7.8,6.4,9.3
Influenza and pneumonia,Central Coast LHD,2009-2011,8.4,7,10
Influenza and pneumonia,Central Coast LHD,2010-2012,8.9,7.5,10.5
Influenza and pneumonia,Central Coast LHD,2011-2013,7.8,6.5,9.3
Influenza and pneumonia,Central Coast LHD,2012-2014,8,6.7,9.5
Influenza and pneumonia,Central Coast LHD,2013-2015,8.9,7.5,10.4
Influenza and pneumonia,Central Coast LHD,2014-2016,9.7,8.3,11.4
Influenza and pneumonia,Central Coast LHD,2015-2017,11.3,9.7,13.1
Influenza and pneumonia,Central Coast LHD,2016-2018,10.4,8.9,12.2
Influenza and pneumonia,Central Coast LHD,2017-2019,11.3,9.7,13
Influenza and pneumonia,Central Coast LHD,2018-2020,9,7.6,10.5
Influenza and pneumonia,Central Coast LHD,2019-2021,7.8,6.6,9.2
Influenza and pneumonia,Hunter New England LHD,2001-2003,13.9,12.5,15.3
Influenza and pneumonia,Hunter New England LHD,2002-2004,16.2,14.7,17.7
Influenza and pneumonia,Hunter New England LHD,2003-2005,16.1,14.7,17.6
Influenza and pneumonia,Hunter New England LHD,2004-2006,15.8,14.4,17.2
Influenza and pneumonia,Hunter New England LHD,2005-2007,12.3,11.1,13.6
Influenza and pneumonia,Hunter New England LHD,2006-2008,9.7,8.7,10.9
Influenza and pneumonia,Hunter New England LHD,2007-2009,7.4,6.5,8.4
Influenza and pneumonia,Hunter New England LHD,2008-2010,7.5,6.6,8.5
Influenza and pneumonia,Hunter New England LHD,2009-2011,7.9,7,8.9
Influenza and pneumonia,Hunter New England LHD,2010-2012,9,8.1,10
Influenza and pneumonia,Hunter New England LHD,2011-2013,9.1,8.1,10.1
Influenza and pneumonia,Hunter New England LHD,2012-2014,9.9,8.9,11
Influenza and pneumonia,Hunter New England LHD,2013-2015,9.3,8.3,10.3
Influenza and pneumonia,Hunter New England LHD,2014-2016,9.2,8.3,10.2
Influenza and pneumonia,Hunter New England LHD,2015-2017,10.9,9.9,12
Influenza and pneumonia,Hunter New England LHD,2016-2018,11.4,10.4,12.4
Influenza and pneumonia,Hunter New England LHD,2017-2019,12,11,13.1
Influenza and pneumonia,Hunter New England LHD,2018-2020,8.3,7.4,9.2
Influenza and pneumonia,Hunter New England LHD,2019-2021,6.8,6.1,7.7
Influenza and pneumonia,Northern NSW LHD,2001-2003,14,11.9,16.5
Influenza and pneumonia,Northern NSW LHD,2002-2004,14.2,12,16.6
Influenza and pneumonia,Northern NSW LHD,2003-2005,12.9,11,15.2
Influenza and pneumonia,Northern NSW LHD,2004-2006,10.8,9,12.9
Influenza and pneumonia,Northern NSW LHD,2005-2007,9.7,8.1,11.7
Influenza and pneumonia,Northern NSW LHD,2006-2008,8.3,6.8,10.1
Influenza and pneumonia,Northern NSW LHD,2007-2009,6.6,5.3,8.2
Influenza and pneumonia,Northern NSW LHD,2008-2010,5.3,4.1,6.7
Influenza and pneumonia,Northern NSW LHD,2009-2011,5.9,4.7,7.4
Influenza and pneumonia,Northern NSW LHD,2010-2012,6.3,5.1,7.8
Influenza and pneumonia,Northern NSW LHD,2011-2013,7.4,6.1,8.9
Influenza and pneumonia,Northern NSW LHD,2012-2014,7.5,6.2,9.1
Influenza and pneumonia,Northern NSW LHD,2013-2015,8.4,7,10
Influenza and pneumonia,Northern NSW LHD,2014-2016,8.5,7.1,10.2
Influenza and pneumonia,Northern NSW LHD,2015-2017,9.4,8,11.1
Influenza and pneumonia,Northern NSW LHD,2016-2018,8.7,7.3,10.4
Influenza and pneumonia,Northern NSW LHD,2017-2019,8.9,7.5,10.5
Influenza and pneumonia,Northern NSW LHD,2018-2020,7,5.8,8.5
Influenza and pneumonia,Northern NSW LHD,2019-2021,5.8,4.7,7.1
Influenza and pneumonia,Mid North Coast LHD,2001-2003,12,9.7,14.8
Influenza and pneumonia,Mid North Coast LHD,2002-2004,13.7,11.3,16.6
Influenza and pneumonia,Mid North Coast LHD,2003-2005,15.4,12.8,18.4
Influenza and pneumonia,Mid North Coast LHD,2004-2006,14.7,12.3,17.6
Influenza and pneumonia,Mid North Coast LHD,2005-2007,14.2,11.8,16.9
Influenza and pneumonia,Mid North Coast LHD,2006-2008,10.9,8.8,13.3
Influenza and pneumonia,Mid North Coast LHD,2007-2009,9.2,7.3,11.4
Influenza and pneumonia,Mid North Coast LHD,2008-2010,8.8,7,11
Influenza and pneumonia,Mid North Coast LHD,2009-2011,9.5,7.7,11.6
Influenza and pneumonia,Mid North Coast LHD,2010-2012,10.1,8.3,12.3
Influenza and pneumonia,Mid North Coast LHD,2011-2013,10.1,8.3,12.3
Influenza and pneumonia,Mid North Coast LHD,2012-2014,10.2,8.3,12.4
Influenza and pneumonia,Mid North Coast LHD,2013-2015,10.1,8.3,12.3
Influenza and pneumonia,Mid North Coast LHD,2014-2016,8.8,7.2,10.9
Influenza and pneumonia,Mid North Coast LHD,2015-2017,8.9,7.3,10.9
Influenza and pneumonia,Mid North Coast LHD,2016-2018,7.9,6.4,9.7
Influenza and pneumonia,Mid North Coast LHD,2017-2019,8.9,7.4,10.8
Influenza and pneumonia,Mid North Coast LHD,2018-2020,7.8,6.3,9.5
Influenza and pneumonia,Mid North Coast LHD,2019-2021,6.4,5.2,8.1
Influenza and pneumonia,Southern NSW LHD,2001-2003,16,12.9,19.7
Influenza and pneumonia,Southern NSW LHD,2002-2004,18.2,14.9,22.1
Influenza and pneumonia,Southern NSW LHD,2003-2005,19.2,15.9,23.1
Influenza and pneumonia,Southern NSW LHD,2004-2006,16.7,13.6,20.2
Influenza and pneumonia,Southern NSW LHD,2005-2007,12.9,10.3,16
Influenza and pneumonia,Southern NSW LHD,2006-2008,12.4,9.9,15.4
Influenza and pneumonia,Southern NSW LHD,2007-2009,11.5,9.1,14.4
Influenza and pneumonia,Southern NSW LHD,2008-2010,11,8.7,13.8
Influenza and pneumonia,Southern NSW LHD,2009-2011,9.7,7.6,12.2
Influenza and pneumonia,Southern NSW LHD,2010-2012,10.9,8.7,13.5
Influenza and pneumonia,Southern NSW LHD,2011-2013,10.7,8.6,13.2
Influenza and pneumonia,Southern NSW LHD,2012-2014,11.9,9.7,14.5
Influenza and pneumonia,Southern NSW LHD,2013-2015,10.1,8.1,12.5
Influenza and pneumonia,Southern NSW LHD,2014-2016,10.3,8.3,12.8
Influenza and pneumonia,Southern NSW LHD,2015-2017,12.1,9.9,14.8
Influenza and pneumonia,Southern NSW LHD,2016-2018,12.4,10.2,15.1
Influenza and pneumonia,Southern NSW LHD,2017-2019,12.4,10.2,15
Influenza and pneumonia,Southern NSW LHD,2018-2020,8.2,6.5,10.2
Influenza and pneumonia,Southern NSW LHD,2019-2021,6.1,4.7,8
Influenza and pneumonia,Murrumbidgee LHD,2001-2003,18.4,15.5,21.7
Influenza and pneumonia,Murrumbidgee LHD,2002-2004,18.1,15.2,21.3
Influenza and pneumonia,Murrumbidgee LHD,2003-2005,17.5,14.8,20.7
Influenza and pneumonia,Murrumbidgee LHD,2004-2006,14.6,12.1,17.5
Influenza and pneumonia,Murrumbidgee LHD,2005-2007,13.3,11,16
Influenza and pneumonia,Murrumbidgee LHD,2006-2008,11.4,9.3,13.9
Influenza and pneumonia,Murrumbidgee LHD,2007-2009,9.5,7.6,11.8
Influenza and pneumonia,Murrumbidgee LHD,2008-2010,9.5,7.6,11.8
Influenza and pneumonia,Murrumbidgee LHD,2009-2011,9.2,7.4,11.4
Influenza and pneumonia,Murrumbidgee LHD,2010-2012,10.1,8.2,12.4
Influenza and pneumonia,Murrumbidgee LHD,2011-2013,8.9,7.1,11
Influenza and pneumonia,Murrumbidgee LHD,2012-2014,8.8,7.1,11
Influenza and pneumonia,Murrumbidgee LHD,2013-2015,8.8,7,10.8
Influenza and pneumonia,Murrumbidgee LHD,2014-2016,10,8.2,12.2
Influenza and pneumonia,Murrumbidgee LHD,2015-2017,11.3,9.4,13.5
Influenza and pneumonia,Murrumbidgee LHD,2016-2018,10.3,8.5,12.3
Influenza and pneumonia,Murrumbidgee LHD,2017-2019,10.2,8.5,12.2
Influenza and pneumonia,Murrumbidgee LHD,2018-2020,7.2,5.8,9
Influenza and pneumonia,Murrumbidgee LHD,2019-2021,7.1,5.7,8.9
Influenza and pneumonia,Western NSW LHD,2001-2003,15.3,12.7,18.2
Influenza and pneumonia,Western NSW LHD,2002-2004,17.6,14.9,20.7
Influenza and pneumonia,Western NSW LHD,2003-2005,17.2,14.5,20.2
Influenza and pneumonia,Western NSW LHD,2004-2006,15.8,13.2,18.6
Influenza and pneumonia,Western NSW LHD,2005-2007,11.7,9.6,14.2
Influenza and pneumonia,Western NSW LHD,2006-2008,9.7,7.8,11.9
Influenza and pneumonia,Western NSW LHD,2007-2009,8.1,6.4,10.2
Influenza and pneumonia,Western NSW LHD,2008-2010,9.4,7.6,11.6
Influenza and pneumonia,Western NSW LHD,2009-2011,9.8,8,12
Influenza and pneumonia,Western NSW LHD,2010-2012,9.5,7.7,11.6
Influenza and pneumonia,Western NSW LHD,2011-2013,7.8,6.3,9.7
Influenza and pneumonia,Western NSW LHD,2012-2014,8.5,6.9,10.4
Influenza and pneumonia,Western NSW LHD,2013-2015,8.1,6.5,9.9
Influenza and pneumonia,Western NSW LHD,2014-2016,10.9,9.1,13
Influenza and pneumonia,Western NSW LHD,2015-2017,12.7,10.8,15
Influenza and pneumonia,Western NSW LHD,2016-2018,13.2,11.2,15.4
Influenza and pneumonia,Western NSW LHD,2017-2019,13.4,11.5,15.6
Influenza and pneumonia,Western NSW LHD,2018-2020,10.3,8.6,12.2
Influenza and pneumonia,Western NSW LHD,2019-2021,9.3,7.7,11.2
Influenza and pneumonia,Far West LHD,2001-2003,12.9,7.2,21.5
Influenza and pneumonia,Far West LHD,2002-2004,14.3,8.1,23.4
Influenza and pneumonia,Far West LHD,2003-2005,17.2,10.3,27.1
Influenza and pneumonia,Far West LHD,2004-2006,15.7,9.3,25.2
Influenza and pneumonia,Far West LHD,2005-2007,14.6,8.6,23.4
Influenza and pneumonia,Far West LHD,2006-2008,7.9,3.8,14.9
Influenza and pneumonia,Far West LHD,2007-2009,5.3,2.1,11.5
Influenza and pneumonia,Far West LHD,2008-2010,3.5,1.1,8.9
Influenza and pneumonia,Far West LHD,2009-2011,7.3,3.5,14
Influenza and pneumonia,Far West LHD,2010-2012,9.8,5.3,17.1
Influenza and pneumonia,Far West LHD,2011-2013,11.7,6.8,19.5
Influenza and pneumonia,Far West LHD,2012-2014,10,5.6,17.2
Influenza and pneumonia,Far West LHD,2013-2015,10.2,5.7,17.7
Influenza and pneumonia,Far West LHD,2014-2016,10.6,6,18.1
Influenza and pneumonia,Far West LHD,2015-2017,12.4,7.4,20.2
Influenza and pneumonia,Far West LHD,2016-2018,12.6,7.6,20.2
Influenza and pneumonia,Far West LHD,2017-2019,12.3,7.4,20.1
Influenza and pneumonia,Far West LHD,2018-2020,12.8,7.8,20.6
Influenza and pneumonia,Far West LHD,2019-2021,12.2,7.3,19.9
Influenza and pneumonia,All LHDs,2001-2003,14.4,13.9,15
Influenza and pneumonia,All LHDs,2002-2004,15.8,15.3,16.4
Influenza and pneumonia,All LHDs,2003-2005,15.7,15.2,16.3
Influenza and pneumonia,All LHDs,2004-2006,14.1,13.6,14.6
Influenza and pneumonia,All LHDs,2005-2007,11.5,11,11.9
Influenza and pneumonia,All LHDs,2006-2008,9.1,8.8,9.5
Influenza and pneumonia,All LHDs,2007-2009,7.3,6.9,7.6
Influenza and pneumonia,All LHDs,2008-2010,7.3,7,7.6
Influenza and pneumonia,All LHDs,2009-2011,7.8,7.4,8.1
Influenza and pneumonia,All LHDs,2010-2012,8.5,8.2,8.9
Influenza and pneumonia,All LHDs,2011-2013,8.2,7.8,8.5
Influenza and pneumonia,All LHDs,2012-2014,8.4,8,8.7
Influenza and pneumonia,All LHDs,2013-2015,8.3,8,8.6
Influenza and pneumonia,All LHDs,2014-2016,8.8,8.4,9.1
Influenza and pneumonia,All LHDs,2015-2017,10,9.6,10.3
Influenza and pneumonia,All LHDs,2016-2018,9.8,9.5,10.2
Influenza and pneumonia,All LHDs,2017-2019,10.1,9.7,10.4
Influenza and pneumonia,All LHDs,2018-2020,7.7,7.4,8
Influenza and pneumonia,All LHDs,2019-2021,6.6,6.3,6.8
Asthma,Sydney LHD,2001-2003,1.5,1,2.3
Asthma,Sydney LHD,2002-2004,1.8,1.2,2.7
Asthma,Sydney LHD,2003-2005,1.5,1,2.3
Asthma,Sydney LHD,2004-2006,2,1.3,2.8
Asthma,Sydney LHD,2005-2007,2,1.3,2.8
Asthma,Sydney LHD,2006-2008,2.1,1.4,2.9
Asthma,Sydney LHD,2007-2009,1.8,1.2,2.6
Asthma,Sydney LHD,2008-2010,1.5,0.9,2.2
Asthma,Sydney LHD,2009-2011,1.3,0.8,2
Asthma,Sydney LHD,2010-2012,1.4,0.9,2.1
Asthma,Sydney LHD,2011-2013,1.6,1.1,2.3
Asthma,Sydney LHD,2012-2014,2.4,1.7,3.2
Asthma,Sydney LHD,2013-2015,1.9,1.3,2.7
Asthma,Sydney LHD,2014-2016,1.5,1,2.2
Asthma,Sydney LHD,2015-2017,0.8,0.4,1.3
Asthma,Sydney LHD,2016-2018,0.7,0.4,1.1
Asthma,Sydney LHD,2017-2019,1,0.6,1.6
Asthma,Sydney LHD,2018-2020,1.1,0.7,1.7
Asthma,Sydney LHD,2019-2021,1.3,0.9,1.9
Asthma,South Western Sydney LHD,2001-2003,2.3,1.7,3.1
Asthma,South Western Sydney LHD,2002-2004,2.2,1.6,3
Asthma,South Western Sydney LHD,2003-2005,1.6,1.1,2.2
Asthma,South Western Sydney LHD,2004-2006,1.7,1.2,2.4
Asthma,South Western Sydney LHD,2005-2007,1.8,1.3,2.5
Asthma,South Western Sydney LHD,2006-2008,2.5,1.9,3.3
Asthma,South Western Sydney LHD,2007-2009,2.1,1.5,2.7
Asthma,South Western Sydney LHD,2008-2010,2,1.4,2.6
Asthma,South Western Sydney LHD,2009-2011,1.6,1.1,2.1
Asthma,South Western Sydney LHD,2010-2012,1.4,1,2
Asthma,South Western Sydney LHD,2011-2013,1.5,1,2
Asthma,South Western Sydney LHD,2012-2014,1.4,1,2
Asthma,South Western Sydney LHD,2013-2015,1.5,1.1,2
Asthma,South Western Sydney LHD,2014-2016,1.5,1.1,2
Asthma,South Western Sydney LHD,2015-2017,2,1.5,2.5
Asthma,South Western Sydney LHD,2016-2018,2.1,1.6,2.7
Asthma,South Western Sydney LHD,2017-2019,2.3,1.8,2.9
Asthma,South Western Sydney LHD,2018-2020,1.8,1.3,2.3
Asthma,South Western Sydney LHD,2019-2021,1.6,1.2,2.1
Asthma,South Eastern Sydney LHD,2001-2003,1.9,1.4,2.5
Asthma,South Eastern Sydney LHD,2002-2004,2.1,1.6,2.8
Asthma,South Eastern Sydney LHD,2003-2005,1.4,1,1.9
Asthma,South Eastern Sydney LHD,2004-2006,1.5,1.1,2.1
Asthma,South Eastern Sydney LHD,2005-2007,1.3,0.9,1.8
Asthma,South Eastern Sydney LHD,2006-2008,1.6,1.1,2.1
Asthma,South Eastern Sydney LHD,2007-2009,1.7,1.2,2.2
Asthma,South Eastern Sydney LHD,2008-2010,1.7,1.3,2.3
Asthma,South Eastern Sydney LHD,2009-2011,1.5,1.1,2
Asthma,South Eastern Sydney LHD,2010-2012,1.3,0.9,1.8
Asthma,South Eastern Sydney LHD,2011-2013,1.2,0.8,1.6
Asthma,South Eastern Sydney LHD,2012-2014,1.1,0.7,1.5
Asthma,South Eastern Sydney LHD,2013-2015,1,0.6,1.4
Asthma,South Eastern Sydney LHD,2014-2016,1,0.7,1.4
Asthma,South Eastern Sydney LHD,2015-2017,1.2,0.9,1.7
Asthma,South Eastern Sydney LHD,2016-2018,1.4,1,1.8
Asthma,South Eastern Sydney LHD,2017-2019,1.3,1,1.8
Asthma,South Eastern Sydney LHD,2018-2020,1.3,0.9,1.7
Asthma,South Eastern Sydney LHD,2019-2021,1.1,0.8,1.5
Asthma,Illawarra Shoalhaven LHD,2001-2003,1.7,1,2.6
Asthma,Illawarra Shoalhaven LHD,2002-2004,1.3,0.8,2.1
Asthma,Illawarra Shoalhaven LHD,2003-2005,1.2,0.7,2
Asthma,Illawarra Shoalhaven LHD,2004-2006,1.7,1.1,2.6
Asthma,Illawarra Shoalhaven LHD,2005-2007,1.8,1.1,2.7
