financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population"
2012/2013,Nepean Blue Mountains,221.9,275.9
2012/2013,Northern NSW,263.7,308.4
2012/2013,Northern Sydney,105.4,123.1
2012/2013,South Eastern Sydney,121.5,164.7
2012/2013,South Western Sydney,208.4,288.8
2012/2013,Southern NSW,269.5,294.0
2012/2013,Sydney,153.6,263.6
2012/2013,Western NSW,338.7,416.4
2012/2013,Western Sydney,203.8,278.5
2013/2014,Central Coast,283.6,264.3
2013/2014,Far West,322.5,463.7
2013/2014,Hunter New England,228.4,277.4
2013/2014,Illawarra Shoalhaven,229.4,321.7
2013/2014,Mid North Coast,273.0,309.5
2013/2014,Murrumbidgee,408.9,409.9
2013/2014,Nepean Blue Mountains,235.6,296.9
2013/2014,Northern NSW,248.5,289.4
2013/2014,Northern Sydney,106.9,127.0
2013/2014,South Eastern Sydney,122.7,167.4
2013/2014,South Western Sydney,195.0,268.4
2013/2014,Southern NSW,226.1,249.9
2013/2014,Sydney,149.1,279.0
2013/2014,Western NSW,358.8,374.1
2013/2014,Western Sydney,199.2,268.9
2014/2015,Central Coast,277.0,315.9
2014/2015,Far West,436.0,536.3
2014/2015,Hunter New England,239.3,279.4
2014/2015,Illawarra Shoalhaven,248.2,270.3
2014/2015,Mid North Coast,289.7,303.9
2014/2015,Murrumbidgee,413.6,420.6
2014/2015,Nepean Blue Mountains,241.1,289.6
2014/2015,Northern NSW,228.1,308.5
2014/2015,Northern Sydney,120.8,128.0
2014/2015,South Eastern Sydney,123.3,154.2
2014/2015,South Western Sydney,191.1,256.2
2014/2015,Southern NSW,219.1,267.0
2014/2015,Sydney,148.7,238.9
2014/2015,Western NSW,369.0,376.1
2014/2015,Western Sydney,207.1,288.3
2015/2016,Central Coast,301.9,288.7
2015/2016,Far West,362.6,582.4
2015/2016,Hunter New England,235.0,293.3
2015/2016,Illawarra Shoalhaven,233.0,245.4
2015/2016,Mid North Coast,292.0,355.1
2015/2016,Murrumbidgee,363.9,429.9
2015/2016,Nepean Blue Mountains,237.6,285.6
2015/2016,Northern NSW,230.1,285.6
2015/2016,Northern Sydney,116.0,138.7
2015/2016,South Eastern Sydney,125.6,150.1
2015/2016,South Western Sydney,213.2,265.2
2015/2016,Southern NSW,224.7,289.5
2015/2016,Sydney,136.8,241.5
2015/2016,Western NSW,333.0,375.6
2015/2016,Western Sydney,218.4,260.3
2016/2017,Central Coast,312.5,303.7
2016/2017,Far West,364.2,592.3
2016/2017,Hunter New England,256.4,316.8
2016/2017,Illawarra Shoalhaven,242.9,256.0
2016/2017,Mid North Coast,264.5,331.8
2016/2017,Murrumbidgee,394.9,431.0
2016/2017,Nepean Blue Mountains,277.6,301.6
2016/2017,Northern NSW,250.5,293.6
2016/2017,Northern Sydney,109.3,112.2
2016/2017,South Eastern Sydney,122.2,161.8
2016/2017,South Western Sydney,221.0,275.6
2016/2017,Southern NSW,261.3,308.4
2016/2017,Sydney,150.4,246.9
2016/2017,Western NSW,345.9,380.9
2016/2017,Western Sydney,211.8,269.6
2017/2018,Central Coast,298.9,327.5
2017/2018,Far West,450.9,542.7
2017/2018,Hunter New England,256.1,284.2
2017/2018,Illawarra Shoalhaven,254.9,262.4
2017/2018,Mid North Coast,289.0,313.1
2017/2018,Murrumbidgee,382.3,431.7
2017/2018,Nepean Blue Mountains,271.7,271.9
2017/2018,Northern NSW,272.3,256.1
2017/2018,Northern Sydney,102.9,115.4
2017/2018,South Eastern Sydney,119.1,142.0
2017/2018,South Western Sydney,229.3,244.7
2017/2018,Southern NSW,313.5,353.1
2017/2018,Sydney,149.2,236.8
2017/2018,Western NSW,381.7,391.3
2017/2018,Western Sydney,217.1,222.9
2018/2019,Central Coast,307.8,286.2
2018/2019,Far West,408.0,564.4
2018/2019,Hunter New England,240.1,258.6
2018/2019,Illawarra Shoalhaven,251.7,239.0
2018/2019,Mid North Coast,268.5,264.9
2018/2019,Murrumbidgee,381.3,432.1
2018/2019,Nepean Blue Mountains,247.4,224.9
2018/2019,Northern NSW,248.2,277.1
2018/2019,Northern Sydney,93.4,115.8
2018/2019,South Eastern Sydney,117.9,140.7
2018/2019,South Western Sydney,215.7,257.5
2018/2019,Southern NSW,304.0,315.8
2018/2019,Sydney,162.2,240.1
2018/2019,Western NSW,347.4,320.3
2018/2019,Western Sydney,208.9,249.2
2019/2020,Central Coast,273.4,249.5
2019/2020,Far West,413.9,455.7
2019/2020,Hunter New England,217.0,244.2
2019/2020,Illawarra Shoalhaven,240.3,225.6
2019/2020,Mid North Coast,272.8,242.3
2019/2020,Murrumbidgee,351.7,395.6
2019/2020,Nepean Blue Mountains,209.6,207.6
2019/2020,Northern NSW,229.6,282.9
2019/2020,Northern Sydney,78.9,95.9
2019/2020,South Eastern Sydney,105.7,136.5
2019/2020,South Western Sydney,189.2,212.6
2019/2020,Southern NSW,251.0,272.4
2019/2020,Sydney,146.6,204.0
2019/2020,Western NSW,333.0,346.5
2019/2020,Western Sydney,193.5,204.9
2020/2021,Central Coast,204.3,200.6
2020/2021,Far West,242.2,476.2
2020/2021,Hunter New England,147.5,179.3
2020/2021,Illawarra Shoalhaven,168.2,155.4
2020/2021,Mid North Coast,224.3,181.9
2020/2021,Murrumbidgee,260.4,297.5
2020/2021,Nepean Blue Mountains,141.0,132.4
2020/2021,Northern NSW,158.8,191.2
2020/2021,Northern Sydney,58.1,66.3
2020/2021,South Eastern Sydney,65.0,91.8
2020/2021,South Western Sydney,113.5,151.1
2020/2021,Southern NSW,156.7,230.0
2020/2021,Sydney,80.5,140.6
2020/2021,Western NSW,269.5,274.3
2020/2021,Western Sydney,131.7,161.5
2021/2022,Central Coast,173.6,171.3
2021/2022,Far West,191.5,394.4
2021/2022,Hunter New England,150.0,172.1
2021/2022,Illawarra Shoalhaven,158.6,146.3
2021/2022,Mid North Coast,190.0,177.7
2021/2022,Murrumbidgee,252.3,241.4
2021/2022,Nepean Blue Mountains,122.5,160.6
2021/2022,Northern NSW,164.4,174.2
2021/2022,Northern Sydney,56.1,65.5
2021/2022,South Eastern Sydney,62.4,75.6
2021/2022,South Western Sydney,105.2,127.0
2021/2022,Southern NSW,140.7,190.1
2021/2022,Sydney,67.8,102.0
2021/2022,Western NSW,261.5,225.6
2021/2022,Western Sydney,118.9,127.3
