financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population"
2005/2006,South Western Sydney,234.6,255.1
2005/2006,Southern NSW,238.2,322.0
2005/2006,Sydney,201.7,285.2
2005/2006,Western NSW,457.2,554.7
2005/2006,Western Sydney,215.1,291.7
2006/2007,Central Coast,215.2,270.3
2006/2007,Hunter New England,227.3,330.3
2006/2007,Illawarra Shoalhaven,186.3,259.6
2006/2007,Mid North Coast,278.4,389.1
2006/2007,Murrumbidgee,327.0,421.8
2006/2007,Nepean Blue Mountains,262.6,344.1
2006/2007,Northern NSW,235.6,282.3
2006/2007,Northern Sydney,164.1,240.2
2006/2007,South Eastern Sydney,184.8,262.9
2006/2007,South Western Sydney,218.2,270.3
2006/2007,Southern NSW,249.4,298.6
2006/2007,Sydney,184.1,301.6
2006/2007,Western NSW,344.8,488.2
2006/2007,Western Sydney,222.9,291.3
2007/2008,Central Coast,198.6,306.9
2007/2008,Hunter New England,265.7,330.7
2007/2008,Illawarra Shoalhaven,196.6,282.5
2007/2008,Mid North Coast,339.7,430.9
2007/2008,Murrumbidgee,400.6,484.8
2007/2008,Nepean Blue Mountains,320.1,447.8
2007/2008,Northern NSW,278.8,350.7
2007/2008,Northern Sydney,197.3,280.1
2007/2008,South Eastern Sydney,215.5,276.0
2007/2008,South Western Sydney,248.2,301.5
2007/2008,Southern NSW,303.6,406.6
2007/2008,Sydney,212.9,291.4
2007/2008,Western NSW,444.3,544.3
2007/2008,Western Sydney,223.5,311.6
2008/2009,Central Coast,241.2,280.2
2008/2009,Hunter New England,229.7,323.1
2008/2009,Illawarra Shoalhaven,247.5,335.6
2008/2009,Mid North Coast,357.1,391.0
2008/2009,Murrumbidgee,374.6,465.7
2008/2009,Nepean Blue Mountains,251.5,340.9
2008/2009,Northern NSW,291.2,313.0
2008/2009,Northern Sydney,208.1,268.7
2008/2009,South Eastern Sydney,187.0,256.9
2008/2009,South Western Sydney,218.1,300.6
2008/2009,Southern NSW,317.0,391.8
2008/2009,Sydney,193.2,249.4
2008/2009,Western NSW,437.0,504.7
2008/2009,Western Sydney,235.2,304.6
2009/2010,Central Coast,221.4,285.0
2009/2010,Hunter New England,248.2,316.6
2009/2010,Illawarra Shoalhaven,264.3,328.7
2009/2010,Mid North Coast,319.0,376.8
2009/2010,Murrumbidgee,352.8,446.1
2009/2010,Nepean Blue Mountains,244.1,325.6
2009/2010,Northern NSW,265.5,342.4
2009/2010,Northern Sydney,200.7,247.1
2009/2010,South Eastern Sydney,201.4,258.6
2009/2010,South Western Sydney,236.4,280.4
2009/2010,Southern NSW,299.7,391.5
2009/2010,Sydney,202.8,257.6
2009/2010,Western NSW,408.0,553.1
2009/2010,Western Sydney,222.7,317.2
2010/2011,Central Coast,251.1,330.9
2010/2011,Hunter New England,270.2,321.5
2010/2011,Illawarra Shoalhaven,249.2,294.4
2010/2011,Mid North Coast,292.9,340.1
2010/2011,Murrumbidgee,433.8,520.0
2010/2011,Nepean Blue Mountains,312.5,413.6
2010/2011,Northern NSW,233.1,306.5
2010/2011,Northern Sydney,217.9,267.0
2010/2011,South Eastern Sydney,195.9,260.5
2010/2011,South Western Sydney,231.2,296.2
2010/2011,Southern NSW,395.9,456.5
2010/2011,Sydney,220.2,279.2
2010/2011,Western NSW,491.8,531.6
2010/2011,Western Sydney,238.2,305.7
2011/2012,Central Coast,241.1,305.2
2011/2012,Hunter New England,262.0,358.1
2011/2012,Illawarra Shoalhaven,254.5,305.1
2011/2012,Mid North Coast,300.6,393.0
2011/2012,Murrumbidgee,345.9,504.5
2011/2012,Nepean Blue Mountains,294.6,372.1
2011/2012,Northern NSW,269.2,348.9
2011/2012,Northern Sydney,237.8,283.3
2011/2012,South Eastern Sydney,224.0,304.6
2011/2012,South Western Sydney,268.9,332.4
2011/2012,Southern NSW,313.1,432.4
2011/2012,Sydney,220.1,311.6
2011/2012,Western NSW,429.0,511.8
2011/2012,Western Sydney,255.0,348.0
2012/2013,Central Coast,217.2,316.7
2012/2013,Hunter New England,228.4,305.2
2012/2013,Illawarra Shoalhaven,268.7,331.6
2012/2013,Mid North Coast,329.4,399.6
2012/2013,Murrumbidgee,340.5,438.9
2012/2013,Nepean Blue Mountains,268.0,329.0
2012/2013,Northern NSW,245.6,287.0
2012/2013,Northern Sydney,199.5,241.3
2012/2013,South Eastern Sydney,194.9,258.9
2012/2013,South Western Sydney,235.9,295.5
2012/2013,Southern NSW,296.5,362.3
2012/2013,Sydney,198.2,284.4
2012/2013,Western NSW,369.9,507.8
2012/2013,Western Sydney,243.2,301.8
2013/2014,Central Coast,206.7,317.3
2013/2014,Hunter New England,240.5,325.8
2013/2014,Illawarra Shoalhaven,259.5,345.0
2013/2014,Mid North Coast,277.9,324.7
2013/2014,Murrumbidgee,342.3,459.5
2013/2014,Nepean Blue Mountains,274.9,342.5
2013/2014,Northern NSW,224.4,325.9
2013/2014,Northern Sydney,197.4,257.5
2013/2014,South Eastern Sydney,195.9,240.2
2013/2014,South Western Sydney,237.2,291.0
2013/2014,Southern NSW,278.1,354.1
2013/2014,Sydney,203.5,265.8
2013/2014,Western NSW,385.5,427.1
2013/2014,Western Sydney,262.5,330.3
2014/2015,Central Coast,269.0,402.9
2014/2015,Hunter New England,317.4,391.0
2014/2015,Illawarra Shoalhaven,313.6,387.5
2014/2015,Mid North Coast,342.3,399.9
2014/2015,Murrumbidgee,403.3,562.2
2014/2015,Nepean Blue Mountains,320.3,392.5
2014/2015,Northern NSW,291.9,320.6
2014/2015,Northern Sydney,264.6,306.7
2014/2015,South Eastern Sydney,251.1,309.0
2014/2015,South Western Sydney,297.4,339.4
2014/2015,Southern NSW,315.8,371.9
2014/2015,Sydney,261.7,336.0
2014/2015,Western NSW,398.0,483.2
2014/2015,Western Sydney,302.3,335.9
2015/2016,Central Coast,298.5,404.2
2015/2016,Hunter New England,312.2,398.7
2015/2016,Illawarra Shoalhaven,296.9,350.1
2015/2016,Mid North Coast,357.0,451.9
2015/2016,Murrumbidgee,436.5,577.6
2015/2016,Nepean Blue Mountains,326.5,391.9
2015/2016,Northern NSW,303.2,387.6
2015/2016,Northern Sydney,274.3,334.9
2015/2016,South Eastern Sydney,231.1,291.4
2015/2016,South Western Sydney,308.9,361.2
2015/2016,Southern NSW,347.7,414.9
2015/2016,Sydney,260.9,337.7
2015/2016,Western NSW,451.6,545.3
2015/2016,Western Sydney,297.6,344.5
2016/2017,Central Coast,260.3,324.7
2016/2017,Hunter New England,344.5,395.7
2016/2017,Illawarra Shoalhaven,280.5,349.8
2016/2017,Mid North Coast,298.2,407.4
2016/2017,Murrumbidgee,470.3,536.3
2016/2017,Nepean Blue Mountains,301.2,372.5
2016/2017,Northern NSW,273.4,375.9
2016/2017,Northern Sydney,261.8,319.8
2016/2017,South Eastern Sydney,247.0,316.0
2016/2017,South Western Sydney,328.5,386.1
2016/2017,Southern NSW,391.8,451.2
2016/2017,Sydney,280.6,376.6
2016/2017,Western NSW,490.2,599.5
2016/2017,Western Sydney,291.9,351.9
2017/2018,Central Coast,343.6,421.9
2017/2018,Hunter New England,398.8,462.5
2017/2018,Illawarra Shoalhaven,371.2,416.8
2017/2018,Mid North Coast,355.7,428.2
2017/2018,Murrumbidgee,498.7,590.3
2017/2018,Nepean Blue Mountains,386.6,479.6
2017/2018,Northern NSW,358.9,445.0
2017/2018,Northern Sydney,306.0,382.4
2017/2018,South Eastern Sydney,300.0,351.5
2017/2018,South Western Sydney,378.6,434.3
2017/2018,Southern NSW,440.0,505.3
2017/2018,Sydney,319.9,419.7
2017/2018,Western NSW,476.2,565.2
2017/2018,Western Sydney,351.0,413.8
2018/2019,Central Coast,339.6,420.6
2018/2019,Hunter New England,341.7,420.0
2018/2019,Illawarra Shoalhaven,339.7,401.5
2018/2019,Mid North Coast,342.1,399.1
2018/2019,Murrumbidgee,487.7,574.7
2018/2019,Nepean Blue Mountains,370.6,425.4
2018/2019,Northern NSW,344.3,400.1
2018/2019,Northern Sydney,302.4,357.5
2018/2019,South Eastern Sydney,316.5,368.3
2018/2019,South Western Sydney,358.4,413.1
2018/2019,Southern NSW,383.7,457.8
2018/2019,Sydney,281.5,384.0
2018/2019,Western NSW,463.4,487.4
2018/2019,Western Sydney,362.4,397.2
2019/2020,Central Coast,336.9,409.5
2019/2020,Hunter New England,325.8,381.6
2019/2020,Illawarra Shoalhaven,340.0,395.7
2019/2020,Mid North Coast,341.3,392.9
2019/2020,Murrumbidgee,479.1,509.6
2019/2020,Nepean Blue Mountains,354.3,376.5
2019/2020,Northern NSW,383.1,414.1
2019/2020,Northern Sydney,288.3,338.1
2019/2020,South Eastern Sydney,296.7,337.9
2019/2020,South Western Sydney,326.3,384.7
2019/2020,Southern NSW,344.0,425.4
2019/2020,Sydney,297.2,382.0
2019/2020,Western NSW,435.9,458.9
2019/2020,Western Sydney,311.1,365.6
2020/2021,Central Coast,185.3,219.2
2020/2021,Hunter New England,193.2,257.9
2020/2021,Illawarra Shoalhaven,192.9,258.3
2020/2021,Mid North Coast,243.3,292.6
2020/2021,Murrumbidgee,262.2,377.6
2020/2021,Nepean Blue Mountains,182.8,247.3
2020/2021,Northern NSW,190.4,225.8
2020/2021,Northern Sydney,136.4,182.5
2020/2021,South Eastern Sydney,135.0,187.1
2020/2021,South Western Sydney,176.4,233.6
2020/2021,Southern NSW,255.7,306.4
2020/2021,Sydney,172.8,221.6
2020/2021,Western NSW,289.3,338.9
2020/2021,Western Sydney,161.9,228.0
