disease type,sex,lhd,financial year,"rate per 100,000 population"
Influenza and pneumonia,Males,South Eastern Sydney,2012/2013,258.5
Influenza and pneumonia,Males,South Eastern Sydney,2013/2014,239.1
Influenza and pneumonia,Males,South Eastern Sydney,2014/2015,307.6
Influenza and pneumonia,Males,South Eastern Sydney,2015/2016,291
Influenza and pneumonia,Males,South Eastern Sydney,2016/2017,314.4
Influenza and pneumonia,Males,South Eastern Sydney,2017/2018,350.7
Influenza and pneumonia,Males,South Eastern Sydney,2018/2019,367.8
Influenza and pneumonia,Males,South Eastern Sydney,2019/2020,339.4
Influenza and pneumonia,Males,South Eastern Sydney,2020/2021,187.7
Influenza and pneumonia,Males,South Eastern Sydney,2021/2022,367.1
Influenza and pneumonia,Males,Illawarra Shoalhaven,2001/2002,286.8
Influenza and pneumonia,Males,Illawarra Shoalhaven,2002/2003,251.4
Influenza and pneumonia,Males,Illawarra Shoalhaven,2003/2004,252.2
Influenza and pneumonia,Males,Illawarra Shoalhaven,2004/2005,293.5
Influenza and pneumonia,Males,Illawarra Shoalhaven,2005/2006,280.3
Influenza and pneumonia,Males,Illawarra Shoalhaven,2006/2007,259.6
Influenza and pneumonia,Males,Illawarra Shoalhaven,2007/2008,282.5
Influenza and pneumonia,Males,Illawarra Shoalhaven,2008/2009,336
Influenza and pneumonia,Males,Illawarra Shoalhaven,2009/2010,328.7
Influenza and pneumonia,Males,Illawarra Shoalhaven,2010/2011,294.4
Influenza and pneumonia,Males,Illawarra Shoalhaven,2011/2012,304.5
Influenza and pneumonia,Males,Illawarra Shoalhaven,2012/2013,331.6
Influenza and pneumonia,Males,Illawarra Shoalhaven,2013/2014,345
Influenza and pneumonia,Males,Illawarra Shoalhaven,2014/2015,387.5
Influenza and pneumonia,Males,Illawarra Shoalhaven,2015/2016,350.7
Influenza and pneumonia,Males,Illawarra Shoalhaven,2016/2017,350.6
Influenza and pneumonia,Males,Illawarra Shoalhaven,2017/2018,419.5
Influenza and pneumonia,Males,Illawarra Shoalhaven,2018/2019,404.8
Influenza and pneumonia,Males,Illawarra Shoalhaven,2019/2020,399
Influenza and pneumonia,Males,Illawarra Shoalhaven,2020/2021,256.5
Influenza and pneumonia,Males,Illawarra Shoalhaven,2021/2022,379.2
Influenza and pneumonia,Males,Western Sydney,2001/2002,311.1
Influenza and pneumonia,Males,Western Sydney,2002/2003,299.1
Influenza and pneumonia,Males,Western Sydney,2003/2004,317.7
Influenza and pneumonia,Males,Western Sydney,2004/2005,284.8
Influenza and pneumonia,Males,Western Sydney,2005/2006,291.7
Influenza and pneumonia,Males,Western Sydney,2006/2007,292
Influenza and pneumonia,Males,Western Sydney,2007/2008,311.6
Influenza and pneumonia,Males,Western Sydney,2008/2009,304.6
Influenza and pneumonia,Males,Western Sydney,2009/2010,317.2
Influenza and pneumonia,Males,Western Sydney,2010/2011,305.5
Influenza and pneumonia,Males,Western Sydney,2011/2012,348
Influenza and pneumonia,Males,Western Sydney,2012/2013,301.9
Influenza and pneumonia,Males,Western Sydney,2013/2014,330.3
Influenza and pneumonia,Males,Western Sydney,2014/2015,335.9
Influenza and pneumonia,Males,Western Sydney,2015/2016,343.5
Influenza and pneumonia,Males,Western Sydney,2016/2017,352.2
Influenza and pneumonia,Males,Western Sydney,2017/2018,415.5
Influenza and pneumonia,Males,Western Sydney,2018/2019,400.4
Influenza and pneumonia,Males,Western Sydney,2019/2020,372.9
Influenza and pneumonia,Males,Western Sydney,2020/2021,230.3
Influenza and pneumonia,Males,Western Sydney,2021/2022,546.9
Influenza and pneumonia,Males,Nepean Blue Mountains,2001/2002,410.2
Influenza and pneumonia,Males,Nepean Blue Mountains,2002/2003,344.1
Influenza and pneumonia,Males,Nepean Blue Mountains,2003/2004,362
Influenza and pneumonia,Males,Nepean Blue Mountains,2004/2005,364.9
Influenza and pneumonia,Males,Nepean Blue Mountains,2005/2006,341.5
Influenza and pneumonia,Males,Nepean Blue Mountains,2006/2007,344.1
Influenza and pneumonia,Males,Nepean Blue Mountains,2007/2008,447.8
Influenza and pneumonia,Males,Nepean Blue Mountains,2008/2009,340.9
Influenza and pneumonia,Males,Nepean Blue Mountains,2009/2010,325.6
Influenza and pneumonia,Males,Nepean Blue Mountains,2010/2011,413.6
Influenza and pneumonia,Males,Nepean Blue Mountains,2011/2012,372.1
Influenza and pneumonia,Males,Nepean Blue Mountains,2012/2013,329
Influenza and pneumonia,Males,Nepean Blue Mountains,2013/2014,342.5
Influenza and pneumonia,Males,Nepean Blue Mountains,2014/2015,392.5
Influenza and pneumonia,Males,Nepean Blue Mountains,2015/2016,392
Influenza and pneumonia,Males,Nepean Blue Mountains,2016/2017,370.6
Influenza and pneumonia,Males,Nepean Blue Mountains,2017/2018,475.3
Influenza and pneumonia,Males,Nepean Blue Mountains,2018/2019,422.6
Influenza and pneumonia,Males,Nepean Blue Mountains,2019/2020,374.8
Influenza and pneumonia,Males,Nepean Blue Mountains,2020/2021,247.6
Influenza and pneumonia,Males,Nepean Blue Mountains,2021/2022,370.2
Influenza and pneumonia,Males,Northern Sydney,2001/2002,248.5
Influenza and pneumonia,Males,Northern Sydney,2002/2003,247.3
Influenza and pneumonia,Males,Northern Sydney,2003/2004,251.5
Influenza and pneumonia,Males,Northern Sydney,2004/2005,264.3
Influenza and pneumonia,Males,Northern Sydney,2005/2006,242.9
Influenza and pneumonia,Males,Northern Sydney,2006/2007,240.2
Influenza and pneumonia,Males,Northern Sydney,2007/2008,280.1
Influenza and pneumonia,Males,Northern Sydney,2008/2009,268.7
Influenza and pneumonia,Males,Northern Sydney,2009/2010,247.1
Influenza and pneumonia,Males,Northern Sydney,2010/2011,267
Influenza and pneumonia,Males,Northern Sydney,2011/2012,283.3
Influenza and pneumonia,Males,Northern Sydney,2012/2013,241.3
Influenza and pneumonia,Males,Northern Sydney,2013/2014,257.5
Influenza and pneumonia,Males,Northern Sydney,2014/2015,306.7
Influenza and pneumonia,Males,Northern Sydney,2015/2016,334.9
Influenza and pneumonia,Males,Northern Sydney,2016/2017,320.2
Influenza and pneumonia,Males,Northern Sydney,2017/2018,384.5
Influenza and pneumonia,Males,Northern Sydney,2018/2019,360.8
Influenza and pneumonia,Males,Northern Sydney,2019/2020,343
Influenza and pneumonia,Males,Northern Sydney,2020/2021,185.3
Influenza and pneumonia,Males,Northern Sydney,2021/2022,269.2
Influenza and pneumonia,Males,Central Coast,2001/2002,294.6
Influenza and pneumonia,Males,Central Coast,2002/2003,317.7
Influenza and pneumonia,Males,Central Coast,2003/2004,308.5
Influenza and pneumonia,Males,Central Coast,2004/2005,278.8
Influenza and pneumonia,Males,Central Coast,2005/2006,321.6
Influenza and pneumonia,Males,Central Coast,2006/2007,270.3
Influenza and pneumonia,Males,Central Coast,2007/2008,306.9
Influenza and pneumonia,Males,Central Coast,2008/2009,280.2
Influenza and pneumonia,Males,Central Coast,2009/2010,285
Influenza and pneumonia,Males,Central Coast,2010/2011,330.9
Influenza and pneumonia,Males,Central Coast,2011/2012,305.2
Influenza and pneumonia,Males,Central Coast,2012/2013,316.7
Influenza and pneumonia,Males,Central Coast,2013/2014,317.3
Influenza and pneumonia,Males,Central Coast,2014/2015,402.9
Influenza and pneumonia,Males,Central Coast,2015/2016,404.2
Influenza and pneumonia,Males,Central Coast,2016/2017,325.1
Influenza and pneumonia,Males,Central Coast,2017/2018,422.5
Influenza and pneumonia,Males,Central Coast,2018/2019,420.8
Influenza and pneumonia,Males,Central Coast,2019/2020,409.6
Influenza and pneumonia,Males,Central Coast,2020/2021,217.5
Influenza and pneumonia,Males,Central Coast,2021/2022,352.7
Influenza and pneumonia,Males,Hunter New England,2001/2002,354.7
Influenza and pneumonia,Males,Hunter New England,2002/2003,355.9
Influenza and pneumonia,Males,Hunter New England,2003/2004,362.9
Influenza and pneumonia,Males,Hunter New England,2004/2005,371.9
Influenza and pneumonia,Males,Hunter New England,2005/2006,326.1
Influenza and pneumonia,Males,Hunter New England,2006/2007,330.3
Influenza and pneumonia,Males,Hunter New England,2007/2008,330.4
Influenza and pneumonia,Males,Hunter New England,2008/2009,323.1
Influenza and pneumonia,Males,Hunter New England,2009/2010,316.6
Influenza and pneumonia,Males,Hunter New England,2010/2011,321.3
Influenza and pneumonia,Males,Hunter New England,2011/2012,358.1
Influenza and pneumonia,Males,Hunter New England,2012/2013,305.2
Influenza and pneumonia,Males,Hunter New England,2013/2014,325.8
Influenza and pneumonia,Males,Hunter New England,2014/2015,391
Influenza and pneumonia,Males,Hunter New England,2015/2016,398.9
Influenza and pneumonia,Males,Hunter New England,2016/2017,395.9
Influenza and pneumonia,Males,Hunter New England,2017/2018,461
Influenza and pneumonia,Males,Hunter New England,2018/2019,417.6
Influenza and pneumonia,Males,Hunter New England,2019/2020,379.1
Influenza and pneumonia,Males,Hunter New England,2020/2021,253.1
Influenza and pneumonia,Males,Hunter New England,2021/2022,318.2
Influenza and pneumonia,Males,Northern NSW,2001/2002,375.9
Influenza and pneumonia,Males,Northern NSW,2002/2003,362.3
Influenza and pneumonia,Males,Northern NSW,2003/2004,346.5
Influenza and pneumonia,Males,Northern NSW,2004/2005,306.6
Influenza and pneumonia,Males,Northern NSW,2005/2006,328.9
Influenza and pneumonia,Males,Northern NSW,2006/2007,282.3
Influenza and pneumonia,Males,Northern NSW,2007/2008,350.7
Influenza and pneumonia,Males,Northern NSW,2008/2009,313
Influenza and pneumonia,Males,Northern NSW,2009/2010,342.4
Influenza and pneumonia,Males,Northern NSW,2010/2011,306.5
Influenza and pneumonia,Males,Northern NSW,2011/2012,348.9
Influenza and pneumonia,Males,Northern NSW,2012/2013,287
Influenza and pneumonia,Males,Northern NSW,2013/2014,325.9
Influenza and pneumonia,Males,Northern NSW,2014/2015,320.6
Influenza and pneumonia,Males,Northern NSW,2015/2016,387.6
Influenza and pneumonia,Males,Northern NSW,2016/2017,375.3
Influenza and pneumonia,Males,Northern NSW,2017/2018,445
Influenza and pneumonia,Males,Northern NSW,2018/2019,399.8
Influenza and pneumonia,Males,Northern NSW,2019/2020,414.7
Influenza and pneumonia,Males,Northern NSW,2020/2021,212.6
Influenza and pneumonia,Males,Northern NSW,2021/2022,320.8
Influenza and pneumonia,Males,Mid North Coast,2001/2002,381.6
Influenza and pneumonia,Males,Mid North Coast,2002/2003,427.1
Influenza and pneumonia,Males,Mid North Coast,2003/2004,504.8
Influenza and pneumonia,Males,Mid North Coast,2004/2005,421.5
Influenza and pneumonia,Males,Mid North Coast,2005/2006,403.7
Influenza and pneumonia,Males,Mid North Coast,2006/2007,389.1
Influenza and pneumonia,Males,Mid North Coast,2007/2008,430.9
Influenza and pneumonia,Males,Mid North Coast,2008/2009,391
Influenza and pneumonia,Males,Mid North Coast,2009/2010,376.8
Influenza and pneumonia,Males,Mid North Coast,2010/2011,340.1
Influenza and pneumonia,Males,Mid North Coast,2011/2012,393
Influenza and pneumonia,Males,Mid North Coast,2012/2013,399.6
Influenza and pneumonia,Males,Mid North Coast,2013/2014,324.7
Influenza and pneumonia,Males,Mid North Coast,2014/2015,399.9
Influenza and pneumonia,Males,Mid North Coast,2015/2016,451.9
Influenza and pneumonia,Males,Mid North Coast,2016/2017,408.1
Influenza and pneumonia,Males,Mid North Coast,2017/2018,429.6
Influenza and pneumonia,Males,Mid North Coast,2018/2019,399.5
Influenza and pneumonia,Males,Mid North Coast,2019/2020,392.8
Influenza and pneumonia,Males,Mid North Coast,2020/2021,285.5
Influenza and pneumonia,Males,Mid North Coast,2021/2022,328.2
Influenza and pneumonia,Males,Southern NSW,2001/2002,350.9
Influenza and pneumonia,Males,Southern NSW,2002/2003,376
Influenza and pneumonia,Males,Southern NSW,2003/2004,397.7
Influenza and pneumonia,Males,Southern NSW,2004/2005,371.6
Influenza and pneumonia,Males,Southern NSW,2005/2006,322
Influenza and pneumonia,Males,Southern NSW,2006/2007,298.6
Influenza and pneumonia,Males,Southern NSW,2007/2008,406.6
Influenza and pneumonia,Males,Southern NSW,2008/2009,392.4
Influenza and pneumonia,Males,Southern NSW,2009/2010,391.5
Influenza and pneumonia,Males,Southern NSW,2010/2011,455.8
Influenza and pneumonia,Males,Southern NSW,2011/2012,431.8
Influenza and pneumonia,Males,Southern NSW,2012/2013,362.3
Influenza and pneumonia,Males,Southern NSW,2013/2014,354.1
Influenza and pneumonia,Males,Southern NSW,2014/2015,371.9
Influenza and pneumonia,Males,Southern NSW,2015/2016,414.9
Influenza and pneumonia,Males,Southern NSW,2016/2017,451.8
Influenza and pneumonia,Males,Southern NSW,2017/2018,504.5
Influenza and pneumonia,Males,Southern NSW,2018/2019,454.3
Influenza and pneumonia,Males,Southern NSW,2019/2020,421.6
Influenza and pneumonia,Males,Southern NSW,2020/2021,294.1
Influenza and pneumonia,Males,Southern NSW,2021/2022,329.3
Influenza and pneumonia,Males,Murrumbidgee,2001/2002,463.5
Influenza and pneumonia,Males,Murrumbidgee,2002/2003,534.8
Influenza and pneumonia,Males,Murrumbidgee,2003/2004,475.2
Influenza and pneumonia,Males,Murrumbidgee,2004/2005,485.3
Influenza and pneumonia,Males,Murrumbidgee,2005/2006,509.7
Influenza and pneumonia,Males,Murrumbidgee,2006/2007,421.8
Influenza and pneumonia,Males,Murrumbidgee,2007/2008,484.8
Influenza and pneumonia,Males,Murrumbidgee,2008/2009,465.7
Influenza and pneumonia,Males,Murrumbidgee,2009/2010,446.1
Influenza and pneumonia,Males,Murrumbidgee,2010/2011,519.4
Influenza and pneumonia,Males,Murrumbidgee,2011/2012,504.6
Influenza and pneumonia,Males,Murrumbidgee,2012/2013,438.9
Influenza and pneumonia,Males,Murrumbidgee,2013/2014,459.5
Influenza and pneumonia,Males,Murrumbidgee,2014/2015,562.2
Influenza and pneumonia,Males,Murrumbidgee,2015/2016,577.6
Influenza and pneumonia,Males,Murrumbidgee,2016/2017,536.1
Influenza and pneumonia,Males,Murrumbidgee,2017/2018,589.7
Influenza and pneumonia,Males,Murrumbidgee,2018/2019,573.4
Influenza and pneumonia,Males,Murrumbidgee,2019/2020,508.3
Influenza and pneumonia,Males,Murrumbidgee,2020/2021,351
Influenza and pneumonia,Males,Murrumbidgee,2021/2022,478.6
Influenza and pneumonia,Males,Western NSW,2001/2002,569.8
Influenza and pneumonia,Males,Western NSW,2002/2003,614
Influenza and pneumonia,Males,Western NSW,2003/2004,658.9
Influenza and pneumonia,Males,Western NSW,2004/2005,598.7
Influenza and pneumonia,Males,Western NSW,2005/2006,554.7
Influenza and pneumonia,Males,Western NSW,2006/2007,488.2
Influenza and pneumonia,Males,Western NSW,2007/2008,544.3
Influenza and pneumonia,Males,Western NSW,2008/2009,503.8
Influenza and pneumonia,Males,Western NSW,2009/2010,552.3
Influenza and pneumonia,Males,Western NSW,2010/2011,531.6
Influenza and pneumonia,Males,Western NSW,2011/2012,511.8
Influenza and pneumonia,Males,Western NSW,2012/2013,507.8
Influenza and pneumonia,Males,Western NSW,2013/2014,426.5
Influenza and pneumonia,Males,Western NSW,2014/2015,483.2
Influenza and pneumonia,Males,Western NSW,2015/2016,545.3
Influenza and pneumonia,Males,Western NSW,2016/2017,599.4
Influenza and pneumonia,Males,Western NSW,2017/2018,564.7
Influenza and pneumonia,Males,Western NSW,2018/2019,486.6
Influenza and pneumonia,Males,Western NSW,2019/2020,456.8
Influenza and pneumonia,Males,Western NSW,2020/2021,332.4
Influenza and pneumonia,Males,Western NSW,2021/2022,418.6
Influenza and pneumonia,Males,Far West,2001/2002,406.6
Influenza and pneumonia,Males,Far West,2002/2003,488.7
Influenza and pneumonia,Males,Far West,2003/2004,459.5
Influenza and pneumonia,Males,Far West,2004/2005,390.4
Influenza and pneumonia,Males,Far West,2005/2006,507.7
Influenza and pneumonia,Males,Far West,2006/2007,407.5
Influenza and pneumonia,Males,Far West,2007/2008,335.2
Influenza and pneumonia,Males,Far West,2008/2009,471.6
Influenza and pneumonia,Males,Far West,2009/2010,305.8
Influenza and pneumonia,Males,Far West,2010/2011,385
Influenza and pneumonia,Males,Far West,2011/2012,401.6
Influenza and pneumonia,Males,Far West,2012/2013,358
Influenza and pneumonia,Males,Far West,2013/2014,376.2
Influenza and pneumonia,Males,Far West,2014/2015,372
Influenza and pneumonia,Males,Far West,2015/2016,539.7
Influenza and pneumonia,Males,Far West,2016/2017,420.3
Influenza and pneumonia,Males,Far West,2017/2018,493
Influenza and pneumonia,Males,Far West,2018/2019,559.8
Influenza and pneumonia,Males,Far West,2019/2020,606.7
Influenza and pneumonia,Males,Far West,2020/2021,460.8
Influenza and pneumonia,Males,Far West,2021/2022,466.5
Influenza and pneumonia,Females,Sydney,2001/2002,222.3
Influenza and pneumonia,Females,Sydney,2002/2003,219.4
Influenza and pneumonia,Females,Sydney,2003/2004,221.1
Influenza and pneumonia,Females,Sydney,2004/2005,214.7
Influenza and pneumonia,Females,Sydney,2005/2006,201.1
Influenza and pneumonia,Females,Sydney,2006/2007,184.1
Influenza and pneumonia,Females,Sydney,2007/2008,213
Influenza and pneumonia,Females,Sydney,2008/2009,193.2
Influenza and pneumonia,Females,Sydney,2009/2010,202.8
Influenza and pneumonia,Females,Sydney,2010/2011,220.1
Influenza and pneumonia,Females,Sydney,2011/2012,220.5
Influenza and pneumonia,Females,Sydney,2012/2013,198.3
Influenza and pneumonia,Females,Sydney,2013/2014,203.5
Influenza and pneumonia,Females,Sydney,2014/2015,261.7
Influenza and pneumonia,Females,Sydney,2015/2016,260.9
Influenza and pneumonia,Females,Sydney,2016/2017,282.3
Influenza and pneumonia,Females,Sydney,2017/2018,324.8
Influenza and pneumonia,Females,Sydney,2018/2019,289.6
Influenza and pneumonia,Females,Sydney,2019/2020,310.8
Influenza and pneumonia,Females,Sydney,2020/2021,183.5
Influenza and pneumonia,Females,Sydney,2021/2022,304
Influenza and pneumonia,Females,South Western Sydney,2001/2002,218.9
Influenza and pneumonia,Females,South Western Sydney,2002/2003,249.7
Influenza and pneumonia,Females,South Western Sydney,2003/2004,252.7
Influenza and pneumonia,Females,South Western Sydney,2004/2005,237.5
Influenza and pneumonia,Females,South Western Sydney,2005/2006,234.8
Influenza and pneumonia,Females,South Western Sydney,2006/2007,218
Influenza and pneumonia,Females,South Western Sydney,2007/2008,248
Influenza and pneumonia,Females,South Western Sydney,2008/2009,218.1
Influenza and pneumonia,Females,South Western Sydney,2009/2010,236.4
Influenza and pneumonia,Females,South Western Sydney,2010/2011,230.8
Influenza and pneumonia,Females,South Western Sydney,2011/2012,268.7
Influenza and pneumonia,Females,South Western Sydney,2012/2013,236.1
Influenza and pneumonia,Females,South Western Sydney,2013/2014,237.2
Influenza and pneumonia,Females,South Western Sydney,2014/2015,297.4
Influenza and pneumonia,Females,South Western Sydney,2015/2016,309.1
Influenza and pneumonia,Females,South Western Sydney,2016/2017,328.7
Influenza and pneumonia,Females,South Western Sydney,2017/2018,379.6
Influenza and pneumonia,Females,South Western Sydney,2018/2019,359.2
Influenza and pneumonia,Females,South Western Sydney,2019/2020,327.1
Influenza and pneumonia,Females,South Western Sydney,2020/2021,175
Influenza and pneumonia,Females,South Western Sydney,2021/2022,503.4
Influenza and pneumonia,Females,South Eastern Sydney,2001/2002,210.7
Influenza and pneumonia,Females,South Eastern Sydney,2002/2003,228.4
Influenza and pneumonia,Females,South Eastern Sydney,2003/2004,224.7
Influenza and pneumonia,Females,South Eastern Sydney,2004/2005,207.4
Influenza and pneumonia,Females,South Eastern Sydney,2005/2006,188.8
Influenza and pneumonia,Females,South Eastern Sydney,2006/2007,183.8
Influenza and pneumonia,Females,South Eastern Sydney,2007/2008,215.1
Influenza and pneumonia,Females,South Eastern Sydney,2008/2009,186.5
Influenza and pneumonia,Females,South Eastern Sydney,2009/2010,201.4
Influenza and pneumonia,Females,South Eastern Sydney,2010/2011,195.9
Influenza and pneumonia,Females,South Eastern Sydney,2011/2012,223.8
Influenza and pneumonia,Females,South Eastern Sydney,2012/2013,193.4
Influenza and pneumonia,Females,South Eastern Sydney,2013/2014,194.7
Influenza and pneumonia,Females,South Eastern Sydney,2014/2015,250.7
Influenza and pneumonia,Females,South Eastern Sydney,2015/2016,230.2
Influenza and pneumonia,Females,South Eastern Sydney,2016/2017,246.4
Influenza and pneumonia,Females,South Eastern Sydney,2017/2018,299.9
Influenza and pneumonia,Females,South Eastern Sydney,2018/2019,319.3
Influenza and pneumonia,Females,South Eastern Sydney,2019/2020,302.4
Influenza and pneumonia,Females,South Eastern Sydney,2020/2021,136.7
Influenza and pneumonia,Females,South Eastern Sydney,2021/2022,269.8
Influenza and pneumonia,Females,Illawarra Shoalhaven,2001/2002,198.4
Influenza and pneumonia,Females,Illawarra Shoalhaven,2002/2003,179.1
Influenza and pneumonia,Females,Illawarra Shoalhaven,2003/2004,214.2
Influenza and pneumonia,Females,Illawarra Shoalhaven,2004/2005,225.6
Influenza and pneumonia,Females,Illawarra Shoalhaven,2005/2006,221.3
Influenza and pneumonia,Females,Illawarra Shoalhaven,2006/2007,186.7
Influenza and pneumonia,Females,Illawarra Shoalhaven,2007/2008,196.6
Influenza and pneumonia,Females,Illawarra Shoalhaven,2008/2009,247.5
Influenza and pneumonia,Females,Illawarra Shoalhaven,2009/2010,264.3
Influenza and pneumonia,Females,Illawarra Shoalhaven,2010/2011,249.2
Influenza and pneumonia,Females,Illawarra Shoalhaven,2011/2012,254.5
Influenza and pneumonia,Females,Illawarra Shoalhaven,2012/2013,269
Influenza and pneumonia,Females,Illawarra Shoalhaven,2013/2014,259.8
Influenza and pneumonia,Females,Illawarra Shoalhaven,2014/2015,313.6
Influenza and pneumonia,Females,Illawarra Shoalhaven,2015/2016,296.9
Influenza and pneumonia,Females,Illawarra Shoalhaven,2016/2017,281.1
Influenza and pneumonia,Females,Illawarra Shoalhaven,2017/2018,374.1
Influenza and pneumonia,Females,Illawarra Shoalhaven,2018/2019,343
Influenza and pneumonia,Females,Illawarra Shoalhaven,2019/2020,343.6
Influenza and pneumonia,Females,Illawarra Shoalhaven,2020/2021,191.2
Influenza and pneumonia,Females,Illawarra Shoalhaven,2021/2022,320.9
Influenza and pneumonia,Females,Western Sydney,2001/2002,226.2
Influenza and pneumonia,Females,Western Sydney,2002/2003,213.3
Influenza and pneumonia,Females,Western Sydney,2003/2004,235.2
Influenza and pneumonia,Females,Western Sydney,2004/2005,224.3
Influenza and pneumonia,Females,Western Sydney,2005/2006,215.1
Influenza and pneumonia,Females,Western Sydney,2006/2007,222.6
Influenza and pneumonia,Females,Western Sydney,2007/2008,223.2
Influenza and pneumonia,Females,Western Sydney,2008/2009,235.2
Influenza and pneumonia,Females,Western Sydney,2009/2010,222.7
Influenza and pneumonia,Females,Western Sydney,2010/2011,238.4
Influenza and pneumonia,Females,Western Sydney,2011/2012,254.7
Influenza and pneumonia,Females,Western Sydney,2012/2013,242.6
Influenza and pneumonia,Females,Western Sydney,2013/2014,262.5
Influenza and pneumonia,Females,Western Sydney,2014/2015,302
Influenza and pneumonia,Females,Western Sydney,2015/2016,297.5
Influenza and pneumonia,Females,Western Sydney,2016/2017,292.6
Influenza and pneumonia,Females,Western Sydney,2017/2018,352.9
Influenza and pneumonia,Females,Western Sydney,2018/2019,365.4
Influenza and pneumonia,Females,Western Sydney,2019/2020,316.1
Influenza and pneumonia,Females,Western Sydney,2020/2021,162.9
Influenza and pneumonia,Females,Western Sydney,2021/2022,410.9
Influenza and pneumonia,Females,Nepean Blue Mountains,2001/2002,263.9
Influenza and pneumonia,Females,Nepean Blue Mountains,2002/2003,293.1
Influenza and pneumonia,Females,Nepean Blue Mountains,2003/2004,290.7
Influenza and pneumonia,Females,Nepean Blue Mountains,2004/2005,276
Influenza and pneumonia,Females,Nepean Blue Mountains,2005/2006,253.4
Influenza and pneumonia,Females,Nepean Blue Mountains,2006/2007,263.3
Influenza and pneumonia,Females,Nepean Blue Mountains,2007/2008,320.6
Influenza and pneumonia,Females,Nepean Blue Mountains,2008/2009,251.5
Influenza and pneumonia,Females,Nepean Blue Mountains,2009/2010,244.1
Influenza and pneumonia,Females,Nepean Blue Mountains,2010/2011,312.5
Influenza and pneumonia,Females,Nepean Blue Mountains,2011/2012,294.6
Influenza and pneumonia,Females,Nepean Blue Mountains,2012/2013,268.4
Influenza and pneumonia,Females,Nepean Blue Mountains,2013/2014,274.9
Influenza and pneumonia,Females,Nepean Blue Mountains,2014/2015,320.3
Influenza and pneumonia,Females,Nepean Blue Mountains,2015/2016,325.9
Influenza and pneumonia,Females,Nepean Blue Mountains,2016/2017,301.1
