financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population","Persons rate per 100,000 population"
2014/2015,Northern NSW,8.2,9.4,8.7
2015/2016,Northern NSW,7.7,10.0,8.6
2016/2017,Northern NSW,8.7,11.0,9.6
2017/2018,Northern NSW,8.2,10.1,9.0
2018/2019,Northern NSW,5.7,10.7,7.8
2019/2020,Northern NSW,4.7,10.3,7.1
2020/2021,Northern NSW,3.3,5.8,4.4
2021/2022,Northern NSW,4.6499999999999995,6.6499999999999995,5.525
2022/2023,Northern NSW,6.0,7.5,6.65
2023/2024,Northern NSW,7.35,8.35,7.775
2014/2015,Northern Sydney,8.7,9.2,8.9
2015/2016,Northern Sydney,9.6,8.4,9.2
2016/2017,Northern Sydney,11.9,10.5,11.3
2017/2018,Northern Sydney,11.1,11.5,11.2
2018/2019,Northern Sydney,9.1,9.5,9.3
2019/2020,Northern Sydney,8.2,7.8,8.0
2020/2021,Northern Sydney,5.7,6.3,5.9
2021/2022,Northern Sydney,6.025,6.85,6.375
2022/2023,Northern Sydney,6.35,7.4,6.85
2023/2024,Northern Sydney,6.675,7.95,7.325
2014/2015,South Eastern Sydney,7.0,8.5,7.8
2015/2016,South Eastern Sydney,5.9,8.5,7.2
2016/2017,South Eastern Sydney,8.0,9.8,8.9
2017/2018,South Eastern Sydney,8.2,9.5,8.8
2018/2019,South Eastern Sydney,6.6,8.4,7.4
2019/2020,South Eastern Sydney,5.8,6.4,6.1
2020/2021,South Eastern Sydney,4.2,5.2,4.7
2021/2022,South Eastern Sydney,4.725,5.775,5.25
2022/2023,South Eastern Sydney,5.25,6.35,5.800000000000001
2023/2024,South Eastern Sydney,5.775,6.925,6.3500000000000005
2014/2015,South Western Sydney,6.3,7.5,6.9
2015/2016,South Western Sydney,8.0,8.2,8.1
2016/2017,South Western Sydney,8.9,9.6,9.2
2017/2018,South Western Sydney,8.6,9.6,9.1
2018/2019,South Western Sydney,7.7,9.9,8.8
2019/2020,South Western Sydney,5.9,8.7,7.2
2020/2021,South Western Sydney,4.8,6.3,5.5
2021/2022,South Western Sydney,5.8,7.975,6.775
2022/2023,South Western Sydney,6.800000000000001,9.65,8.05
2023/2024,South Western Sydney,7.800000000000001,11.325,9.325
2014/2015,Southern NSW,8.8,13.0,10.6
2015/2016,Southern NSW,8.6,9.7,9.0
2016/2017,Southern NSW,13.3,15.0,14.2
2017/2018,Southern NSW,11.3,16.2,13.6
2018/2019,Southern NSW,9.5,9.4,9.5
2019/2020,Southern NSW,8.0,7.4,7.8
2020/2021,Southern NSW,3.9,4.5,4.2
2021/2022,Southern NSW,4.725,5.35,5.1
2022/2023,Southern NSW,5.55,6.2,6.0
2023/2024,Southern NSW,6.375,7.050000000000001,6.9
2014/2015,Sydney,7.2,7.9,7.8
2015/2016,Sydney,8.3,8.4,8.6
2016/2017,Sydney,9.8,13.3,11.4
2017/2018,Sydney,8.9,13.9,11.0
2018/2019,Sydney,8.2,12.1,9.9
2019/2020,Sydney,6.9,9.8,8.2
2020/2021,Sydney,4.0,6.0,4.9
2021/2022,Sydney,5.175,6.825,5.95
2022/2023,Sydney,6.35,7.65,7.0
2023/2024,Sydney,7.5249999999999995,8.475000000000001,8.05
2014/2015,Western NSW,8.7,9.3,9.1
2015/2016,Western NSW,12.2,9.8,11.3
2016/2017,Western NSW,14.8,15.5,15.0
2017/2018,Western NSW,11.5,14.1,12.5
2018/2019,Western NSW,11.9,12.9,12.4
2019/2020,Western NSW,9.8,11.4,10.6
2020/2021,Western NSW,4.8,8.6,6.5
2021/2022,Western NSW,5.675,8.7,7.05
2022/2023,Western NSW,6.550000000000001,8.8,7.6
2023/2024,Western NSW,7.425000000000001,8.9,8.149999999999999
2014/2015,Western Sydney,8.3,9.0,8.7
2015/2016,Western Sydney,8.0,8.9,8.4
2016/2017,Western Sydney,10.4,10.6,10.7
2017/2018,Western Sydney,8.6,9.3,9.0
2018/2019,Western Sydney,8.3,9.5,8.8
2019/2020,Western Sydney,7.2,9.2,8.1
2020/2021,Western Sydney,4.0,5.7,4.8
2021/2022,Western Sydney,4.0,5.7,4.8
2022/2023,Western Sydney,4.0,5.7,4.8
2023/2024,Western Sydney,4.0,5.7,4.8
