"Influenza and pneumonia hospitalisations by Age (years), Sex and LHD",,,,,,
Age (years),Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
0-4 years,Persons,Central Coast LHD,5-Jun,424.5,336.6,528.4
0-4 years,Persons,Central Coast LHD,6-Jul,320.7,245.3,412
0-4 years,Persons,Central Coast LHD,7-Aug,431.1,343.9,533.7
0-4 years,Persons,Central Coast LHD,8-Sep,466.2,376.3,571.1
0-4 years,Persons,Central Coast LHD,9-Oct,344.9,268.9,435.8
0-4 years,Persons,Central Coast LHD,10-Nov,402.9,320.4,500.1
0-4 years,Persons,Central Coast LHD,11-Dec,349,272.6,440.2
0-4 years,Persons,Central Coast LHD,Dec-13,317.3,244.9,404.5
0-4 years,Persons,Central Coast LHD,13/14,272.4,205.8,353.8
0-4 years,Persons,Central Coast LHD,14/15,461.2,373.1,563.8
0-4 years,Persons,Central Coast LHD,15/16,501.8,410,608
0-4 years,Persons,Central Coast LHD,16/17,380.8,301.5,474.6
0-4 years,Persons,Central Coast LHD,17/18,571.9,473.4,684.9
0-4 years,Persons,Central Coast LHD,18/19,732.9,620.3,860
0-4 years,Persons,Central Coast LHD,19/20,700.4,589.9,825.5
0-4 years,Persons,Central Coast LHD,20/21,442.5,354.9,545.2
0-4 years,Persons,Hunter New England LHD,1-Feb,642.3,575.9,714.2
0-4 years,Persons,Hunter New England LHD,2-Mar,655.2,588,728
0-4 years,Persons,Hunter New England LHD,3-Apr,690.4,621.1,765.4
0-4 years,Persons,Hunter New England LHD,4-May,581,517.3,650.3
0-4 years,Persons,Hunter New England LHD,5-Jun,428.9,374.3,489.2
0-4 years,Persons,Hunter New England LHD,6-Jul,508.4,449.1,573.3
0-4 years,Persons,Hunter New England LHD,7-Aug,484.1,426.9,546.7
0-4 years,Persons,Hunter New England LHD,8-Sep,354.3,306.2,407.8
0-4 years,Persons,Hunter New England LHD,9-Oct,404.5,353.5,460.8
0-4 years,Persons,Hunter New England LHD,10-Nov,373.9,325.1,428.1
0-4 years,Persons,Hunter New England LHD,11-Dec,406.5,355.6,462.7
0-4 years,Persons,Hunter New England LHD,Dec-13,347.3,300.6,399.1
0-4 years,Persons,Hunter New England LHD,13/14,303.1,259.7,351.6
0-4 years,Persons,Hunter New England LHD,14/15,482.7,427.6,542.9
0-4 years,Persons,Hunter New England LHD,15/16,502.5,446.5,563.5
0-4 years,Persons,Hunter New England LHD,16/17,465,411.2,523.9
0-4 years,Persons,Hunter New England LHD,17/18,589.8,528.5,656.3
0-4 years,Persons,Hunter New England LHD,18/19,647,582.3,716.9
0-4 years,Persons,Hunter New England LHD,19/20,402,351.2,458.1
0-4 years,Persons,Hunter New England LHD,20/21,322.1,276.5,373.1
0-4 years,Persons,Northern NSW LHD,1-Feb,981.8,834.7,"1,147.40"
0-4 years,Persons,Northern NSW LHD,2-Mar,810.8,677.4,962.8
0-4 years,Persons,Northern NSW LHD,3-Apr,684,561.6,825.1
0-4 years,Persons,Northern NSW LHD,4-May,736.9,608.9,883.8
0-4 years,Persons,Northern NSW LHD,5-Jun,611.5,494.7,747.5
0-4 years,Persons,Northern NSW LHD,6-Jul,448.2,349.4,566.2
0-4 years,Persons,Northern NSW LHD,7-Aug,768.7,638.9,917.2
0-4 years,Persons,Northern NSW LHD,8-Sep,748.4,622,893
0-4 years,Persons,Northern NSW LHD,9-Oct,652.8,536.5,786.8
0-4 years,Persons,Northern NSW LHD,10-Nov,533.5,429,655.8
0-4 years,Persons,Northern NSW LHD,11-Dec,477.6,378.7,594.4
0-4 years,Persons,Northern NSW LHD,Dec-13,328.6,247.5,427.7
0-4 years,Persons,Northern NSW LHD,13/14,537.1,431.3,660.9
0-4 years,Persons,Northern NSW LHD,14/15,451.7,354.7,567
0-4 years,Persons,Northern NSW LHD,15/16,792.3,661.5,941.4
0-4 years,Persons,Northern NSW LHD,16/17,490,387.9,610.6
0-4 years,Persons,Northern NSW LHD,17/18,678.8,556.8,819.6
0-4 years,Persons,Northern NSW LHD,18/19,973.8,826.1,"1,140.30"
0-4 years,Persons,Northern NSW LHD,19/20,788,655.9,938.9
0-4 years,Persons,Northern NSW LHD,20/21,374.2,284.8,482.7
0-4 years,Persons,Mid North Coast LHD,1-Feb,740.9,589.3,919.7
0-4 years,Persons,Mid North Coast LHD,2-Mar,"1,006.20",827.7,"1,211.70"
0-4 years,Persons,Mid North Coast LHD,3-Apr,"1,473.30","1,255.20","1,718.50"
0-4 years,Persons,Mid North Coast LHD,4-May,831.1,668.3,"1,021.60"
0-4 years,Persons,Mid North Coast LHD,5-Jun,728.7,576,909.5
0-4 years,Persons,Mid North Coast LHD,6-Jul,672,526.8,845
0-4 years,Persons,Mid North Coast LHD,7-Aug,737.9,587.7,914.7
0-4 years,Persons,Mid North Coast LHD,8-Sep,902,737.7,"1,091.90"
0-4 years,Persons,Mid North Coast LHD,9-Oct,776.2,626.5,950.9
0-4 years,Persons,Mid North Coast LHD,10-Nov,545.5,421.9,694
0-4 years,Persons,Mid North Coast LHD,11-Dec,477.7,362.7,617.5
0-4 years,Persons,Mid North Coast LHD,Dec-13,424.1,316.8,556.2
0-4 years,Persons,Mid North Coast LHD,13/14,343.2,247.3,463.9
0-4 years,Persons,Mid North Coast LHD,14/15,403.8,298.7,533.8
0-4 years,Persons,Mid North Coast LHD,15/16,441.4,330.7,577.4
0-4 years,Persons,Mid North Coast LHD,16/17,533.6,410.1,682.8
0-4 years,Persons,Mid North Coast LHD,17/18,491.6,372.3,636.9
0-4 years,Persons,Mid North Coast LHD,18/19,595.3,463.2,753.3
0-4 years,Persons,Mid North Coast LHD,19/20,528.2,405,677.2
0-4 years,Persons,Mid North Coast LHD,20/21,383.7,279.9,513.4
0-4 years,Persons,Southern NSW LHD,1-Feb,615.6,478,780.4
0-4 years,Persons,Southern NSW LHD,2-Mar,596.7,461.5,759.2
0-4 years,Persons,Southern NSW LHD,3-Apr,570.8,438.6,730.3
0-4 years,Persons,Southern NSW LHD,4-May,545.8,416.5,702.6
0-4 years,Persons,Southern NSW LHD,5-Jun,491.2,369,641
0-4 years,Persons,Southern NSW LHD,6-Jul,332.8,234.3,458.8
0-4 years,Persons,Southern NSW LHD,7-Aug,431.7,319.4,570.7
0-4 years,Persons,Southern NSW LHD,8-Sep,439.9,327.5,578.4
0-4 years,Persons,Southern NSW LHD,9-Oct,481.3,364.5,623.6
0-4 years,Persons,Southern NSW LHD,10-Nov,635.7,500.8,795.6
0-4 years,Persons,Southern NSW LHD,11-Dec,533.6,411,681.4
0-4 years,Persons,Southern NSW LHD,Dec-13,365.8,265.8,491.1
0-4 years,Persons,Southern NSW LHD,13/14,434.6,324.6,570
0-4 years,Persons,Southern NSW LHD,14/15,278.9,192,391.7
0-4 years,Persons,Southern NSW LHD,15/16,502.2,382.3,647.8
0-4 years,Persons,Southern NSW LHD,16/17,521.7,399,670.1
0-4 years,Persons,Southern NSW LHD,17/18,703.4,559.5,873.2
0-4 years,Persons,Southern NSW LHD,18/19,754.6,605.2,929.7
0-4 years,Persons,Southern NSW LHD,19/20,392.4,287.3,523.4
0-4 years,Persons,Southern NSW LHD,20/21,351.4,252.2,476.8
0-4 years,Persons,Murrumbidgee LHD,1-Feb,616.1,503.9,745.8
0-4 years,Persons,Murrumbidgee LHD,2-Mar,592.7,481.7,721.6
0-4 years,Persons,Murrumbidgee LHD,3-Apr,692.7,570.9,832.8
0-4 years,Persons,Murrumbidgee LHD,4-May,462.2,362.9,580.2
0-4 years,Persons,Murrumbidgee LHD,5-Jun,535.8,427.9,662.5
0-4 years,Persons,Murrumbidgee LHD,6-Jul,334.8,250.8,438
0-4 years,Persons,Murrumbidgee LHD,7-Aug,541,432.7,668.1
0-4 years,Persons,Murrumbidgee LHD,8-Sep,587.7,474.9,719.2
0-4 years,Persons,Murrumbidgee LHD,9-Oct,436.1,340,551
0-4 years,Persons,Murrumbidgee LHD,10-Nov,566.9,456.5,696.1
0-4 years,Persons,Murrumbidgee LHD,11-Dec,578.6,467,708.8
0-4 years,Persons,Murrumbidgee LHD,Dec-13,446.4,349.3,562.2
0-4 years,Persons,Murrumbidgee LHD,13/14,374,285.4,481.4
0-4 years,Persons,Murrumbidgee LHD,14/15,530.3,423,656.5
0-4 years,Persons,Murrumbidgee LHD,15/16,627.3,509.8,763.7
0-4 years,Persons,Murrumbidgee LHD,16/17,580.4,467.3,712.6
0-4 years,Persons,Murrumbidgee LHD,17/18,561.7,449.9,692.9
0-4 years,Persons,Murrumbidgee LHD,18/19,611.3,494,748.1
0-4 years,Persons,Murrumbidgee LHD,19/20,520.2,412.5,647.4
0-4 years,Persons,Murrumbidgee LHD,20/21,433.7,335.4,551.8
0-4 years,Persons,Western NSW LHD,1-Feb,"1,113.70",971.7,"1,270.60"
0-4 years,Persons,Western NSW LHD,2-Mar,"1,234.90","1,083.60","1,401.50"
0-4 years,Persons,Western NSW LHD,3-Apr,"1,295.30","1,138.80","1,467.30"
0-4 years,Persons,Western NSW LHD,4-May,802.2,679,941.4
0-4 years,Persons,Western NSW LHD,5-Jun,831.1,704.2,974.2
0-4 years,Persons,Western NSW LHD,6-Jul,553.1,450.5,672.1
0-4 years,Persons,Western NSW LHD,7-Aug,664.8,553,792.7
0-4 years,Persons,Western NSW LHD,8-Sep,674.8,563.3,801.8
0-4 years,Persons,Western NSW LHD,9-Oct,602.9,499.1,722.1
0-4 years,Persons,Western NSW LHD,10-Nov,756.9,640.3,888.7
0-4 years,Persons,Western NSW LHD,11-Dec,734.5,619.4,864.7
0-4 years,Persons,Western NSW LHD,Dec-13,499.8,405.8,609.1
0-4 years,Persons,Western NSW LHD,13/14,435.7,348,538.8
0-4 years,Persons,Western NSW LHD,14/15,608.3,503.5,728.5
0-4 years,Persons,Western NSW LHD,15/16,658.3,549.2,782.7
0-4 years,Persons,Western NSW LHD,16/17,640.7,532.9,763.9
0-4 years,Persons,Western NSW LHD,17/18,639.4,531,763.5
0-4 years,Persons,Western NSW LHD,18/19,877.7,749.3,"1,021.90"
0-4 years,Persons,Western NSW LHD,19/20,627.7,519.6,751.7
0-4 years,Persons,Western NSW LHD,20/21,377.6,294.4,477.1
0-4 years,Persons,All LHDs,1-Feb,686.9,662.5,712
0-4 years,Persons,All LHDs,2-Mar,682.5,658.1,707.6
0-4 years,Persons,All LHDs,3-Apr,755.3,729.6,781.7
0-4 years,Persons,All LHDs,4-May,590.6,567.8,614.1
0-4 years,Persons,All LHDs,5-Jun,493.3,472.5,514.7
0-4 years,Persons,All LHDs,6-Jul,477.8,457.5,498.8
0-4 years,Persons,All LHDs,7-Aug,566.4,544.6,588.8
0-4 years,Persons,All LHDs,8-Sep,516.1,495.5,537.2
0-4 years,Persons,All LHDs,9-Oct,555.7,534.6,577.5
0-4 years,Persons,All LHDs,10-Nov,524.9,504.4,545.9
0-4 years,Persons,All LHDs,11-Dec,510.3,490.2,531
0-4 years,Persons,All LHDs,Dec-13,444.8,426.2,463.9
0-4 years,Persons,All LHDs,13/14,458.4,439.6,477.7
0-4 years,Persons,All LHDs,14/15,524.7,504.7,545.3
0-4 years,Persons,All LHDs,15/16,572.2,551.4,593.6
0-4 years,Persons,All LHDs,16/17,529,509.1,549.5
0-4 years,Persons,All LHDs,17/18,659.1,636.8,682
0-4 years,Persons,All LHDs,18/19,695.9,673,719.5
0-4 years,Persons,All LHDs,19/20,587.1,566,608.8
0-4 years,Persons,All LHDs,20/21,397.2,379.7,415.2
65+ years,Males,Sydney LHD,1-Feb,"1,614.10","1,454.10","1,786.70"
65+ years,Males,Sydney LHD,2-Mar,"1,703.00","1,533.30","1,886.00"
65+ years,Males,Sydney LHD,3-Apr,"1,802.50","1,619.80","1,999.70"
65+ years,Males,Sydney LHD,4-May,"1,959.90","1,772.10","2,161.50"
65+ years,Males,Sydney LHD,5-Jun,"1,398.80","1,252.60","1,557.10"
65+ years,Males,Sydney LHD,6-Jul,"1,535.60","1,388.90","1,693.50"
65+ years,Males,Sydney LHD,7-Aug,"1,541.40","1,397.00","1,696.60"
65+ years,Males,Sydney LHD,8-Sep,"1,253.00","1,125.30","1,391.10"
65+ years,Males,Sydney LHD,9-Oct,"1,183.10","1,060.90","1,315.50"
65+ years,Males,Sydney LHD,10-Nov,"1,306.70","1,179.60","1,443.60"
65+ years,Males,Sydney LHD,11-Dec,"1,499.40","1,365.60","1,642.80"
65+ years,Males,Sydney LHD,Dec-13,"1,432.70","1,303.90","1,570.60"
65+ years,Males,Sydney LHD,13/14,"1,264.80","1,146.20","1,392.40"
65+ years,Males,Sydney LHD,14/15,"1,671.40","1,536.50","1,815.00"
65+ years,Males,Sydney LHD,15/16,"1,616.10","1,485.70","1,754.80"
65+ years,Males,Sydney LHD,16/17,"2,070.30","1,924.70","2,223.90"
65+ years,Males,Sydney LHD,17/18,"2,182.80","2,035.60","2,337.90"
65+ years,Males,Sydney LHD,18/19,"1,788.80","1,658.80","1,926.30"
65+ years,Males,Sydney LHD,19/20,"1,929.50","1,797.30","2,068.90"
65+ years,Males,Sydney LHD,20/21,"1,084.00",987.6,"1,187.20"
65+ years,Males,South Western Sydney LHD,1-Feb,"1,453.10","1,312.40","1,604.30"
65+ years,Males,South Western Sydney LHD,2-Mar,"1,324.50","1,193.50","1,465.60"
65+ years,Males,South Western Sydney LHD,3-Apr,"1,418.80","1,286.90","1,560.30"
65+ years,Males,South Western Sydney LHD,4-May,"1,300.40","1,177.40","1,432.50"
65+ years,Males,South Western Sydney LHD,5-Jun,"1,122.00","1,010.70","1,242.10"
65+ years,Males,South Western Sydney LHD,6-Jul,"1,222.50","1,106.30","1,347.30"
65+ years,Males,South Western Sydney LHD,7-Aug,"1,322.10","1,205.90","1,446.50"
65+ years,Males,South Western Sydney LHD,8-Sep,"1,297.80","1,184.90","1,418.50"
65+ years,Males,South Western Sydney LHD,9-Oct,"1,039.00",940.5,"1,144.90"
65+ years,Males,South Western Sydney LHD,10-Nov,"1,277.00","1,170.70","1,390.20"
65+ years,Males,South Western Sydney LHD,11-Dec,"1,447.70","1,336.90","1,565.10"
65+ years,Males,South Western Sydney LHD,Dec-13,"1,326.60","1,222.20","1,437.50"
65+ years,Males,South Western Sydney LHD,13/14,"1,155.70","1,060.70","1,256.90"
65+ years,Males,South Western Sydney LHD,14/15,"1,507.70","1,401.10","1,620.30"
65+ years,Males,South Western Sydney LHD,15/16,"1,522.30","1,417.20","1,633.10"
65+ years,Males,South Western Sydney LHD,16/17,"1,763.20","1,652.40","1,879.50"
65+ years,Males,South Western Sydney LHD,17/18,"1,930.40","1,816.90","2,049.00"
65+ years,Males,South Western Sydney LHD,18/19,"1,727.10","1,622.10","1,837.10"
65+ years,Males,South Western Sydney LHD,19/20,"1,627.00","1,527.00","1,731.70"
65+ years,Males,South Western Sydney LHD,20/21,"1,078.30",999.2,"1,162.00"
65+ years,Males,South Eastern Sydney LHD,1-Feb,"1,334.10","1,225.00","1,450.10"
65+ years,Males,South Eastern Sydney LHD,2-Mar,"1,271.80","1,166.90","1,383.60"
65+ years,Males,South Eastern Sydney LHD,3-Apr,"1,372.60","1,264.30","1,487.50"
65+ years,Males,South Eastern Sydney LHD,4-May,"1,283.80","1,180.60","1,393.70"
65+ years,Males,South Eastern Sydney LHD,5-Jun,"1,193.00","1,094.30","1,298.20"
65+ years,Males,South Eastern Sydney LHD,6-Jul,"1,268.20","1,168.00","1,374.80"
65+ years,Males,South Eastern Sydney LHD,7-Aug,"1,348.20","1,245.80","1,456.70"
65+ years,Males,South Eastern Sydney LHD,8-Sep,"1,216.40","1,120.60","1,318.20"
65+ years,Males,South Eastern Sydney LHD,9-Oct,"1,247.70","1,151.80","1,349.60"
65+ years,Males,South Eastern Sydney LHD,10-Nov,"1,236.40","1,142.40","1,336.10"
65+ years,Males,South Eastern Sydney LHD,11-Dec,"1,509.20","1,405.90","1,618.10"
65+ years,Males,South Eastern Sydney LHD,Dec-13,"1,426.20","1,327.00","1,530.90"
65+ years,Males,South Eastern Sydney LHD,13/14,"1,243.50","1,152.20","1,340.20"
65+ years,Males,South Eastern Sydney LHD,14/15,"1,572.20","1,470.40","1,679.00"
65+ years,Males,South Eastern Sydney LHD,15/16,"1,485.60","1,388.60","1,587.50"
65+ years,Males,South Eastern Sydney LHD,16/17,"1,608.70","1,509.30","1,712.90"
65+ years,Males,South Eastern Sydney LHD,17/18,"1,945.40","1,837.20","2,058.30"
65+ years,Males,South Eastern Sydney LHD,18/19,"1,706.00","1,606.00","1,810.50"
65+ years,Males,South Eastern Sydney LHD,19/20,"1,693.80","1,595.80","1,796.20"
65+ years,Males,South Eastern Sydney LHD,20/21,941,869.6,"1,016.70"
65+ years,Males,Illawarra Shoalhaven LHD,1-Feb,"1,278.70","1,129.10","1,442.40"
65+ years,Males,Illawarra Shoalhaven LHD,2-Mar,"1,226.70","1,084.00","1,382.90"
65+ years,Males,Illawarra Shoalhaven LHD,3-Apr,991.7,865.1,"1,131.30"
65+ years,Males,Illawarra Shoalhaven LHD,4-May,"1,190.90","1,053.20","1,341.30"
65+ years,Males,Illawarra Shoalhaven LHD,5-Jun,"1,156.20","1,022.50","1,302.30"
65+ years,Males,Illawarra Shoalhaven LHD,6-Jul,"1,199.20","1,066.80","1,343.40"
65+ years,Males,Illawarra Shoalhaven LHD,7-Aug,"1,197.70","1,067.70","1,338.90"
65+ years,Males,Illawarra Shoalhaven LHD,8-Sep,"1,369.50","1,232.80","1,517.00"
65+ years,Males,Illawarra Shoalhaven LHD,9-Oct,"1,363.00","1,229.70","1,506.70"
65+ years,Males,Illawarra Shoalhaven LHD,10-Nov,"1,308.40","1,182.00","1,444.60"
65+ years,Males,Illawarra Shoalhaven LHD,11-Dec,"1,436.20","1,305.80","1,575.90"
65+ years,Males,Illawarra Shoalhaven LHD,Dec-13,"1,700.00","1,559.80","1,849.40"
65+ years,Males,Illawarra Shoalhaven LHD,13/14,"1,819.70","1,677.00","1,971.20"
65+ years,Males,Illawarra Shoalhaven LHD,14/15,"1,792.00","1,652.20","1,940.40"
65+ years,Males,Illawarra Shoalhaven LHD,15/16,"1,537.40","1,409.50","1,673.70"
65+ years,Males,Illawarra Shoalhaven LHD,16/17,"1,743.10","1,608.60","1,885.80"
65+ years,Males,Illawarra Shoalhaven LHD,17/18,"2,202.60","2,053.80","2,359.30"
65+ years,Males,Illawarra Shoalhaven LHD,18/19,"1,887.60","1,752.00","2,031.00"
65+ years,Males,Illawarra Shoalhaven LHD,19/20,"1,915.30","1,780.60","2,057.40"
65+ years,Males,Illawarra Shoalhaven LHD,20/21,"1,277.30","1,169.50","1,392.30"
65+ years,Males,Western Sydney LHD,1-Feb,"1,344.10","1,200.30","1,500.10"
65+ years,Males,Western Sydney LHD,2-Mar,"1,324.10","1,184.80","1,475.00"
65+ years,Males,Western Sydney LHD,3-Apr,"1,281.90","1,145.60","1,429.70"
65+ years,Males,Western Sydney LHD,4-May,"1,292.50","1,157.40","1,438.70"
65+ years,Males,Western Sydney LHD,5-Jun,"1,300.80","1,166.50","1,446.00"
65+ years,Males,Western Sydney LHD,6-Jul,"1,312.90","1,182.10","1,453.90"
65+ years,Males,Western Sydney LHD,7-Aug,"1,440.90","1,307.10","1,584.40"
65+ years,Males,Western Sydney LHD,8-Sep,"1,462.60","1,330.10","1,604.50"
65+ years,Males,Western Sydney LHD,9-Oct,"1,443.40","1,315.30","1,580.40"
65+ years,Males,Western Sydney LHD,10-Nov,"1,477.70","1,350.90","1,613.00"
65+ years,Males,Western Sydney LHD,11-Dec,"1,669.60","1,537.50","1,809.80"
65+ years,Males,Western Sydney LHD,Dec-13,"1,508.00","1,386.00","1,637.70"
65+ years,Males,Western Sydney LHD,13/14,"1,529.70","1,409.60","1,657.10"
65+ years,Males,Western Sydney LHD,14/15,"1,640.90","1,518.70","1,770.20"
65+ years,Males,Western Sydney LHD,15/16,"1,470.40","1,357.40","1,590.20"
65+ years,Males,Western Sydney LHD,16/17,"1,668.60","1,550.50","1,793.30"
65+ years,Males,Western Sydney LHD,17/18,"1,935.10","1,810.80","2,065.60"
65+ years,Males,Western Sydney LHD,18/19,"1,642.40","1,531.30","1,759.30"
65+ years,Males,Western Sydney LHD,19/20,"1,592.80","1,485.90","1,705.20"
65+ years,Males,Western Sydney LHD,20/21,"1,054.40",970.7,"1,143.20"
65+ years,Males,Nepean Blue Mountains LHD,1-Feb,"1,779.40","1,541.30","2,043.30"
65+ years,Males,Nepean Blue Mountains LHD,2-Mar,"1,426.20","1,227.00","1,648.10"
65+ years,Males,Nepean Blue Mountains LHD,3-Apr,"1,438.60","1,240.40","1,659.20"
65+ years,Males,Nepean Blue Mountains LHD,4-May,"1,527.80","1,319.40","1,759.30"
65+ years,Males,Nepean Blue Mountains LHD,5-Jun,"1,417.40","1,211.80","1,646.90"
65+ years,Males,Nepean Blue Mountains LHD,6-Jul,"1,332.70","1,139.10","1,549.30"
65+ years,Males,Nepean Blue Mountains LHD,7-Aug,"2,036.80","1,802.70","2,292.50"
65+ years,Males,Nepean Blue Mountains LHD,8-Sep,"1,578.40","1,374.60","1,803.20"
65+ years,Males,Nepean Blue Mountains LHD,9-Oct,"1,353.50","1,172.80","1,553.80"
65+ years,Males,Nepean Blue Mountains LHD,10-Nov,"1,847.50","1,637.20","2,076.90"
65+ years,Males,Nepean Blue Mountains LHD,11-Dec,"1,848.10","1,641.50","2,072.90"
65+ years,Males,Nepean Blue Mountains LHD,Dec-13,"1,555.70","1,372.40","1,756.20"
65+ years,Males,Nepean Blue Mountains LHD,13/14,"1,583.90","1,402.50","1,782.00"
65+ years,Males,Nepean Blue Mountains LHD,14/15,"1,883.80","1,690.80","2,092.40"
65+ years,Males,Nepean Blue Mountains LHD,15/16,"1,712.10","1,531.00","1,908.30"
65+ years,Males,Nepean Blue Mountains LHD,16/17,"1,758.50","1,578.20","1,953.50"
65+ years,Males,Nepean Blue Mountains LHD,17/18,"2,213.70","2,014.70","2,426.90"
65+ years,Males,Nepean Blue Mountains LHD,18/19,"1,879.30","1,700.70","2,071.20"
65+ years,Males,Nepean Blue Mountains LHD,19/20,"1,686.30","1,521.60","1,863.70"
65+ years,Males,Nepean Blue Mountains LHD,20/21,"1,210.80","1,075.10","1,358.50"
65+ years,Males,Northern Sydney LHD,1-Feb,"1,138.00","1,039.60","1,243.20"
65+ years,Males,Northern Sydney LHD,2-Mar,"1,158.70","1,061.10","1,262.90"
65+ years,Males,Northern Sydney LHD,3-Apr,"1,146.70","1,051.10","1,248.70"
65+ years,Males,Northern Sydney LHD,4-May,"1,212.70","1,115.30","1,316.30"
65+ years,Males,Northern Sydney LHD,5-Jun,"1,127.90","1,034.60","1,227.40"
65+ years,Males,Northern Sydney LHD,6-Jul,"1,169.00","1,075.20","1,268.90"
65+ years,Males,Northern Sydney LHD,7-Aug,"1,321.20","1,223.20","1,425.10"
65+ years,Males,Northern Sydney LHD,8-Sep,"1,208.20","1,116.00","1,305.90"
65+ years,Males,Northern Sydney LHD,9-Oct,"1,118.00","1,031.00","1,210.50"
65+ years,Males,Northern Sydney LHD,10-Nov,"1,159.60","1,071.80","1,252.80"
65+ years,Males,Northern Sydney LHD,11-Dec,"1,269.90","1,179.50","1,365.40"
65+ years,Males,Northern Sydney LHD,Dec-13,"1,214.60","1,127.40","1,306.90"
65+ years,Males,Northern Sydney LHD,13/14,"1,232.50","1,145.50","1,324.30"
65+ years,Males,Northern Sydney LHD,14/15,"1,430.40","1,337.90","1,527.70"
65+ years,Males,Northern Sydney LHD,15/16,"1,513.20","1,419.70","1,611.20"
65+ years,Males,Northern Sydney LHD,16/17,"1,561.40","1,467.40","1,659.80"
65+ years,Males,Northern Sydney LHD,17/18,"1,856.90","1,756.00","1,962.10"
65+ years,Males,Northern Sydney LHD,18/19,"1,595.90","1,504.00","1,692.00"
65+ years,Males,Northern Sydney LHD,19/20,"1,444.30","1,358.50","1,534.30"
65+ years,Males,Northern Sydney LHD,20/21,845.5,781.4,913.4
65+ years,Males,Central Coast LHD,1-Feb,"1,309.30","1,160.50","1,471.80"
65+ years,Males,Central Coast LHD,2-Mar,"1,351.10","1,201.80","1,513.70"
65+ years,Males,Central Coast LHD,3-Apr,"1,227.60","1,086.40","1,382.10"
65+ years,Males,Central Coast LHD,4-May,"1,097.60",966.6,"1,241.40"
65+ years,Males,Central Coast LHD,5-Jun,"1,297.30","1,156.40","1,450.80"
65+ years,Males,Central Coast LHD,6-Jul,"1,220.10","1,084.40","1,368.00"
65+ years,Males,Central Coast LHD,7-Aug,"1,401.50","1,257.70","1,557.20"
65+ years,Males,Central Coast LHD,8-Sep,"1,214.60","1,082.20","1,358.80"
65+ years,Males,Central Coast LHD,9-Oct,"1,223.20","1,091.80","1,366.00"
65+ years,Males,Central Coast LHD,10-Nov,"1,407.20","1,268.10","1,557.30"
65+ years,Males,Central Coast LHD,11-Dec,"1,381.80","1,246.20","1,528.10"
65+ years,Males,Central Coast LHD,Dec-13,"1,463.60","1,325.40","1,612.30"
65+ years,Males,Central Coast LHD,13/14,"1,597.70","1,454.80","1,750.80"
65+ years,Males,Central Coast LHD,14/15,"1,730.50","1,583.80","1,887.10"
65+ years,Males,Central Coast LHD,15/16,"1,701.70","1,558.20","1,854.80"
65+ years,Males,Central Coast LHD,16/17,"1,609.70","1,471.90","1,757.00"
65+ years,Males,Central Coast LHD,17/18,"1,909.30","1,760.20","2,067.70"
65+ years,Males,Central Coast LHD,18/19,"1,708.00","1,568.50","1,856.70"
65+ years,Males,Central Coast LHD,19/20,"1,673.90","1,537.20","1,819.50"
65+ years,Males,Central Coast LHD,20/21,"1,044.10",937.7,"1,159.10"
65+ years,Males,Hunter New England LHD,1-Feb,"1,456.70","1,349.80","1,569.80"
65+ years,Males,Hunter New England LHD,2-Mar,"1,538.40","1,429.40","1,653.40"
65+ years,Males,Hunter New England LHD,3-Apr,"1,483.60","1,378.30","1,594.60"
65+ years,Males,Hunter New England LHD,4-May,"1,635.20","1,526.80","1,749.20"
65+ years,Males,Hunter New England LHD,5-Jun,"1,329.20","1,233.00","1,430.90"
65+ years,Males,Hunter New England LHD,6-Jul,"1,340.70","1,246.00","1,440.70"
65+ years,Males,Hunter New England LHD,7-Aug,"1,427.70","1,331.30","1,529.20"
65+ years,Males,Hunter New England LHD,8-Sep,"1,455.10","1,359.30","1,555.70"
65+ years,Males,Hunter New England LHD,9-Oct,"1,334.60","1,244.60","1,429.40"
65+ years,Males,Hunter New England LHD,10-Nov,"1,375.10","1,285.50","1,469.30"
65+ years,Males,Hunter New England LHD,11-Dec,"1,494.00","1,402.10","1,590.20"
65+ years,Males,Hunter New England LHD,Dec-13,"1,418.80","1,330.60","1,511.30"
65+ years,Males,Hunter New England LHD,13/14,"1,521.00","1,431.20","1,614.90"
65+ years,Males,Hunter New England LHD,14/15,"1,739.70","1,644.70","1,838.70"
65+ years,Males,Hunter New England LHD,15/16,"1,670.30","1,578.00","1,766.60"
65+ years,Males,Hunter New England LHD,16/17,"1,836.30","1,740.80","1,935.50"
65+ years,Males,Hunter New England LHD,17/18,"2,145.50","2,043.80","2,251.00"
65+ years,Males,Hunter New England LHD,18/19,"1,777.30","1,686.30","1,871.90"
65+ years,Males,Hunter New England LHD,19/20,"1,733.90","1,645.50","1,825.90"
65+ years,Males,Hunter New England LHD,20/21,"1,258.90","1,185.20","1,335.90"
65+ years,Males,Northern NSW LHD,1-Feb,"1,256.90","1,104.30","1,424.70"
65+ years,Males,Northern NSW LHD,2-Mar,"1,333.50","1,178.20","1,503.50"
65+ years,Males,Northern NSW LHD,3-Apr,"1,093.30",953.5,"1,247.60"
65+ years,Males,Northern NSW LHD,4-May,"1,032.90",899.3,"1,180.50"
65+ years,Males,Northern NSW LHD,5-Jun,"1,057.30",924.1,"1,204.20"
