sex,lhd,financial year,"rate per 100,000 population"
Males,Nepean Blue Mountains,2020/2021,235.1
Males,Nepean Blue Mountains,2021/2022,236.5
Males,Nepean Blue Mountains,2022/2023,260.8
Males,Northern Sydney,2014/2015,283.0
Males,Northern Sydney,2015/2016,263.9
Males,Northern Sydney,2016/2017,243.2
Males,Northern Sydney,2017/2018,216.7
Males,Northern Sydney,2018/2019,223.0
Males,Northern Sydney,2019/2020,183.5
Males,Northern Sydney,2020/2021,146.1
Males,Northern Sydney,2021/2022,131.2
Males,Northern Sydney,2022/2023,163.4
Males,Central Coast,2014/2015,354.3
Males,Central Coast,2015/2016,350.7
Males,Central Coast,2016/2017,339.7
Males,Central Coast,2017/2018,344.0
Males,Central Coast,2018/2019,349.0
Males,Central Coast,2019/2020,319.8
Males,Central Coast,2020/2021,286.1
Males,Central Coast,2021/2022,251.0
Males,Central Coast,2022/2023,308.1
Males,Hunter New England,2014/2015,445.5
Males,Hunter New England,2015/2016,459.5
Males,Hunter New England,2016/2017,495.8
Males,Hunter New England,2017/2018,437.2
Males,Hunter New England,2018/2019,423.3
Males,Hunter New England,2019/2020,407.8
Males,Hunter New England,2020/2021,366.0
Males,Hunter New England,2021/2022,367.1
Males,Hunter New England,2022/2023,416.7
Males,Northern NSW,2014/2015,569.8
Males,Northern NSW,2015/2016,649.9
Males,Northern NSW,2016/2017,544.5
Males,Northern NSW,2017/2018,580.1
Males,Northern NSW,2018/2019,496.5
Males,Northern NSW,2019/2020,460.8
Males,Northern NSW,2020/2021,375.9
Males,Northern NSW,2021/2022,389.2
Males,Northern NSW,2022/2023,449.9
Males,Mid North Coast,2014/2015,478.8
Males,Mid North Coast,2015/2016,517.4
Males,Mid North Coast,2016/2017,511.6
Males,Mid North Coast,2017/2018,471.1
Males,Mid North Coast,2018/2019,429.7
Males,Mid North Coast,2019/2020,409.8
Males,Mid North Coast,2020/2021,324.7
Males,Mid North Coast,2021/2022,334.9
Males,Mid North Coast,2022/2023,330.1
Males,Southern NSW,2014/2015,403.3
Males,Southern NSW,2015/2016,414.6
Males,Southern NSW,2016/2017,453.7
Males,Southern NSW,2017/2018,425.0
Males,Southern NSW,2018/2019,427.8
Males,Southern NSW,2019/2020,370.3
Males,Southern NSW,2020/2021,331.7
Males,Southern NSW,2021/2022,310.5
Males,Southern NSW,2022/2023,418.8
Males,Murrumbidgee,2014/2015,618.8
Males,Murrumbidgee,2015/2016,651.0
Males,Murrumbidgee,2016/2017,729.6
Males,Murrumbidgee,2017/2018,557.8
Males,Murrumbidgee,2018/2019,501.0
Males,Murrumbidgee,2019/2020,478.0
Males,Murrumbidgee,2020/2021,458.9
Males,Murrumbidgee,2021/2022,463.2
Males,Murrumbidgee,2022/2023,651.8
Males,Western NSW,2014/2015,376.7
Males,Western NSW,2015/2016,562.7
Males,Western NSW,2016/2017,646.5
Males,Western NSW,2017/2018,496.8
Males,Western NSW,2018/2019,493.8
Males,Western NSW,2019/2020,443.0
Males,Western NSW,2020/2021,521.1
Males,Western NSW,2021/2022,502.3
Males,Western NSW,2022/2023,575.8
Males,Far West,2014/2015,603.0
Males,Far West,2015/2016,840.8
Males,Far West,2016/2017,857.9
Males,Far West,2017/2018,572.8
Males,Far West,2018/2019,787.1
Males,Far West,2019/2020,459.6
Males,Far West,2020/2021,350.1
Males,Far West,2021/2022,349.1
Males,Far West,2022/2023,632.8
Females,Sydney,2014/2015,263.0
Females,Sydney,2015/2016,251.0
Females,Sydney,2016/2017,255.5
Females,Sydney,2017/2018,208.6
Females,Sydney,2018/2019,233.1
Females,Sydney,2019/2020,199.2
Females,Sydney,2020/2021,183.8
Females,Sydney,2021/2022,159.1
Females,Sydney,2022/2023,206.4
Females,South Western Sydney,2014/2015,341.8
Females,South Western Sydney,2015/2016,335.1
Females,South Western Sydney,2016/2017,331.8
Females,South Western Sydney,2017/2018,292.5
Females,South Western Sydney,2018/2019,306.8
Females,South Western Sydney,2019/2020,268.3
Females,South Western Sydney,2020/2021,220.6
Females,South Western Sydney,2021/2022,217.2
Females,South Western Sydney,2022/2023,250.3
Females,South Eastern Sydney,2014/2015,279.4
Females,South Eastern Sydney,2015/2016,253.3
Females,South Eastern Sydney,2016/2017,250.0
Females,South Eastern Sydney,2017/2018,216.3
Females,South Eastern Sydney,2018/2019,240.7
Females,South Eastern Sydney,2019/2020,230.7
Females,South Eastern Sydney,2020/2021,178.3
Females,South Eastern Sydney,2021/2022,180.9
Females,South Eastern Sydney,2022/2023,218.0
Females,Illawarra Shoalhaven,2014/2015,410.1
Females,Illawarra Shoalhaven,2015/2016,458.7
Females,Illawarra Shoalhaven,2016/2017,456.8
Females,Illawarra Shoalhaven,2017/2018,389.9
Females,Illawarra Shoalhaven,2018/2019,392.5
Females,Illawarra Shoalhaven,2019/2020,339.5
Females,Illawarra Shoalhaven,2020/2021,294.3
Females,Illawarra Shoalhaven,2021/2022,264.7
Females,Illawarra Shoalhaven,2022/2023,268.9
Females,Western Sydney,2014/2015,307.1
Females,Western Sydney,2015/2016,305.7
Females,Western Sydney,2016/2017,298.5
Females,Western Sydney,2017/2018,271.3
Females,Western Sydney,2018/2019,279.2
Females,Western Sydney,2019/2020,244.8
Females,Western Sydney,2020/2021,184.8
Females,Western Sydney,2021/2022,187.4
Females,Western Sydney,2022/2023,220.4
Females,Nepean Blue Mountains,2014/2015,447.0
Females,Nepean Blue Mountains,2015/2016,400.1
Females,Nepean Blue Mountains,2016/2017,439.7
Females,Nepean Blue Mountains,2017/2018,397.1
Females,Nepean Blue Mountains,2018/2019,406.2
Females,Nepean Blue Mountains,2019/2020,366.3
Females,Nepean Blue Mountains,2020/2021,268.0
Females,Nepean Blue Mountains,2021/2022,271.6
Females,Nepean Blue Mountains,2022/2023,291.9
Females,Northern Sydney,2014/2015,221.3
Females,Northern Sydney,2015/2016,211.7
Females,Northern Sydney,2016/2017,215.5
Females,Northern Sydney,2017/2018,195.6
Females,Northern Sydney,2018/2019,195.0
Females,Northern Sydney,2019/2020,169.1
Females,Northern Sydney,2020/2021,129.6
Females,Northern Sydney,2021/2022,119.7
Females,Northern Sydney,2022/2023,146.9
Females,Central Coast,2014/2015,373.6
Females,Central Coast,2015/2016,405.8
Females,Central Coast,2016/2017,412.0
Females,Central Coast,2017/2018,386.7
Females,Central Coast,2018/2019,403.8
Females,Central Coast,2019/2020,393.8
Females,Central Coast,2020/2021,308.3
Females,Central Coast,2021/2022,287.7
Females,Central Coast,2022/2023,348.8
Females,Hunter New England,2014/2015,455.6
Females,Hunter New England,2015/2016,475.9
Females,Hunter New England,2016/2017,505.5
Females,Hunter New England,2017/2018,430.7
Females,Hunter New England,2018/2019,465.9
Females,Hunter New England,2019/2020,470.1
Females,Hunter New England,2020/2021,400.2
Females,Hunter New England,2021/2022,398.0
Females,Hunter New England,2022/2023,410.6
Females,Northern NSW,2014/2015,663.2
Females,Northern NSW,2015/2016,669.9
Females,Northern NSW,2016/2017,620.7
Females,Northern NSW,2017/2018,664.0
Females,Northern NSW,2018/2019,583.3
Females,Northern NSW,2019/2020,558.3
Females,Northern NSW,2020/2021,480.8
Females,Northern NSW,2021/2022,518.8
Females,Northern NSW,2022/2023,552.4
Females,Mid North Coast,2014/2015,495.6
Females,Mid North Coast,2015/2016,487.5
Females,Mid North Coast,2016/2017,462.2
Females,Mid North Coast,2017/2018,422.3
Females,Mid North Coast,2018/2019,477.4
Females,Mid North Coast,2019/2020,493.9
Females,Mid North Coast,2020/2021,360.6
Females,Mid North Coast,2021/2022,384.8
Females,Mid North Coast,2022/2023,447.9
Females,Southern NSW,2014/2015,428.6
Females,Southern NSW,2015/2016,465.2
Females,Southern NSW,2016/2017,476.8
Females,Southern NSW,2017/2018,445.1
Females,Southern NSW,2018/2019,560.6
Females,Southern NSW,2019/2020,492.2
Females,Southern NSW,2020/2021,375.0
Females,Southern NSW,2021/2022,390.5
Females,Southern NSW,2022/2023,440.6
Females,Murrumbidgee,2014/2015,652.8
Females,Murrumbidgee,2015/2016,668.1
Females,Murrumbidgee,2016/2017,749.9
Females,Murrumbidgee,2017/2018,653.7
Females,Murrumbidgee,2018/2019,670.5
Females,Murrumbidgee,2019/2020,640.3
Females,Murrumbidgee,2020/2021,607.9
Females,Murrumbidgee,2021/2022,582.8
Females,Murrumbidgee,2022/2023,761.7
Females,Western NSW,2014/2015,459.5
Females,Western NSW,2015/2016,564.2
Females,Western NSW,2016/2017,728.9
Females,Western NSW,2017/2018,579.0
Females,Western NSW,2018/2019,609.0
Females,Western NSW,2019/2020,586.8
Females,Western NSW,2020/2021,578.6
Females,Western NSW,2021/2022,619.8
Females,Western NSW,2022/2023,620.9
Females,Far West,2014/2015,771.9
Females,Far West,2015/2016,805.8
Females,Far West,2016/2017,897.8
Females,Far West,2017/2018,788.2
Females,Far West,2018/2019,884.7
Females,Far West,2019/2020,692.3
Females,Far West,2020/2021,592.1
Females,Far West,2021/2022,689.7
Females,Far West,2022/2023,963.7
