"Acute respiratory infection hospitalisations by Acute respiratory infection, Age (years), Sex and LHD",,,,,,,
Acute respiratory infection,Age (years),Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,Dec-13,663.3,528.3,822.3
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,13/14,718.6,578.5,882.2
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,14/15,616.7,488.3,768.6
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,15/16,772.3,629,938.4
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,16/17,696.9,561.8,854.7
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,17/18,981.8,819.7,"1,166.50"
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,18/19,891.2,737.1,"1,068.10"
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,19/20,677.9,544.4,834.2
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,20/21,418.8,314.6,546.5
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,1-Feb,599.2,504.7,706.3
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,2-Mar,578.7,486.2,683.8
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,3-Apr,720.5,617.1,836.2
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,4-May,696.1,594.8,809.7
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,5-Jun,518.1,431.6,616.9
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,6-Jul,519.7,433.9,617.5
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,7-Aug,532.1,446.5,629.4
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,8-Sep,573.1,485.3,672.1
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,9-Oct,498.8,418.2,590.4
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,10-Nov,507.3,426.5,599
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,11-Dec,489.3,410.5,578.7
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,Dec-13,401.2,331,482
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,13/14,520.6,440.6,610.8
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,14/15,587.1,502.2,682.3
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,15/16,702.5,609.2,806.1
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,16/17,592.3,506.9,688.1
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,17/18,849.6,745.9,963.7
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,18/19,688.5,594.3,793.3
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,19/20,796.6,693.4,910.7
Influenza and pneumonia,0-4 years,Males,Northern Sydney LHD,20/21,441.9,364.8,530.4
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,1-Feb,596.5,454.1,769.5
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,2-Mar,588.2,445.5,762.1
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,3-Apr,575.4,433.5,748.9
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,4-May,547.1,408.6,717.5
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,5-Jun,512.1,378.9,677.1
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,6-Jul,307.9,207.8,439.6
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,7-Aug,511.1,380.6,672
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,8-Sep,499.3,371.8,656.5
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,9-Oct,365.5,258.7,501.7
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,10-Nov,450.2,330.8,598.6
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,11-Dec,286.9,193.5,409.5
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,Dec-13,351.4,247.4,484.3
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,13/14,312.7,215.2,439.1
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,14/15,537.3,406.9,696.1
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,15/16,587.4,451.4,751.5
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,16/17,465.5,345.5,613.7
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,17/18,664.6,519.1,838.4
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,18/19,714.6,563,894.4
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,19/20,682.9,534.4,860.1
Influenza and pneumonia,0-4 years,Males,Central Coast LHD,20/21,408.1,294.1,551.7
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,1-Feb,699,603.4,805.4
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,2-Mar,653.7,561.2,757.1
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,3-Apr,794.3,691.6,907.8
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,4-May,626.5,535.3,728.7
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,5-Jun,536.5,452.2,632
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,6-Jul,586.5,498.6,685.4
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,7-Aug,522,440.2,614.5
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,8-Sep,432.2,358.9,516
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,9-Oct,410.3,339.6,491.4
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,10-Nov,377.5,310,455.4
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,11-Dec,390.4,321.7,469.3
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,Dec-13,372,305.4,448.7
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,13/14,315,254.2,385.9
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,14/15,476.5,401.1,562
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,15/16,512.7,434.7,600.6
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,16/17,408.8,339.5,488.1
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,17/18,604.8,519,700.7
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,18/19,690.2,597.7,793.1
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,19/20,414.8,343.7,496.4
Influenza and pneumonia,0-4 years,Males,Hunter New England LHD,20/21,356.4,290.3,433
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,1-Feb,987.3,784,"1,227.10"
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,2-Mar,874.3,682.8,"1,102.80"
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,3-Apr,766.8,587.9,983
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,4-May,785.6,603.7,"1,005.10"
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,5-Jun,730,554.3,943.7
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,6-Jul,548.1,398.3,735.9
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,7-Aug,800,618.7,"1,017.80"
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,8-Sep,730.4,560,936.4
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,9-Oct,711.9,545.8,912.7
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,10-Nov,627.7,472.9,817
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,11-Dec,560.6,414.7,741.2
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,Dec-13,342.9,231.4,489.5
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,13/14,613.7,459.7,802.7
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,14/15,413,287.7,574.4
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,15/16,738.6,566.3,946.9
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,16/17,589.9,436.4,779.9
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,17/18,846.4,658.6,"1,071.20"
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,18/19,"1,090.10",874.3,"1,343.00"
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,19/20,834.8,648.2,"1,058.30"
Influenza and pneumonia,0-4 years,Males,Northern NSW LHD,20/21,380.9,258.8,540.7
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,1-Feb,721.6,517.8,978.9
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,2-Mar,"1,195.80",928.6,"1,516.00"
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,3-Apr,"1,716.70","1,393.70","2,092.20"
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,4-May,815.2,596.9,"1,087.40"
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,5-Jun,882.6,652.9,"1,166.80"
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,6-Jul,800.1,583.6,"1,070.70"
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,7-Aug,718.9,518.1,971.7
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,8-Sep,941.1,712.8,"1,219.40"
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,9-Oct,900.3,680.1,"1,169.10"
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,10-Nov,612.8,433.6,841.1
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,11-Dec,467.4,313.1,671.3
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,Dec-13,459.2,307.5,659.5
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,13/14,316.7,193.5,489.2
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,14/15,335.9,207.9,513.5
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,15/16,407.9,263.9,602.1
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,16/17,534.7,365.7,754.8
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,17/18,493.9,330.8,709.3
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,18/19,613.2,429.5,849
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,19/20,550.5,378.9,773.1
Influenza and pneumonia,0-4 years,Males,Mid North Coast LHD,20/21,315.3,189.8,492.4
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,1-Feb,547.8,372.2,777.6
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,2-Mar,580.3,399.5,815
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,3-Apr,668.9,473.4,918.1
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,4-May,706.7,504.8,962.3
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,5-Jun,632.9,443.2,876.1
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,6-Jul,311,184.3,491.6
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,7-Aug,336.9,205.8,520.3
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,8-Sep,443.9,292.5,645.8
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,9-Oct,498.4,338.7,707.5
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,10-Nov,641.3,458.1,873.2
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,11-Dec,578.8,405.4,801.3
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,Dec-13,368.8,233.8,553.4
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,13/14,418.2,273.2,612.7
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,14/15,356.5,223.4,539.8
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,15/16,472.4,316.4,678.5
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,16/17,657,469.4,894.7
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,17/18,648.8,461.3,886.9
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,18/19,714.2,516.8,962
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,19/20,395.9,253.7,589.1
Influenza and pneumonia,0-4 years,Males,Southern NSW LHD,20/21,400.2,256.4,595.5
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,1-Feb,654.2,495.5,847.6
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,2-Mar,715.8,547.5,919.4
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,3-Apr,837.6,652.9,"1,058.20"
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,4-May,546.7,398.8,731.5
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,5-Jun,651.6,488.1,852.3
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,6-Jul,284.6,180.4,427
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,7-Aug,530.5,383.9,714.6
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,8-Sep,627.5,467.2,825.1
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,9-Oct,517.8,373.2,699.9
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,10-Nov,617.6,458.4,814.2
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,11-Dec,691,522,897.3
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,Dec-13,527.9,382,711.1
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,13/14,442.6,310,612.7
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,14/15,632.7,471.1,831.9
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,15/16,568.7,416.4,758.6
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,16/17,644.7,481.5,845.4
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,17/18,556.2,404.1,746.7
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,18/19,626.9,463.8,828.8
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,19/20,574.6,419.1,768.9
Influenza and pneumonia,0-4 years,Males,Murrumbidgee LHD,20/21,528.7,379.4,717.2
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,1-Feb,"1,171.20",971.1,"1,400.50"
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,2-Mar,"1,359.60","1,140.70","1,608.20"
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,3-Apr,"1,501.30","1,268.40","1,764.60"
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,4-May,870.1,694,"1,077.20"
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,5-Jun,"1,000.60",809.6,"1,223.20"
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,6-Jul,631.4,481.8,812.8
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,7-Aug,638.5,489.5,818.5
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,8-Sep,745.1,585.1,935.4
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,9-Oct,729.1,572.5,915.3
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,10-Nov,627.4,483.2,801.2
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,11-Dec,876.8,704.1,"1,078.90"
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,Dec-13,553.5,418.1,718.8
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,13/14,478.4,352.8,634.3
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,14/15,692.6,538.9,876.5
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,15/16,813.5,646,"1,011.10"
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,16/17,647.2,498.4,826.5
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,17/18,695,539.7,881.1
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,18/19,881.5,705.1,"1,088.70"
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,19/20,588.3,445.5,762.2
Influenza and pneumonia,0-4 years,Males,Western NSW LHD,20/21,462.4,336,620.8
Influenza and pneumonia,0-4 years,Males,All LHDs,1-Feb,737.8,702.5,774.3
Influenza and pneumonia,0-4 years,Males,All LHDs,2-Mar,732,696.8,768.5
Influenza and pneumonia,0-4 years,Males,All LHDs,3-Apr,830.5,793,869.4
Influenza and pneumonia,0-4 years,Males,All LHDs,4-May,632.7,599.9,666.8
Influenza and pneumonia,0-4 years,Males,All LHDs,5-Jun,560,529.3,592
Influenza and pneumonia,0-4 years,Males,All LHDs,6-Jul,522.1,492.7,552.9
Influenza and pneumonia,0-4 years,Males,All LHDs,7-Aug,587.9,557,620
