year-month,lhd,"Female rate per 100,000 population","Male rate per 100,000 population","Persons rate per 100,000 population"
2019-08,Illawarra Shoalhaven,29.5,21.8,25.8
2019-09,Illawarra Shoalhaven,22.9,24.1,23.5
2019-10,Illawarra Shoalhaven,29.0,19.8,24.5
2019-11,Illawarra Shoalhaven,29.6,19.4,24.5
2019-12,Illawarra Shoalhaven,31.2,23.9,27.7
2020-01,Illawarra Shoalhaven,35.4,27.2,31.6
2020-02,Illawarra Shoalhaven,27.4,34.5,31.2
2020-03,Illawarra Shoalhaven,43.8,39.0,41.5
2020-04,Illawarra Shoalhaven,18.0,9.4,13.7
2020-05,Illawarra Shoalhaven,13.4,7.2,10.3
2020-06,Illawarra Shoalhaven,25.8,25.7,25.9
2020-07,Illawarra Shoalhaven,19.7,17.0,18.5
2020-08,Illawarra Shoalhaven,26.4,18.2,22.5
2020-09,Illawarra Shoalhaven,22.1,17.5,19.8
2020-10,Illawarra Shoalhaven,23.2,17.7,20.5
2020-11,Illawarra Shoalhaven,19.2,25.4,22.6
2020-12,Illawarra Shoalhaven,19.9,21.0,20.6
2021-01,Illawarra Shoalhaven,12.4,7.1,9.8
2021-02,Illawarra Shoalhaven,22.2,19.4,20.8
2021-03,Illawarra Shoalhaven,24.9,29.6,27.4
2021-04,Illawarra Shoalhaven,27.7,24.5,26.3
2021-05,Illawarra Shoalhaven,35.5,28.1,31.9
2021-06,Illawarra Shoalhaven,41.1,21.6,31.3
2021-07,Illawarra Shoalhaven,20.1,14.6,17.4
2021-08,Illawarra Shoalhaven,16.0,8.8,12.4
2021-09,Illawarra Shoalhaven,10.9,7.6,9.3
2021-10,Illawarra Shoalhaven,11.6,12.5,12.1
2021-11,Illawarra Shoalhaven,21.8,16.3,19.2
2021-12,Illawarra Shoalhaven,17.5,12.6,15.0
2022-01,Illawarra Shoalhaven,13.1,9.7,11.5
2022-02,Illawarra Shoalhaven,14.3,17.4,16.0
2022-03,Illawarra Shoalhaven,25.2,33.8,29.7
2022-04,Illawarra Shoalhaven,32.7,26.3,29.7
2022-05,Illawarra Shoalhaven,40.8,48.2,44.7
2022-06,Illawarra Shoalhaven,38.3,37.5,38.0
2022-07,Illawarra Shoalhaven,21.6,17.2,19.5
2022-08,Illawarra Shoalhaven,24.0,25.3,24.9
2022-09,Illawarra Shoalhaven,33.0,27.3,30.3
2022-10,Illawarra Shoalhaven,26.4,21.5,24.0
2022-11,Illawarra Shoalhaven,20.4,12.9,16.7
2022-12,Illawarra Shoalhaven,15.8,18.3,17.1
2023-01,Illawarra Shoalhaven,15.1,15.1,15.2
2023-02,Illawarra Shoalhaven,22.3,22.9,22.7
2023-03,Illawarra Shoalhaven,22.6,31.2,27.1
2023-04,Illawarra Shoalhaven,22.7,19.5,21.2
2023-05,Illawarra Shoalhaven,26.3,34.8,30.7
2023-06,Illawarra Shoalhaven,18.2,23.0,20.8
2023-07,Illawarra Shoalhaven,21.29230769230769,23.96153846153846,22.838461538461537
2023-08,Illawarra Shoalhaven,24.384615384615383,24.923076923076923,24.876923076923077
2023-09,Illawarra Shoalhaven,27.47692307692308,25.884615384615383,26.915384615384617
2023-10,Illawarra Shoalhaven,30.56923076923077,26.846153846153847,28.953846153846154
2023-11,Illawarra Shoalhaven,33.66153846153846,27.807692307692307,30.99230769230769
2023-12,Illawarra Shoalhaven,36.753846153846155,28.76923076923077,33.03076923076923
2024-01,Illawarra Shoalhaven,39.84615384615385,29.73076923076923,35.06923076923077
2024-02,Illawarra Shoalhaven,42.93846153846154,30.692307692307693,37.107692307692304
2024-03,Illawarra Shoalhaven,46.03076923076923,31.653846153846153,39.14615384615385
2024-04,Illawarra Shoalhaven,49.12307692307692,32.61538461538461,41.184615384615384
2024-05,Illawarra Shoalhaven,52.21538461538462,33.57692307692308,43.22307692307692
2024-06,Illawarra Shoalhaven,55.30769230769231,34.53846153846154,45.261538461538464
2014-07,Mid North Coast,58.4,35.5,47.3
2014-08,Mid North Coast,40.9,31.6,36.5
2014-09,Mid North Coast,33.1,30.7,32.1
2014-10,Mid North Coast,34.5,49.2,42.3
2014-11,Mid North Coast,38.8,33.1,36.2
2014-12,Mid North Coast,30.0,39.0,34.8
2015-01,Mid North Coast,27.5,23.9,25.9
2015-02,Mid North Coast,40.2,51.3,45.8
2015-03,Mid North Coast,42.0,47.3,45.0
2015-04,Mid North Coast,40.7,27.6,34.2
2015-05,Mid North Coast,52.7,44.1,48.5
2015-06,Mid North Coast,56.0,65.8,61.1
2015-07,Mid North Coast,56.0,45.2,51.0
2015-08,Mid North Coast,53.9,55.4,55.2
2015-09,Mid North Coast,49.7,51.8,51.2
2015-10,Mid North Coast,37.5,45.0,41.5
2015-11,Mid North Coast,41.4,39.1,40.3
2015-12,Mid North Coast,36.8,55.2,46.3
2016-01,Mid North Coast,16.0,38.9,27.5
2016-02,Mid North Coast,30.6,29.4,30.0
2016-03,Mid North Coast,31.0,33.3,32.3
2016-04,Mid North Coast,38.1,27.2,32.6
2016-05,Mid North Coast,53.1,54.8,54.2
2016-06,Mid North Coast,42.6,42.2,42.4
2016-07,Mid North Coast,33.1,31.2,32.4
2016-08,Mid North Coast,43.9,46.5,45.6
2016-09,Mid North Coast,48.4,41.7,45.3
2016-10,Mid North Coast,38.3,46.2,42.6
2016-11,Mid North Coast,41.7,25.5,33.8
2016-12,Mid North Coast,20.8,25.0,23.0
2017-01,Mid North Coast,17.0,20.0,18.7
2017-02,Mid North Coast,28.7,41.5,35.3
2017-03,Mid North Coast,34.5,40.5,37.5
2017-04,Mid North Coast,42.1,47.7,45.2
2017-05,Mid North Coast,58.3,72.7,65.7
2017-06,Mid North Coast,54.5,71.5,63.4
2017-07,Mid North Coast,51.7,35.2,43.3
2017-08,Mid North Coast,49.7,46.5,48.5
2017-09,Mid North Coast,36.0,27.9,32.1
2017-10,Mid North Coast,38.2,29.0,33.7
2017-11,Mid North Coast,43.0,25.2,34.1
2017-12,Mid North Coast,29.4,37.2,33.4
2018-01,Mid North Coast,15.7,29.8,22.9
2018-02,Mid North Coast,24.3,44.0,34.4
2018-03,Mid North Coast,25.2,54.3,40.3
2018-04,Mid North Coast,26.6,47.7,37.6
2018-05,Mid North Coast,35.0,51.9,43.7
2018-06,Mid North Coast,46.8,41.4,44.4
2018-07,Mid North Coast,42.7,30.0,36.4
2018-08,Mid North Coast,46.2,38.8,42.6
2018-09,Mid North Coast,36.9,33.8,35.7
2018-10,Mid North Coast,40.2,40.9,40.4
2018-11,Mid North Coast,47.2,30.1,38.9
2018-12,Mid North Coast,37.1,20.9,29.2
2019-01,Mid North Coast,19.2,24.3,21.7
2019-02,Mid North Coast,25.5,34.9,30.3
2019-03,Mid North Coast,40.5,45.2,43.0
2019-04,Mid North Coast,35.1,34.6,34.8
2019-05,Mid North Coast,61.5,46.1,53.8
2019-06,Mid North Coast,44.4,49.8,47.4
2019-07,Mid North Coast,47.3,24.6,36.0
2019-08,Mid North Coast,51.1,43.5,47.8
2019-09,Mid North Coast,50.0,39.4,44.8
2019-10,Mid North Coast,32.0,34.7,33.6
2019-11,Mid North Coast,78.5,89.2,84.3
2019-12,Mid North Coast,28.3,26.8,27.6
2020-01,Mid North Coast,29.6,26.3,28.2
2020-02,Mid North Coast,26.2,28.3,27.4
2020-03,Mid North Coast,59.5,37.2,48.5
2020-04,Mid North Coast,28.9,12.2,20.8
2020-05,Mid North Coast,22.5,12.4,17.6
2020-06,Mid North Coast,39.8,35.3,37.8
2020-07,Mid North Coast,38.6,35.0,36.8
2020-08,Mid North Coast,36.9,34.1,35.8
2020-09,Mid North Coast,15.4,13.4,14.6
2020-10,Mid North Coast,17.1,23.6,20.4
2020-11,Mid North Coast,16.6,24.0,20.3
2020-12,Mid North Coast,20.4,23.2,21.9
2021-01,Mid North Coast,19.1,9.5,14.3
2021-02,Mid North Coast,20.2,14.0,17.3
2021-03,Mid North Coast,27.1,24.7,25.9
2021-04,Mid North Coast,45.7,34.0,40.2
2021-05,Mid North Coast,45.7,53.3,49.6
2021-06,Mid North Coast,58.1,36.4,47.5
2021-07,Mid North Coast,38.8,30.9,35.3
2021-08,Mid North Coast,27.3,24.8,26.4
2021-09,Mid North Coast,22.1,10.3,16.1
2021-10,Mid North Coast,26.2,18.8,22.7
2021-11,Mid North Coast,22.2,21.1,21.8
2021-12,Mid North Coast,26.8,19.6,23.4
2022-01,Mid North Coast,26.6,21.0,23.5
2022-02,Mid North Coast,14.4,13.4,13.8
2022-03,Mid North Coast,32.1,25.7,29.1
2022-04,Mid North Coast,31.6,22.3,26.9
2022-05,Mid North Coast,50.0,65.2,58.0
2022-06,Mid North Coast,68.1,62.1,65.4
2022-07,Mid North Coast,52.5,32.8,42.5
2022-08,Mid North Coast,49.0,34.7,42.1
2022-09,Mid North Coast,48.8,39.7,44.6
2022-10,Mid North Coast,46.5,38.5,42.6
2022-11,Mid North Coast,39.5,21.7,30.8
2022-12,Mid North Coast,29.3,21.4,25.5
2023-01,Mid North Coast,19.8,18.6,19.3
2023-02,Mid North Coast,20.8,24.7,22.8
2023-03,Mid North Coast,25.9,18.6,22.5
2023-04,Mid North Coast,41.1,23.9,32.8
2023-05,Mid North Coast,33.7,29.7,31.8
2023-06,Mid North Coast,40.7,25.6,33.5
2023-07,Mid North Coast,41.12307692307692,27.584615384615386,34.684615384615384
2023-08,Mid North Coast,41.54615384615385,29.56923076923077,35.86923076923077
2023-09,Mid North Coast,41.96923076923077,31.553846153846155,37.05384615384615
2023-10,Mid North Coast,42.392307692307696,33.53846153846154,38.238461538461536
2023-11,Mid North Coast,42.815384615384616,35.52307692307692,39.42307692307692
2023-12,Mid North Coast,43.23846153846154,37.50769230769231,40.607692307692304
2024-01,Mid North Coast,43.66153846153846,39.49230769230769,41.79230769230769
2024-02,Mid North Coast,44.08461538461539,41.47692307692308,42.97692307692307
2024-03,Mid North Coast,44.50769230769231,43.46153846153846,44.161538461538456
2024-04,Mid North Coast,44.930769230769236,45.44615384615385,45.34615384615384
2024-05,Mid North Coast,45.353846153846156,47.43076923076923,46.53076923076923
2024-06,Mid North Coast,45.77692307692308,49.41538461538461,47.715384615384615
2014-07,Murrumbidgee,46.2,51.4,48.9
2014-08,Murrumbidgee,84.8,59.3,72.2
2014-09,Murrumbidgee,52.7,57.2,54.9
2014-10,Murrumbidgee,80.6,63.8,72.2
2014-11,Murrumbidgee,57.1,49.1,53.4
2014-12,Murrumbidgee,41.1,44.0,42.8
2015-01,Murrumbidgee,22.1,25.9,24.2
2015-02,Murrumbidgee,45.4,41.5,43.6
2015-03,Murrumbidgee,45.9,57.4,51.8
2015-04,Murrumbidgee,52.3,45.9,49.2
2015-05,Murrumbidgee,58.1,62.3,60.5
2015-06,Murrumbidgee,66.4,61.1,63.8
2015-07,Murrumbidgee,61.1,61.2,61.2
2015-08,Murrumbidgee,69.4,56.3,63.2
2015-09,Murrumbidgee,58.8,55.1,57.1
2015-10,Murrumbidgee,80.8,89.3,85.2
2015-11,Murrumbidgee,61.2,66.0,63.6
2015-12,Murrumbidgee,38.8,28.8,33.8
2016-01,Murrumbidgee,32.2,29.8,31.1
2016-02,Murrumbidgee,48.9,53.6,51.4
2016-03,Murrumbidgee,44.9,58.8,51.7
2016-04,Murrumbidgee,44.2,49.8,47.1
2016-05,Murrumbidgee,55.5,64.1,59.9
2016-06,Murrumbidgee,72.4,37.6,54.9
2016-07,Murrumbidgee,69.8,51.7,60.9
2016-08,Murrumbidgee,65.5,64.5,65.3
2016-09,Murrumbidgee,71.9,62.9,67.5
2016-10,Murrumbidgee,75.6,105.1,90.5
2016-11,Murrumbidgee,87.4,93.8,90.7
2016-12,Murrumbidgee,60.3,60.3,60.3
2017-01,Murrumbidgee,50.6,37.8,44.2
2017-02,Murrumbidgee,38.3,32.9,35.8
2017-03,Murrumbidgee,46.1,48.2,47.3
2017-04,Murrumbidgee,45.4,47.6,46.5
2017-05,Murrumbidgee,79.0,75.4,77.1
2017-06,Murrumbidgee,60.0,48.7,54.3
2017-07,Murrumbidgee,74.3,47.7,61.0
2017-08,Murrumbidgee,70.9,56.7,64.0
2017-09,Murrumbidgee,65.8,51.3,58.6
2017-10,Murrumbidgee,69.5,71.7,70.8
2017-11,Murrumbidgee,51.5,72.4,62.3
2017-12,Murrumbidgee,41.9,35.7,38.9
