"Respiratory disease hospitalisations by Disease type, Sex and LHD"
"Disease type","Sex","LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Influenza and pneumonia","Males","South Western Sydney LHD","06/07","270.5","252.7","289.2"
"Influenza and pneumonia","Males","South Western Sydney LHD","07/08","301.0","282.9","320.0"
"Influenza and pneumonia","Males","South Western Sydney LHD","08/09","300.2","282.3","318.9"
"Influenza and pneumonia","Males","South Western Sydney LHD","09/10","280.4","263.7","297.9"
"Influenza and pneumonia","Males","South Western Sydney LHD","10/11","296.4","279.4","314.2"
"Influenza and pneumonia","Males","South Western Sydney LHD","11/12","332.4","314.6","351.0"
"Influenza and pneumonia","Males","South Western Sydney LHD","12/13","295.5","278.9","312.9"
"Influenza and pneumonia","Males","South Western Sydney LHD","13/14","291.0","274.8","307.8"
"Influenza and pneumonia","Males","South Western Sydney LHD","14/15","339.4","322.1","357.4"
"Influenza and pneumonia","Males","South Western Sydney LHD","15/16","361.1","343.6","379.2"
"Influenza and pneumonia","Males","South Western Sydney LHD","16/17","386.5","368.6","404.9"
"Influenza and pneumonia","Males","South Western Sydney LHD","17/18","435.8","417.2","455.1"
"Influenza and pneumonia","Males","South Western Sydney LHD","18/19","414.3","396.4","432.7"
"Influenza and pneumonia","Males","South Western Sydney LHD","19/20","384.8","367.9","402.4"
"Influenza and pneumonia","Males","South Western Sydney LHD","20/21","230.7","217.8","244.1"
"Influenza and pneumonia","Males","South Western Sydney LHD","21/22","666.1","644.3","688.5"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","01/02","282.0","264.4","300.4"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","02/03","292.5","274.8","311.0"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","03/04","301.1","283.2","319.8"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","04/05","281.8","264.8","299.7"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","05/06","270.1","253.5","287.6"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","06/07","262.6","246.4","279.6"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","07/08","275.2","258.8","292.3"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","08/09","256.4","240.8","272.7"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","09/10","258.4","242.9","274.6"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","10/11","259.2","243.8","275.3"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","11/12","303.9","287.4","321.1"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","12/13","258.5","243.5","274.2"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","13/14","239.1","224.7","254.1"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","14/15","307.6","291.5","324.4"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","15/16","291.0","275.5","307.1"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","16/17","314.4","298.5","331.0"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","17/18","350.7","334.1","367.9"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","18/19","367.8","350.6","385.5"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","19/20","339.4","323.1","356.3"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","20/21","187.7","175.7","200.3"
"Influenza and pneumonia","Males","South Eastern Sydney LHD","21/22","367.1","350.4","384.4"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","01/02","286.8","261.9","313.4"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","02/03","251.4","228.5","276.0"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","03/04","252.2","229.3","276.7"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","04/05","293.5","269.0","319.7"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","05/06","280.3","256.4","305.8"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","06/07","259.6","237.2","283.5"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","07/08","282.5","259.1","307.4"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","08/09","336.0","310.9","362.7"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","09/10","328.7","304.1","354.8"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","10/11","294.4","271.7","318.6"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","11/12","304.5","281.7","328.6"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","12/13","331.6","308.3","356.2"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","13/14","345.0","321.5","369.8"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","14/15","387.5","362.4","413.9"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","15/16","350.7","326.8","375.9"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","16/17","350.6","327.4","375.2"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","17/18","419.5","394.4","445.7"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","18/19","404.8","380.1","430.8"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","19/20","399.0","374.7","424.6"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","20/21","256.5","237.3","276.9"
"Influenza and pneumonia","Males","Illawarra Shoalhaven LHD","21/22","379.2","355.8","403.8"
"Influenza and pneumonia","Males","Western Sydney LHD","01/02","311.1","289.4","333.9"
"Influenza and pneumonia","Males","Western Sydney LHD","02/03","299.1","278.1","321.2"
"Influenza and pneumonia","Males","Western Sydney LHD","03/04","317.7","296.5","339.9"
"Influenza and pneumonia","Males","Western Sydney LHD","04/05","284.8","264.6","306.1"
"Influenza and pneumonia","Males","Western Sydney LHD","05/06","291.7","271.5","313.0"
"Influenza and pneumonia","Males","Western Sydney LHD","06/07","292.0","272.2","312.7"
"Influenza and pneumonia","Males","Western Sydney LHD","07/08","311.6","291.5","332.6"
"Influenza and pneumonia","Males","Western Sydney LHD","08/09","304.6","285.0","325.2"
"Influenza and pneumonia","Males","Western Sydney LHD","09/10","317.2","297.8","337.5"
"Influenza and pneumonia","Males","Western Sydney LHD","10/11","305.5","286.6","325.2"
"Influenza and pneumonia","Males","Western Sydney LHD","11/12","348.0","328.2","368.6"
"Influenza and pneumonia","Males","Western Sydney LHD","12/13","301.9","283.9","320.8"
"Influenza and pneumonia","Males","Western Sydney LHD","13/14","330.3","311.9","349.5"
"Influenza and pneumonia","Males","Western Sydney LHD","14/15","335.9","317.5","355.1"
"Influenza and pneumonia","Males","Western Sydney LHD","15/16","343.5","325.4","362.2"
"Influenza and pneumonia","Males","Western Sydney LHD","16/17","352.2","334.0","371.0"
"Influenza and pneumonia","Males","Western Sydney LHD","17/18","415.5","396.2","435.5"
"Influenza and pneumonia","Males","Western Sydney LHD","18/19","400.4","381.9","419.5"
"Influenza and pneumonia","Males","Western Sydney LHD","19/20","372.9","355.3","391.2"
"Influenza and pneumonia","Males","Western Sydney LHD","20/21","230.3","216.8","244.5"
"Influenza and pneumonia","Males","Western Sydney LHD","21/22","546.9","526.3","568.0"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","01/02","410.2","374.0","448.7"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","02/03","344.1","312.6","377.7"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","03/04","362.0","330.1","395.9"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","04/05","364.9","332.2","399.8"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","05/06","341.5","309.4","375.8"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","06/07","344.1","312.9","377.5"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","07/08","447.8","412.0","485.7"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","08/09","340.9","309.9","374.0"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","09/10","325.6","296.5","356.7"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","10/11","413.6","380.7","448.4"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","11/12","372.1","341.0","405.2"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","12/13","329.0","300.6","359.3"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","13/14","342.5","314.1","372.9"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","14/15","392.5","362.4","424.3"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","15/16","392.0","362.5","423.2"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","16/17","370.6","342.3","400.6"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","17/18","475.3","443.7","508.5"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","18/19","422.6","393.2","453.6"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","19/20","374.8","347.5","403.8"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","20/21","247.6","225.7","271.0"
"Influenza and pneumonia","Males","Nepean Blue Mountains LHD","21/22","370.2","343.8","398.0"
"Influenza and pneumonia","Males","Northern Sydney LHD","01/02","248.5","232.4","265.4"
"Influenza and pneumonia","Males","Northern Sydney LHD","02/03","247.3","231.4","263.9"
"Influenza and pneumonia","Males","Northern Sydney LHD","03/04","251.5","235.6","268.2"
"Influenza and pneumonia","Males","Northern Sydney LHD","04/05","264.3","248.2","281.3"
"Influenza and pneumonia","Males","Northern Sydney LHD","05/06","242.9","227.4","259.0"
"Influenza and pneumonia","Males","Northern Sydney LHD","06/07","240.2","225.0","256.1"
"Influenza and pneumonia","Males","Northern Sydney LHD","07/08","280.1","264.0","297.0"
"Influenza and pneumonia","Males","Northern Sydney LHD","08/09","268.7","253.1","285.0"
"Influenza and pneumonia","Males","Northern Sydney LHD","09/10","247.1","232.4","262.5"
"Influenza and pneumonia","Males","Northern Sydney LHD","10/11","267.0","251.8","282.9"
"Influenza and pneumonia","Males","Northern Sydney LHD","11/12","283.3","267.8","299.5"
"Influenza and pneumonia","Males","Northern Sydney LHD","12/13","241.3","227.2","256.0"
"Influenza and pneumonia","Males","Northern Sydney LHD","13/14","257.5","243.1","272.5"
"Influenza and pneumonia","Males","Northern Sydney LHD","14/15","306.7","291.1","323.0"
"Influenza and pneumonia","Males","Northern Sydney LHD","15/16","334.9","318.7","351.7"
"Influenza and pneumonia","Males","Northern Sydney LHD","16/17","320.2","304.6","336.5"
"Influenza and pneumonia","Males","Northern Sydney LHD","17/18","384.5","367.5","402.1"
"Influenza and pneumonia","Males","Northern Sydney LHD","18/19","360.8","344.4","377.8"
"Influenza and pneumonia","Males","Northern Sydney LHD","19/20","343.0","327.0","359.6"
"Influenza and pneumonia","Males","Northern Sydney LHD","20/21","185.3","173.7","197.4"
"Influenza and pneumonia","Males","Northern Sydney LHD","21/22","269.2","255.3","283.8"
"Influenza and pneumonia","Males","Central Coast LHD","01/02","294.6","268.3","322.8"
"Influenza and pneumonia","Males","Central Coast LHD","02/03","317.7","290.6","346.8"
"Influenza and pneumonia","Males","Central Coast LHD","03/04","308.5","281.6","337.3"
"Influenza and pneumonia","Males","Central Coast LHD","04/05","278.8","253.4","306.1"
"Influenza and pneumonia","Males","Central Coast LHD","05/06","321.6","294.5","350.6"
"Influenza and pneumonia","Males","Central Coast LHD","06/07","270.3","246.1","296.4"
"Influenza and pneumonia","Males","Central Coast LHD","07/08","306.9","281.2","334.3"
"Influenza and pneumonia","Males","Central Coast LHD","08/09","280.2","255.9","306.3"
"Influenza and pneumonia","Males","Central Coast LHD","09/10","285.0","260.7","311.0"
"Influenza and pneumonia","Males","Central Coast LHD","10/11","330.9","304.9","358.7"
"Influenza and pneumonia","Males","Central Coast LHD","11/12","305.2","280.5","331.6"
"Influenza and pneumonia","Males","Central Coast LHD","12/13","316.7","291.7","343.3"
"Influenza and pneumonia","Males","Central Coast LHD","13/14","317.3","292.8","343.3"
"Influenza and pneumonia","Males","Central Coast LHD","14/15","402.9","374.9","432.6"
"Influenza and pneumonia","Males","Central Coast LHD","15/16","404.2","376.4","433.6"
"Influenza and pneumonia","Males","Central Coast LHD","16/17","325.1","301.0","350.7"
"Influenza and pneumonia","Males","Central Coast LHD","17/18","422.5","394.6","451.8"
"Influenza and pneumonia","Males","Central Coast LHD","18/19","420.8","392.6","450.5"
"Influenza and pneumonia","Males","Central Coast LHD","19/20","409.6","382.1","438.6"
"Influenza and pneumonia","Males","Central Coast LHD","20/21","217.5","198.2","238.3"
"Influenza and pneumonia","Males","Central Coast LHD","21/22","352.7","327.6","379.4"
"Influenza and pneumonia","Males","Hunter New England LHD","01/02","354.7","336.2","373.8"
"Influenza and pneumonia","Males","Hunter New England LHD","02/03","355.9","337.6","375.0"
"Influenza and pneumonia","Males","Hunter New England LHD","03/04","362.9","344.6","382.0"
"Influenza and pneumonia","Males","Hunter New England LHD","04/05","371.9","353.5","391.0"
"Influenza and pneumonia","Males","Hunter New England LHD","05/06","326.1","308.9","343.9"
"Influenza and pneumonia","Males","Hunter New England LHD","06/07","330.3","313.4","347.9"
"Influenza and pneumonia","Males","Hunter New England LHD","07/08","330.4","313.6","347.9"
"Influenza and pneumonia","Males","Hunter New England LHD","08/09","323.1","306.6","340.2"
"Influenza and pneumonia","Males","Hunter New England LHD","09/10","316.6","300.4","333.3"
"Influenza and pneumonia","Males","Hunter New England LHD","10/11","321.3","305.2","338.1"
"Influenza and pneumonia","Males","Hunter New England LHD","11/12","358.1","341.2","375.6"
"Influenza and pneumonia","Males","Hunter New England LHD","12/13","305.2","289.9","321.1"
"Influenza and pneumonia","Males","Hunter New England LHD","13/14","325.8","310.1","342.0"
"Influenza and pneumonia","Males","Hunter New England LHD","14/15","391.0","373.9","408.6"
"Influenza and pneumonia","Males","Hunter New England LHD","15/16","398.9","381.6","416.8"
"Influenza and pneumonia","Males","Hunter New England LHD","16/17","395.9","379.0","413.4"
"Influenza and pneumonia","Males","Hunter New England LHD","17/18","461.0","443.0","479.6"
"Influenza and pneumonia","Males","Hunter New England LHD","18/19","417.6","400.4","435.4"
"Influenza and pneumonia","Males","Hunter New England LHD","19/20","379.1","362.9","395.7"
"Influenza and pneumonia","Males","Hunter New England LHD","20/21","253.1","240.3","266.4"
"Influenza and pneumonia","Males","Hunter New England LHD","21/22","318.2","303.7","333.4"
"Influenza and pneumonia","Males","Northern NSW LHD","01/02","375.9","344.0","409.9"
"Influenza and pneumonia","Males","Northern NSW LHD","02/03","362.3","331.2","395.5"
"Influenza and pneumonia","Males","Northern NSW LHD","03/04","346.5","316.1","379.2"
"Influenza and pneumonia","Males","Northern NSW LHD","04/05","306.6","278.4","337.0"
"Influenza and pneumonia","Males","Northern NSW LHD","05/06","328.9","299.3","360.7"
"Influenza and pneumonia","Males","Northern NSW LHD","06/07","282.3","255.6","311.2"
"Influenza and pneumonia","Males","Northern NSW LHD","07/08","350.7","321.2","382.2"
"Influenza and pneumonia","Males","Northern NSW LHD","08/09","313.0","285.3","342.6"
"Influenza and pneumonia","Males","Northern NSW LHD","09/10","342.4","313.3","373.6"
"Influenza and pneumonia","Males","Northern NSW LHD","10/11","306.5","279.4","335.5"
"Influenza and pneumonia","Males","Northern NSW LHD","11/12","348.9","320.5","379.2"
"Influenza and pneumonia","Males","Northern NSW LHD","12/13","287.0","261.5","314.3"
"Influenza and pneumonia","Males","Northern NSW LHD","13/14","325.9","298.3","355.4"
"Influenza and pneumonia","Males","Northern NSW LHD","14/15","320.6","293.8","349.2"
"Influenza and pneumonia","Males","Northern NSW LHD","15/16","387.6","357.9","419.2"
"Influenza and pneumonia","Males","Northern NSW LHD","16/17","375.3","346.8","405.6"
"Influenza and pneumonia","Males","Northern NSW LHD","17/18","445.0","413.9","477.9"
"Influenza and pneumonia","Males","Northern NSW LHD","18/19","399.8","369.5","431.9"
"Influenza and pneumonia","Males","Northern NSW LHD","19/20","414.7","384.7","446.4"
"Influenza and pneumonia","Males","Northern NSW LHD","20/21","212.6","192.1","234.8"
"Influenza and pneumonia","Males","Northern NSW LHD","21/22","320.8","295.6","347.8"
"Influenza and pneumonia","Males","Mid North Coast LHD","01/02","381.6","343.4","423.0"
"Influenza and pneumonia","Males","Mid North Coast LHD","02/03","427.1","387.2","470.0"
"Influenza and pneumonia","Males","Mid North Coast LHD","03/04","504.8","461.3","551.5"
"Influenza and pneumonia","Males","Mid North Coast LHD","04/05","421.5","382.9","463.1"
"Influenza and pneumonia","Males","Mid North Coast LHD","05/06","403.7","365.9","444.4"
"Influenza and pneumonia","Males","Mid North Coast LHD","06/07","389.1","352.4","428.7"
"Influenza and pneumonia","Males","Mid North Coast LHD","07/08","430.9","392.7","471.8"
"Influenza and pneumonia","Males","Mid North Coast LHD","08/09","391.0","354.7","430.0"
"Influenza and pneumonia","Males","Mid North Coast LHD","09/10","376.8","341.6","414.8"
"Influenza and pneumonia","Males","Mid North Coast LHD","10/11","340.1","308.2","374.7"
"Influenza and pneumonia","Males","Mid North Coast LHD","11/12","393.0","358.3","430.4"
"Influenza and pneumonia","Males","Mid North Coast LHD","12/13","399.6","365.3","436.6"
"Influenza and pneumonia","Males","Mid North Coast LHD","13/14","324.7","295.1","356.8"
"Influenza and pneumonia","Males","Mid North Coast LHD","14/15","399.9","366.2","436.1"
"Influenza and pneumonia","Males","Mid North Coast LHD","15/16","451.9","414.9","491.5"
"Influenza and pneumonia","Males","Mid North Coast LHD","16/17","408.1","373.7","445.0"
"Influenza and pneumonia","Males","Mid North Coast LHD","17/18","429.6","394.7","466.9"
"Influenza and pneumonia","Males","Mid North Coast LHD","18/19","399.5","366.0","435.4"
"Influenza and pneumonia","Males","Mid North Coast LHD","19/20","392.8","359.6","428.5"
"Influenza and pneumonia","Males","Mid North Coast LHD","20/21","285.5","257.5","315.8"
"Influenza and pneumonia","Males","Mid North Coast LHD","21/22","328.2","298.4","360.4"
"Influenza and pneumonia","Males","Southern NSW LHD","01/02","350.9","312.3","393.0"
"Influenza and pneumonia","Males","Southern NSW LHD","02/03","376.0","336.3","419.0"
"Influenza and pneumonia","Males","Southern NSW LHD","03/04","397.7","357.2","441.6"
"Influenza and pneumonia","Males","Southern NSW LHD","04/05","371.6","333.4","413.0"
"Influenza and pneumonia","Males","Southern NSW LHD","05/06","322.0","287.0","360.2"
"Influenza and pneumonia","Males","Southern NSW LHD","06/07","298.6","265.0","335.3"
"Influenza and pneumonia","Males","Southern NSW LHD","07/08","406.6","367.8","448.5"
"Influenza and pneumonia","Males","Southern NSW LHD","08/09","392.4","355.2","432.6"
"Influenza and pneumonia","Males","Southern NSW LHD","09/10","391.5","354.5","431.5"
"Influenza and pneumonia","Males","Southern NSW LHD","10/11","455.8","416.1","498.5"
"Influenza and pneumonia","Males","Southern NSW LHD","11/12","431.8","393.7","472.8"
"Influenza and pneumonia","Males","Southern NSW LHD","12/13","362.3","328.2","399.2"
"Influenza and pneumonia","Males","Southern NSW LHD","13/14","354.1","320.4","390.5"
"Influenza and pneumonia","Males","Southern NSW LHD","14/15","371.9","337.5","408.9"
"Influenza and pneumonia","Males","Southern NSW LHD","15/16","414.9","378.7","453.8"
"Influenza and pneumonia","Males","Southern NSW LHD","16/17","451.8","414.6","491.6"
"Influenza and pneumonia","Males","Southern NSW LHD","17/18","504.5","465.9","545.6"
"Influenza and pneumonia","Males","Southern NSW LHD","18/19","454.3","417.5","493.7"
"Influenza and pneumonia","Males","Southern NSW LHD","19/20","421.6","386.9","458.6"
"Influenza and pneumonia","Males","Southern NSW LHD","20/21","294.1","265.7","324.9"
"Influenza and pneumonia","Males","Southern NSW LHD","21/22","329.3","299.8","361.2"
"Influenza and pneumonia","Males","Murrumbidgee LHD","01/02","463.5","424.4","505.2"
"Influenza and pneumonia","Males","Murrumbidgee LHD","02/03","534.8","493.3","578.9"
"Influenza and pneumonia","Males","Murrumbidgee LHD","03/04","475.2","435.9","517.0"
"Influenza and pneumonia","Males","Murrumbidgee LHD","04/05","485.3","445.4","527.7"
"Influenza and pneumonia","Males","Murrumbidgee LHD","05/06","509.7","470.1","551.8"
"Influenza and pneumonia","Males","Murrumbidgee LHD","06/07","421.8","386.0","460.1"
"Influenza and pneumonia","Males","Murrumbidgee LHD","07/08","484.8","446.6","525.4"
"Influenza and pneumonia","Males","Murrumbidgee LHD","08/09","465.7","428.7","505.1"
"Influenza and pneumonia","Males","Murrumbidgee LHD","09/10","446.1","410.0","484.6"
"Influenza and pneumonia","Males","Murrumbidgee LHD","10/11","519.4","480.8","560.3"
"Influenza and pneumonia","Males","Murrumbidgee LHD","11/12","504.6","467.0","544.6"
"Influenza and pneumonia","Males","Murrumbidgee LHD","12/13","438.9","404.2","475.8"
"Influenza and pneumonia","Males","Murrumbidgee LHD","13/14","459.5","424.2","496.9"
"Influenza and pneumonia","Males","Murrumbidgee LHD","14/15","562.2","523.7","602.9"
"Influenza and pneumonia","Males","Murrumbidgee LHD","15/16","577.6","538.2","619.1"
"Influenza and pneumonia","Males","Murrumbidgee LHD","16/17","536.1","498.6","575.7"
"Influenza and pneumonia","Males","Murrumbidgee LHD","17/18","589.7","550.6","630.9"
"Influenza and pneumonia","Males","Murrumbidgee LHD","18/19","573.4","534.8","614.2"
"Influenza and pneumonia","Males","Murrumbidgee LHD","19/20","508.3","472.7","546.0"
"Influenza and pneumonia","Males","Murrumbidgee LHD","20/21","351.0","321.6","382.5"
"Influenza and pneumonia","Males","Murrumbidgee LHD","21/22","478.6","444.2","515.1"
"Influenza and pneumonia","Males","Western NSW LHD","01/02","569.8","528.6","613.5"
"Influenza and pneumonia","Males","Western NSW LHD","02/03","614.0","571.4","659.0"
"Influenza and pneumonia","Males","Western NSW LHD","03/04","658.9","614.6","705.6"
"Influenza and pneumonia","Males","Western NSW LHD","04/05","598.7","556.3","643.4"
"Influenza and pneumonia","Males","Western NSW LHD","05/06","554.7","514.5","597.1"
"Influenza and pneumonia","Males","Western NSW LHD","06/07","488.2","451.1","527.6"
"Influenza and pneumonia","Males","Western NSW LHD","07/08","544.3","505.2","585.5"
"Influenza and pneumonia","Males","Western NSW LHD","08/09","503.8","466.7","543.0"
"Influenza and pneumonia","Males","Western NSW LHD","09/10","552.3","513.4","593.3"
"Influenza and pneumonia","Males","Western NSW LHD","10/11","531.6","494.2","571.1"
"Influenza and pneumonia","Males","Western NSW LHD","11/12","511.8","475.6","550.2"
"Influenza and pneumonia","Males","Western NSW LHD","12/13","507.8","472.4","545.2"
"Influenza and pneumonia","Males","Western NSW LHD","13/14","426.5","394.1","460.8"
"Influenza and pneumonia","Males","Western NSW LHD","14/15","483.2","449.1","519.2"
"Influenza and pneumonia","Males","Western NSW LHD","15/16","545.3","508.9","583.7"
"Influenza and pneumonia","Males","Western NSW LHD","16/17","599.4","561.6","639.1"
"Influenza and pneumonia","Males","Western NSW LHD","17/18","564.7","528.2","603.2"
"Influenza and pneumonia","Males","Western NSW LHD","18/19","486.6","452.7","522.3"
"Influenza and pneumonia","Males","Western NSW LHD","19/20","456.8","424.2","491.4"
"Influenza and pneumonia","Males","Western NSW LHD","20/21","332.4","305.0","361.8"
"Influenza and pneumonia","Males","Western NSW LHD","21/22","418.6","388.3","450.8"
"Influenza and pneumonia","Males","Far West LHD","01/02","406.6","316.7","514.3"
"Influenza and pneumonia","Males","Far West LHD","02/03","488.7","386.1","610.1"
"Influenza and pneumonia","Males","Far West LHD","03/04","459.5","359.4","578.8"
"Influenza and pneumonia","Males","Far West LHD","04/05","390.4","298.2","502.0"
"Influenza and pneumonia","Males","Far West LHD","05/06","507.7","400.7","634.2"
"Influenza and pneumonia","Males","Far West LHD","06/07","407.5","318.1","514.9"
"Influenza and pneumonia","Males","Far West LHD","07/08","335.2","255.7","432.4"
"Influenza and pneumonia","Males","Far West LHD","08/09","471.6","373.5","588.0"
"Influenza and pneumonia","Males","Far West LHD","09/10","305.8","227.8","402.4"
"Influenza and pneumonia","Males","Far West LHD","10/11","385.0","294.9","494.0"
"Influenza and pneumonia","Males","Far West LHD","11/12","401.6","310.2","511.7"
"Influenza and pneumonia","Males","Far West LHD","12/13","358.0","275.4","458.6"
"Influenza and pneumonia","Males","Far West LHD","13/14","376.2","291.1","479.4"
"Influenza and pneumonia","Males","Far West LHD","14/15","372.0","287.7","474.4"
"Influenza and pneumonia","Males","Far West LHD","15/16","539.7","433.2","665.0"
"Influenza and pneumonia","Males","Far West LHD","16/17","420.3","327.7","531.7"
"Influenza and pneumonia","Males","Far West LHD","17/18","493.0","392.0","612.9"
"Influenza and pneumonia","Males","Far West LHD","18/19","559.8","454.6","683.1"
"Influenza and pneumonia","Males","Far West LHD","19/20","606.7","497.0","734.7"
"Influenza and pneumonia","Males","Far West LHD","20/21","460.8","366.0","573.9"
"Influenza and pneumonia","Males","Far West LHD","21/22","466.5","367.4","585.0"
"Influenza and pneumonia","Males","All LHDs","01/02","337.0","330.4","343.8"
"Influenza and pneumonia","Males","All LHDs","02/03","339.7","333.1","346.4"
"Influenza and pneumonia","Males","All LHDs","03/04","346.2","339.6","352.9"
"Influenza and pneumonia","Males","All LHDs","04/05","332.6","326.1","339.1"
"Influenza and pneumonia","Males","All LHDs","05/06","314.0","307.7","320.2"
"Influenza and pneumonia","Males","All LHDs","06/07","306.0","300.0","312.2"
"Influenza and pneumonia","Males","All LHDs","07/08","335.8","329.6","342.1"
"Influenza and pneumonia","Males","All LHDs","08/09","317.5","311.5","323.6"
"Influenza and pneumonia","Males","All LHDs","09/10","314.4","308.5","320.4"
