acute respiratory infection,sex,lhd,financial year,"rate per 100,000 population"
Influenza and pneumonia,Males,South Eastern Sydney,2014/2015,309
Influenza and pneumonia,Males,South Eastern Sydney,2015/2016,291.4
Influenza and pneumonia,Males,South Eastern Sydney,2016/2017,316
Influenza and pneumonia,Males,South Eastern Sydney,2017/2018,351.5
Influenza and pneumonia,Males,South Eastern Sydney,2018/2019,368.3
Influenza and pneumonia,Males,South Eastern Sydney,2019/2020,337.9
Influenza and pneumonia,Males,South Eastern Sydney,2020/2021,187.1
Influenza and pneumonia,Males,Illawarra Shoalhaven,2001/2002,286.8
Influenza and pneumonia,Males,Illawarra Shoalhaven,2002/2003,251.4
Influenza and pneumonia,Males,Illawarra Shoalhaven,2003/2004,252.2
Influenza and pneumonia,Males,Illawarra Shoalhaven,2004/2005,293.5
Influenza and pneumonia,Males,Illawarra Shoalhaven,2005/2006,280.3
Influenza and pneumonia,Males,Illawarra Shoalhaven,2006/2007,259.6
Influenza and pneumonia,Males,Illawarra Shoalhaven,2007/2008,282.5
Influenza and pneumonia,Males,Illawarra Shoalhaven,2008/2009,335.6
Influenza and pneumonia,Males,Illawarra Shoalhaven,2009/2010,328.7
Influenza and pneumonia,Males,Illawarra Shoalhaven,2010/2011,294.4
Influenza and pneumonia,Males,Illawarra Shoalhaven,2011/2012,305.1
Influenza and pneumonia,Males,Illawarra Shoalhaven,2012/2013,331.6
Influenza and pneumonia,Males,Illawarra Shoalhaven,2013/2014,345
Influenza and pneumonia,Males,Illawarra Shoalhaven,2014/2015,387.5
Influenza and pneumonia,Males,Illawarra Shoalhaven,2015/2016,350.1
Influenza and pneumonia,Males,Illawarra Shoalhaven,2016/2017,349.8
Influenza and pneumonia,Males,Illawarra Shoalhaven,2017/2018,416.8
Influenza and pneumonia,Males,Illawarra Shoalhaven,2018/2019,401.5
Influenza and pneumonia,Males,Illawarra Shoalhaven,2019/2020,395.7
Influenza and pneumonia,Males,Illawarra Shoalhaven,2020/2021,258.3
Influenza and pneumonia,Males,Western Sydney,2001/2002,311.1
Influenza and pneumonia,Males,Western Sydney,2002/2003,299.1
Influenza and pneumonia,Males,Western Sydney,2003/2004,317.1
Influenza and pneumonia,Males,Western Sydney,2004/2005,283.7
Influenza and pneumonia,Males,Western Sydney,2005/2006,291.7
Influenza and pneumonia,Males,Western Sydney,2006/2007,291.3
Influenza and pneumonia,Males,Western Sydney,2007/2008,311.6
Influenza and pneumonia,Males,Western Sydney,2008/2009,304.6
Influenza and pneumonia,Males,Western Sydney,2009/2010,317.2
Influenza and pneumonia,Males,Western Sydney,2010/2011,305.7
Influenza and pneumonia,Males,Western Sydney,2011/2012,348
Influenza and pneumonia,Males,Western Sydney,2012/2013,301.8
Influenza and pneumonia,Males,Western Sydney,2013/2014,330.3
Influenza and pneumonia,Males,Western Sydney,2014/2015,335.9
Influenza and pneumonia,Males,Western Sydney,2015/2016,344.5
Influenza and pneumonia,Males,Western Sydney,2016/2017,351.9
Influenza and pneumonia,Males,Western Sydney,2017/2018,413.8
Influenza and pneumonia,Males,Western Sydney,2018/2019,397.2
Influenza and pneumonia,Males,Western Sydney,2019/2020,365.6
Influenza and pneumonia,Males,Western Sydney,2020/2021,228
Influenza and pneumonia,Males,Nepean Blue Mountains,2001/2002,410.2
Influenza and pneumonia,Males,Nepean Blue Mountains,2002/2003,344.1
Influenza and pneumonia,Males,Nepean Blue Mountains,2003/2004,362
Influenza and pneumonia,Males,Nepean Blue Mountains,2004/2005,364.9
Influenza and pneumonia,Males,Nepean Blue Mountains,2005/2006,341.5
Influenza and pneumonia,Males,Nepean Blue Mountains,2006/2007,344.1
Influenza and pneumonia,Males,Nepean Blue Mountains,2007/2008,447.8
Influenza and pneumonia,Males,Nepean Blue Mountains,2008/2009,340.9
Influenza and pneumonia,Males,Nepean Blue Mountains,2009/2010,325.6
Influenza and pneumonia,Males,Nepean Blue Mountains,2010/2011,413.6
Influenza and pneumonia,Males,Nepean Blue Mountains,2011/2012,372.1
Influenza and pneumonia,Males,Nepean Blue Mountains,2012/2013,329
Influenza and pneumonia,Males,Nepean Blue Mountains,2013/2014,342.5
Influenza and pneumonia,Males,Nepean Blue Mountains,2014/2015,392.5
Influenza and pneumonia,Males,Nepean Blue Mountains,2015/2016,391.9
Influenza and pneumonia,Males,Nepean Blue Mountains,2016/2017,372.5
Influenza and pneumonia,Males,Nepean Blue Mountains,2017/2018,479.6
Influenza and pneumonia,Males,Nepean Blue Mountains,2018/2019,425.4
Influenza and pneumonia,Males,Nepean Blue Mountains,2019/2020,376.5
Influenza and pneumonia,Males,Nepean Blue Mountains,2020/2021,247.3
Influenza and pneumonia,Males,Northern Sydney,2001/2002,248.5
Influenza and pneumonia,Males,Northern Sydney,2002/2003,247.3
Influenza and pneumonia,Males,Northern Sydney,2003/2004,251.5
Influenza and pneumonia,Males,Northern Sydney,2004/2005,264.3
Influenza and pneumonia,Males,Northern Sydney,2005/2006,242.9
Influenza and pneumonia,Males,Northern Sydney,2006/2007,240.2
Influenza and pneumonia,Males,Northern Sydney,2007/2008,280.1
Influenza and pneumonia,Males,Northern Sydney,2008/2009,268.7
Influenza and pneumonia,Males,Northern Sydney,2009/2010,247.1
Influenza and pneumonia,Males,Northern Sydney,2010/2011,267
Influenza and pneumonia,Males,Northern Sydney,2011/2012,283.3
Influenza and pneumonia,Males,Northern Sydney,2012/2013,241.3
Influenza and pneumonia,Males,Northern Sydney,2013/2014,257.5
Influenza and pneumonia,Males,Northern Sydney,2014/2015,306.7
Influenza and pneumonia,Males,Northern Sydney,2015/2016,334.9
Influenza and pneumonia,Males,Northern Sydney,2016/2017,319.8
Influenza and pneumonia,Males,Northern Sydney,2017/2018,382.4
Influenza and pneumonia,Males,Northern Sydney,2018/2019,357.5
Influenza and pneumonia,Males,Northern Sydney,2019/2020,338.1
Influenza and pneumonia,Males,Northern Sydney,2020/2021,182.5
Influenza and pneumonia,Males,Central Coast,2001/2002,294.6
Influenza and pneumonia,Males,Central Coast,2002/2003,317.7
Influenza and pneumonia,Males,Central Coast,2003/2004,308.5
Influenza and pneumonia,Males,Central Coast,2004/2005,278.8
Influenza and pneumonia,Males,Central Coast,2005/2006,321.6
Influenza and pneumonia,Males,Central Coast,2006/2007,270.3
Influenza and pneumonia,Males,Central Coast,2007/2008,306.9
Influenza and pneumonia,Males,Central Coast,2008/2009,280.2
Influenza and pneumonia,Males,Central Coast,2009/2010,285
Influenza and pneumonia,Males,Central Coast,2010/2011,330.9
Influenza and pneumonia,Males,Central Coast,2011/2012,305.2
Influenza and pneumonia,Males,Central Coast,2012/2013,316.7
Influenza and pneumonia,Males,Central Coast,2013/2014,317.3
Influenza and pneumonia,Males,Central Coast,2014/2015,402.9
Influenza and pneumonia,Males,Central Coast,2015/2016,404.2
Influenza and pneumonia,Males,Central Coast,2016/2017,324.7
Influenza and pneumonia,Males,Central Coast,2017/2018,421.9
Influenza and pneumonia,Males,Central Coast,2018/2019,420.6
Influenza and pneumonia,Males,Central Coast,2019/2020,409.5
Influenza and pneumonia,Males,Central Coast,2020/2021,219.2
Influenza and pneumonia,Males,Hunter New England,2001/2002,354.7
Influenza and pneumonia,Males,Hunter New England,2002/2003,355.9
Influenza and pneumonia,Males,Hunter New England,2003/2004,362.9
Influenza and pneumonia,Males,Hunter New England,2004/2005,371.9
Influenza and pneumonia,Males,Hunter New England,2005/2006,326.1
Influenza and pneumonia,Males,Hunter New England,2006/2007,330.3
Influenza and pneumonia,Males,Hunter New England,2007/2008,330.7
Influenza and pneumonia,Males,Hunter New England,2008/2009,323.1
Influenza and pneumonia,Males,Hunter New England,2009/2010,316.6
Influenza and pneumonia,Males,Hunter New England,2010/2011,321.5
Influenza and pneumonia,Males,Hunter New England,2011/2012,358.1
Influenza and pneumonia,Males,Hunter New England,2012/2013,305.2
Influenza and pneumonia,Males,Hunter New England,2013/2014,325.8
Influenza and pneumonia,Males,Hunter New England,2014/2015,391
Influenza and pneumonia,Males,Hunter New England,2015/2016,398.7
Influenza and pneumonia,Males,Hunter New England,2016/2017,395.7
Influenza and pneumonia,Males,Hunter New England,2017/2018,462.5
Influenza and pneumonia,Males,Hunter New England,2018/2019,420
Influenza and pneumonia,Males,Hunter New England,2019/2020,381.6
Influenza and pneumonia,Males,Hunter New England,2020/2021,257.9
Influenza and pneumonia,Males,Northern NSW,2001/2002,375.9
Influenza and pneumonia,Males,Northern NSW,2002/2003,362.3
Influenza and pneumonia,Males,Northern NSW,2003/2004,346.5
Influenza and pneumonia,Males,Northern NSW,2004/2005,306.6
Influenza and pneumonia,Males,Northern NSW,2005/2006,328.9
Influenza and pneumonia,Males,Northern NSW,2006/2007,282.3
Influenza and pneumonia,Males,Northern NSW,2007/2008,350.7
Influenza and pneumonia,Males,Northern NSW,2008/2009,313
Influenza and pneumonia,Males,Northern NSW,2009/2010,342.4
Influenza and pneumonia,Males,Northern NSW,2010/2011,306.5
Influenza and pneumonia,Males,Northern NSW,2011/2012,348.9
Influenza and pneumonia,Males,Northern NSW,2012/2013,287
Influenza and pneumonia,Males,Northern NSW,2013/2014,325.9
Influenza and pneumonia,Males,Northern NSW,2014/2015,320.6
Influenza and pneumonia,Males,Northern NSW,2015/2016,387.6
Influenza and pneumonia,Males,Northern NSW,2016/2017,375.9
Influenza and pneumonia,Males,Northern NSW,2017/2018,445
Influenza and pneumonia,Males,Northern NSW,2018/2019,400.1
Influenza and pneumonia,Males,Northern NSW,2019/2020,414.1
Influenza and pneumonia,Males,Northern NSW,2020/2021,225.8
Influenza and pneumonia,Males,Mid North Coast,2001/2002,381.6
Influenza and pneumonia,Males,Mid North Coast,2002/2003,427.1
Influenza and pneumonia,Males,Mid North Coast,2003/2004,504.8
Influenza and pneumonia,Males,Mid North Coast,2004/2005,421.5
Influenza and pneumonia,Males,Mid North Coast,2005/2006,403.7
Influenza and pneumonia,Males,Mid North Coast,2006/2007,389.1
Influenza and pneumonia,Males,Mid North Coast,2007/2008,430.9
Influenza and pneumonia,Males,Mid North Coast,2008/2009,391
Influenza and pneumonia,Males,Mid North Coast,2009/2010,376.8
Influenza and pneumonia,Males,Mid North Coast,2010/2011,340.1
Influenza and pneumonia,Males,Mid North Coast,2011/2012,393
Influenza and pneumonia,Males,Mid North Coast,2012/2013,399.6
Influenza and pneumonia,Males,Mid North Coast,2013/2014,324.7
Influenza and pneumonia,Males,Mid North Coast,2014/2015,399.9
Influenza and pneumonia,Males,Mid North Coast,2015/2016,451.9
Influenza and pneumonia,Males,Mid North Coast,2016/2017,407.4
Influenza and pneumonia,Males,Mid North Coast,2017/2018,428.2
Influenza and pneumonia,Males,Mid North Coast,2018/2019,399.1
Influenza and pneumonia,Males,Mid North Coast,2019/2020,392.9
Influenza and pneumonia,Males,Mid North Coast,2020/2021,292.6
Influenza and pneumonia,Males,Southern NSW,2001/2002,350.9
Influenza and pneumonia,Males,Southern NSW,2002/2003,376
Influenza and pneumonia,Males,Southern NSW,2003/2004,397.7
Influenza and pneumonia,Males,Southern NSW,2004/2005,371.6
Influenza and pneumonia,Males,Southern NSW,2005/2006,322
Influenza and pneumonia,Males,Southern NSW,2006/2007,298.6
Influenza and pneumonia,Males,Southern NSW,2007/2008,406.6
Influenza and pneumonia,Males,Southern NSW,2008/2009,391.8
Influenza and pneumonia,Males,Southern NSW,2009/2010,391.5
Influenza and pneumonia,Males,Southern NSW,2010/2011,456.5
Influenza and pneumonia,Males,Southern NSW,2011/2012,432.4
Influenza and pneumonia,Males,Southern NSW,2012/2013,362.3
Influenza and pneumonia,Males,Southern NSW,2013/2014,354.1
Influenza and pneumonia,Males,Southern NSW,2014/2015,371.9
Influenza and pneumonia,Males,Southern NSW,2015/2016,414.9
Influenza and pneumonia,Males,Southern NSW,2016/2017,451.2
Influenza and pneumonia,Males,Southern NSW,2017/2018,505.3
Influenza and pneumonia,Males,Southern NSW,2018/2019,457.8
Influenza and pneumonia,Males,Southern NSW,2019/2020,425.4
Influenza and pneumonia,Males,Southern NSW,2020/2021,306.4
Influenza and pneumonia,Males,Murrumbidgee,2001/2002,464.6
Influenza and pneumonia,Males,Murrumbidgee,2002/2003,534.8
Influenza and pneumonia,Males,Murrumbidgee,2003/2004,475.2
Influenza and pneumonia,Males,Murrumbidgee,2004/2005,485.3
Influenza and pneumonia,Males,Murrumbidgee,2005/2006,509.7
Influenza and pneumonia,Males,Murrumbidgee,2006/2007,421.8
Influenza and pneumonia,Males,Murrumbidgee,2007/2008,484.8
Influenza and pneumonia,Males,Murrumbidgee,2008/2009,465.7
Influenza and pneumonia,Males,Murrumbidgee,2009/2010,446.1
Influenza and pneumonia,Males,Murrumbidgee,2010/2011,520
Influenza and pneumonia,Males,Murrumbidgee,2011/2012,504.5
Influenza and pneumonia,Males,Murrumbidgee,2012/2013,438.9
Influenza and pneumonia,Males,Murrumbidgee,2013/2014,459.5
Influenza and pneumonia,Males,Murrumbidgee,2014/2015,562.2
Influenza and pneumonia,Males,Murrumbidgee,2015/2016,577.6
Influenza and pneumonia,Males,Murrumbidgee,2016/2017,536.3
Influenza and pneumonia,Males,Murrumbidgee,2017/2018,590.3
Influenza and pneumonia,Males,Murrumbidgee,2018/2019,574.7
Influenza and pneumonia,Males,Murrumbidgee,2019/2020,509.6
Influenza and pneumonia,Males,Murrumbidgee,2020/2021,377.6
Influenza and pneumonia,Males,Western NSW,2001/2002,569.8
Influenza and pneumonia,Males,Western NSW,2002/2003,614
Influenza and pneumonia,Males,Western NSW,2003/2004,658.9
Influenza and pneumonia,Males,Western NSW,2004/2005,598.7
Influenza and pneumonia,Males,Western NSW,2005/2006,554.7
Influenza and pneumonia,Males,Western NSW,2006/2007,488.2
Influenza and pneumonia,Males,Western NSW,2007/2008,544.3
Influenza and pneumonia,Males,Western NSW,2008/2009,504.7
Influenza and pneumonia,Males,Western NSW,2009/2010,553.1
Influenza and pneumonia,Males,Western NSW,2010/2011,531.6
Influenza and pneumonia,Males,Western NSW,2011/2012,511.8
Influenza and pneumonia,Males,Western NSW,2012/2013,507.8
Influenza and pneumonia,Males,Western NSW,2013/2014,427.1
Influenza and pneumonia,Males,Western NSW,2014/2015,483.2
Influenza and pneumonia,Males,Western NSW,2015/2016,545.3
Influenza and pneumonia,Males,Western NSW,2016/2017,599.5
Influenza and pneumonia,Males,Western NSW,2017/2018,565.2
Influenza and pneumonia,Males,Western NSW,2018/2019,487.4
Influenza and pneumonia,Males,Western NSW,2019/2020,458.9
Influenza and pneumonia,Males,Western NSW,2020/2021,338.9
Influenza and pneumonia,Females,Sydney,2001/2002,222.3
Influenza and pneumonia,Females,Sydney,2002/2003,219.4
Influenza and pneumonia,Females,Sydney,2003/2004,221.1
Influenza and pneumonia,Females,Sydney,2004/2005,214.7
Influenza and pneumonia,Females,Sydney,2005/2006,201.7
Influenza and pneumonia,Females,Sydney,2006/2007,184.1
Influenza and pneumonia,Females,Sydney,2007/2008,212.9
Influenza and pneumonia,Females,Sydney,2008/2009,193.2
Influenza and pneumonia,Females,Sydney,2009/2010,202.8
Influenza and pneumonia,Females,Sydney,2010/2011,220.2
Influenza and pneumonia,Females,Sydney,2011/2012,220.1
Influenza and pneumonia,Females,Sydney,2012/2013,198.2
Influenza and pneumonia,Females,Sydney,2013/2014,203.5
Influenza and pneumonia,Females,Sydney,2014/2015,261.7
Influenza and pneumonia,Females,Sydney,2015/2016,260.9
Influenza and pneumonia,Females,Sydney,2016/2017,280.6
Influenza and pneumonia,Females,Sydney,2017/2018,319.9
Influenza and pneumonia,Females,Sydney,2018/2019,281.5
Influenza and pneumonia,Females,Sydney,2019/2020,297.2
Influenza and pneumonia,Females,Sydney,2020/2021,172.8
Influenza and pneumonia,Females,South Western Sydney,2001/2002,218.9
Influenza and pneumonia,Females,South Western Sydney,2002/2003,249.7
Influenza and pneumonia,Females,South Western Sydney,2003/2004,252.7
Influenza and pneumonia,Females,South Western Sydney,2004/2005,237.5
Influenza and pneumonia,Females,South Western Sydney,2005/2006,234.6
Influenza and pneumonia,Females,South Western Sydney,2006/2007,218.2
Influenza and pneumonia,Females,South Western Sydney,2007/2008,248.2
Influenza and pneumonia,Females,South Western Sydney,2008/2009,218.1
Influenza and pneumonia,Females,South Western Sydney,2009/2010,236.4
Influenza and pneumonia,Females,South Western Sydney,2010/2011,231.2
Influenza and pneumonia,Females,South Western Sydney,2011/2012,268.9
Influenza and pneumonia,Females,South Western Sydney,2012/2013,235.9
Influenza and pneumonia,Females,South Western Sydney,2013/2014,237.2
Influenza and pneumonia,Females,South Western Sydney,2014/2015,297.4
Influenza and pneumonia,Females,South Western Sydney,2015/2016,308.9
Influenza and pneumonia,Females,South Western Sydney,2016/2017,328.5
Influenza and pneumonia,Females,South Western Sydney,2017/2018,378.6
Influenza and pneumonia,Females,South Western Sydney,2018/2019,358.4
Influenza and pneumonia,Females,South Western Sydney,2019/2020,326.3
Influenza and pneumonia,Females,South Western Sydney,2020/2021,176.4
Influenza and pneumonia,Females,South Eastern Sydney,2001/2002,210.7
Influenza and pneumonia,Females,South Eastern Sydney,2002/2003,228.4
Influenza and pneumonia,Females,South Eastern Sydney,2003/2004,224.7
Influenza and pneumonia,Females,South Eastern Sydney,2004/2005,207.4
Influenza and pneumonia,Females,South Eastern Sydney,2005/2006,188.8
Influenza and pneumonia,Females,South Eastern Sydney,2006/2007,184.8
Influenza and pneumonia,Females,South Eastern Sydney,2007/2008,215.5
Influenza and pneumonia,Females,South Eastern Sydney,2008/2009,187
Influenza and pneumonia,Females,South Eastern Sydney,2009/2010,201.4
Influenza and pneumonia,Females,South Eastern Sydney,2010/2011,195.9
Influenza and pneumonia,Females,South Eastern Sydney,2011/2012,224
Influenza and pneumonia,Females,South Eastern Sydney,2012/2013,194.9
Influenza and pneumonia,Females,South Eastern Sydney,2013/2014,195.9
Influenza and pneumonia,Females,South Eastern Sydney,2014/2015,251.1
Influenza and pneumonia,Females,South Eastern Sydney,2015/2016,231.1
Influenza and pneumonia,Females,South Eastern Sydney,2016/2017,247
Influenza and pneumonia,Females,South Eastern Sydney,2017/2018,300
Influenza and pneumonia,Females,South Eastern Sydney,2018/2019,316.5
Influenza and pneumonia,Females,South Eastern Sydney,2019/2020,296.7
Influenza and pneumonia,Females,South Eastern Sydney,2020/2021,135
Influenza and pneumonia,Females,Illawarra Shoalhaven,2001/2002,198.4
Influenza and pneumonia,Females,Illawarra Shoalhaven,2002/2003,179.1
Influenza and pneumonia,Females,Illawarra Shoalhaven,2003/2004,214.2
Influenza and pneumonia,Females,Illawarra Shoalhaven,2004/2005,225.6
Influenza and pneumonia,Females,Illawarra Shoalhaven,2005/2006,221.3
Influenza and pneumonia,Females,Illawarra Shoalhaven,2006/2007,186.3
Influenza and pneumonia,Females,Illawarra Shoalhaven,2007/2008,196.6
Influenza and pneumonia,Females,Illawarra Shoalhaven,2008/2009,247.5
Influenza and pneumonia,Females,Illawarra Shoalhaven,2009/2010,264.3
Influenza and pneumonia,Females,Illawarra Shoalhaven,2010/2011,249.2
Influenza and pneumonia,Females,Illawarra Shoalhaven,2011/2012,254.5
Influenza and pneumonia,Females,Illawarra Shoalhaven,2012/2013,268.7
Influenza and pneumonia,Females,Illawarra Shoalhaven,2013/2014,259.5
Influenza and pneumonia,Females,Illawarra Shoalhaven,2014/2015,313.6
Influenza and pneumonia,Females,Illawarra Shoalhaven,2015/2016,296.9
Influenza and pneumonia,Females,Illawarra Shoalhaven,2016/2017,280.5
Influenza and pneumonia,Females,Illawarra Shoalhaven,2017/2018,371.2
Influenza and pneumonia,Females,Illawarra Shoalhaven,2018/2019,339.7
Influenza and pneumonia,Females,Illawarra Shoalhaven,2019/2020,340
Influenza and pneumonia,Females,Illawarra Shoalhaven,2020/2021,192.9
Influenza and pneumonia,Females,Western Sydney,2001/2002,226.2
Influenza and pneumonia,Females,Western Sydney,2002/2003,213.3
Influenza and pneumonia,Females,Western Sydney,2003/2004,235.2
Influenza and pneumonia,Females,Western Sydney,2004/2005,224.3
Influenza and pneumonia,Females,Western Sydney,2005/2006,215.1
Influenza and pneumonia,Females,Western Sydney,2006/2007,222.9
Influenza and pneumonia,Females,Western Sydney,2007/2008,223.5
Influenza and pneumonia,Females,Western Sydney,2008/2009,235.2
Influenza and pneumonia,Females,Western Sydney,2009/2010,222.7
Influenza and pneumonia,Females,Western Sydney,2010/2011,238.2
Influenza and pneumonia,Females,Western Sydney,2011/2012,255
Influenza and pneumonia,Females,Western Sydney,2012/2013,243.2
Influenza and pneumonia,Females,Western Sydney,2013/2014,262.5
Influenza and pneumonia,Females,Western Sydney,2014/2015,302.3
Influenza and pneumonia,Females,Western Sydney,2015/2016,297.6
Influenza and pneumonia,Females,Western Sydney,2016/2017,291.9
Influenza and pneumonia,Females,Western Sydney,2017/2018,351
Influenza and pneumonia,Females,Western Sydney,2018/2019,362.4
Influenza and pneumonia,Females,Western Sydney,2019/2020,311.1
Influenza and pneumonia,Females,Western Sydney,2020/2021,161.9
Influenza and pneumonia,Females,Nepean Blue Mountains,2001/2002,263.9
Influenza and pneumonia,Females,Nepean Blue Mountains,2002/2003,293.1
Influenza and pneumonia,Females,Nepean Blue Mountains,2003/2004,290.7
Influenza and pneumonia,Females,Nepean Blue Mountains,2004/2005,276
Influenza and pneumonia,Females,Nepean Blue Mountains,2005/2006,253.4
Influenza and pneumonia,Females,Nepean Blue Mountains,2006/2007,262.6
Influenza and pneumonia,Females,Nepean Blue Mountains,2007/2008,320.1
Influenza and pneumonia,Females,Nepean Blue Mountains,2008/2009,251.5
Influenza and pneumonia,Females,Nepean Blue Mountains,2009/2010,244.1
Influenza and pneumonia,Females,Nepean Blue Mountains,2010/2011,312.5
Influenza and pneumonia,Females,Nepean Blue Mountains,2011/2012,294.6
Influenza and pneumonia,Females,Nepean Blue Mountains,2012/2013,268
Influenza and pneumonia,Females,Nepean Blue Mountains,2013/2014,274.9
Influenza and pneumonia,Females,Nepean Blue Mountains,2014/2015,320.3
Influenza and pneumonia,Females,Nepean Blue Mountains,2015/2016,326.5
Influenza and pneumonia,Females,Nepean Blue Mountains,2016/2017,301.2
Influenza and pneumonia,Females,Nepean Blue Mountains,2017/2018,386.6
Influenza and pneumonia,Females,Nepean Blue Mountains,2018/2019,370.6
Influenza and pneumonia,Females,Nepean Blue Mountains,2019/2020,354.3
Influenza and pneumonia,Females,Nepean Blue Mountains,2020/2021,182.8
Influenza and pneumonia,Females,Northern Sydney,2001/2002,186.8
Influenza and pneumonia,Females,Northern Sydney,2002/2003,179.8
Influenza and pneumonia,Females,Northern Sydney,2003/2004,204.1
Influenza and pneumonia,Females,Northern Sydney,2004/2005,199.4
Influenza and pneumonia,Females,Northern Sydney,2005/2006,191.7
Influenza and pneumonia,Females,Northern Sydney,2006/2007,164.1
Influenza and pneumonia,Females,Northern Sydney,2007/2008,197.3
Influenza and pneumonia,Females,Northern Sydney,2008/2009,208.1
Influenza and pneumonia,Females,Northern Sydney,2009/2010,200.7
Influenza and pneumonia,Females,Northern Sydney,2010/2011,217.9
Influenza and pneumonia,Females,Northern Sydney,2011/2012,237.8
Influenza and pneumonia,Females,Northern Sydney,2012/2013,199.5
Influenza and pneumonia,Females,Northern Sydney,2013/2014,197.4
Influenza and pneumonia,Females,Northern Sydney,2014/2015,264.6
Influenza and pneumonia,Females,Northern Sydney,2015/2016,274.3
Influenza and pneumonia,Females,Northern Sydney,2016/2017,261.8
Influenza and pneumonia,Females,Northern Sydney,2017/2018,306
Influenza and pneumonia,Females,Northern Sydney,2018/2019,302.4
Influenza and pneumonia,Females,Northern Sydney,2019/2020,288.3
Influenza and pneumonia,Females,Northern Sydney,2020/2021,136.4
Influenza and pneumonia,Females,Central Coast,2001/2002,198.1
Influenza and pneumonia,Females,Central Coast,2002/2003,213.2
Influenza and pneumonia,Females,Central Coast,2003/2004,217.8
Influenza and pneumonia,Females,Central Coast,2004/2005,190.7
Influenza and pneumonia,Females,Central Coast,2005/2006,208.5
Influenza and pneumonia,Females,Central Coast,2006/2007,215.2
Influenza and pneumonia,Females,Central Coast,2007/2008,198.6
Influenza and pneumonia,Females,Central Coast,2008/2009,241.2
Influenza and pneumonia,Females,Central Coast,2009/2010,221.4
Influenza and pneumonia,Females,Central Coast,2010/2011,251.1
Influenza and pneumonia,Females,Central Coast,2011/2012,241.1
Influenza and pneumonia,Females,Central Coast,2012/2013,217.2
Influenza and pneumonia,Females,Central Coast,2013/2014,206.7
