financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population"
2009/2010,South Eastern Sydney,157.3,145.7
2009/2010,South Western Sydney,178.9,183.7
2009/2010,Southern NSW,156.1,140.9
2009/2010,Sydney,131.9,158.1
2009/2010,Western NSW,159.0,159.4
2009/2010,Western Sydney,166.7,180.2
2010/2011,Central Coast,131.2,136.6
2010/2011,Far West,177.5,178.1
2010/2011,Hunter New England,133.1,134.5
2010/2011,Illawarra Shoalhaven,146.2,145.2
2010/2011,Mid North Coast,166.5,144.4
2010/2011,Murrumbidgee,212.3,216.4
2010/2011,Nepean Blue Mountains,150.2,174.9
2010/2011,Northern NSW,162.0,158.1
2010/2011,Northern Sydney,98.0,145.1
2010/2011,South Eastern Sydney,118.0,139.6
2010/2011,South Western Sydney,155.3,170.5
2010/2011,Southern NSW,134.3,145.7
2010/2011,Sydney,115.5,128.9
2010/2011,Western NSW,189.5,160.8
2010/2011,Western Sydney,134.9,154.1
2011/2012,Central Coast,131.7,142.0
2011/2012,Far West,236.6,196.2
2011/2012,Hunter New England,142.0,144.4
2011/2012,Illawarra Shoalhaven,131.9,122.3
2011/2012,Mid North Coast,180.8,122.2
2011/2012,Murrumbidgee,213.1,238.7
2011/2012,Nepean Blue Mountains,156.1,163.4
2011/2012,Northern NSW,151.9,148.0
2011/2012,Northern Sydney,113.3,159.2
2011/2012,South Eastern Sydney,139.1,135.8
2011/2012,South Western Sydney,187.2,204.8
2011/2012,Southern NSW,151.7,151.0
2011/2012,Sydney,148.6,136.4
2011/2012,Western NSW,163.5,146.5
2011/2012,Western Sydney,164.9,166.6
2012/2013,Central Coast,155.2,169.3
2012/2013,Far West,272.1,211.7
2012/2013,Hunter New England,148.3,138.8
2012/2013,Illawarra Shoalhaven,111.9,115.3
2012/2013,Mid North Coast,157.7,155.3
2012/2013,Murrumbidgee,220.8,214.8
2012/2013,Nepean Blue Mountains,160.4,180.3
2012/2013,Northern NSW,124.6,168.6
2012/2013,Northern Sydney,122.5,160.8
2012/2013,South Eastern Sydney,125.0,140.9
2012/2013,South Western Sydney,167.1,175.2
2012/2013,Southern NSW,138.9,153.5
2012/2013,Sydney,111.5,158.0
2012/2013,Western NSW,156.0,137.2
2012/2013,Western Sydney,154.3,160.5
2013/2014,Central Coast,149.6,138.9
2013/2014,Far West,284.6,190.4
2013/2014,Hunter New England,147.5,144.2
2013/2014,Illawarra Shoalhaven,123.3,112.8
2013/2014,Mid North Coast,205.6,135.7
2013/2014,Murrumbidgee,261.7,218.7
2013/2014,Nepean Blue Mountains,174.8,172.9
2013/2014,Northern NSW,153.8,165.9
2013/2014,Northern Sydney,135.1,167.3
2013/2014,South Eastern Sydney,142.4,146.5
2013/2014,South Western Sydney,171.4,174.0
2013/2014,Southern NSW,134.7,125.8
2013/2014,Sydney,122.0,150.4
2013/2014,Western NSW,133.6,97.3
2013/2014,Western Sydney,180.9,180.9
2014/2015,Central Coast,182.2,148.5
2014/2015,Far West,202.4,224.7
2014/2015,Hunter New England,146.7,136.0
2014/2015,Illawarra Shoalhaven,128.8,102.6
2014/2015,Mid North Coast,168.5,167.6
2014/2015,Murrumbidgee,221.0,189.1
2014/2015,Nepean Blue Mountains,188.8,176.4
2014/2015,Northern NSW,174.4,153.1
2014/2015,Northern Sydney,111.2,127.3
2014/2015,South Eastern Sydney,127.6,145.4
2014/2015,South Western Sydney,183.6,178.8
2014/2015,Southern NSW,122.4,111.4
2014/2015,Sydney,127.3,130.1
2014/2015,Western NSW,144.2,116.5
2014/2015,Western Sydney,178.4,177.7
2015/2016,Central Coast,185.2,157.4
2015/2016,Far West,246.4,201.5
2015/2016,Hunter New England,162.3,158.5
2015/2016,Illawarra Shoalhaven,156.7,116.5
2015/2016,Mid North Coast,136.0,145.2
2015/2016,Murrumbidgee,193.9,177.4
2015/2016,Nepean Blue Mountains,186.8,166.3
2015/2016,Northern NSW,186.3,164.1
2015/2016,Northern Sydney,117.3,127.2
2015/2016,South Eastern Sydney,121.2,118.6
2015/2016,South Western Sydney,165.6,181.0
2015/2016,Southern NSW,125.5,104.9
2015/2016,Sydney,111.3,117.8
2015/2016,Western NSW,134.8,121.7
2015/2016,Western Sydney,186.6,161.5
2016/2017,Central Coast,176.7,149.1
2016/2017,Far West,234.9,175.6
2016/2017,Hunter New England,184.6,174.9
2016/2017,Illawarra Shoalhaven,155.7,118.6
2016/2017,Mid North Coast,179.2,167.8
2016/2017,Murrumbidgee,248.7,198.5
2016/2017,Nepean Blue Mountains,181.8,160.3
2016/2017,Northern NSW,180.6,140.5
2016/2017,Northern Sydney,124.4,124.4
2016/2017,South Eastern Sydney,114.4,116.0
2016/2017,South Western Sydney,184.5,167.7
2016/2017,Southern NSW,129.3,129.1
2016/2017,Sydney,128.9,121.7
2016/2017,Western NSW,144.2,137.6
2016/2017,Western Sydney,168.3,154.4
2017/2018,Central Coast,154.4,141.6
2017/2018,Far West,198.2,115.4
2017/2018,Hunter New England,157.7,163.6
2017/2018,Illawarra Shoalhaven,109.5,105.0
2017/2018,Mid North Coast,137.7,169.5
2017/2018,Murrumbidgee,226.9,163.7
2017/2018,Nepean Blue Mountains,161.5,150.3
2017/2018,Northern NSW,180.8,146.8
2017/2018,Northern Sydney,100.3,101.2
2017/2018,South Eastern Sydney,107.6,110.3
2017/2018,South Western Sydney,177.3,150.1
2017/2018,Southern NSW,153.0,133.9
2017/2018,Sydney,108.7,118.8
2017/2018,Western NSW,125.3,116.2
2017/2018,Western Sydney,170.6,148.8
2018/2019,Central Coast,144.6,122.9
2018/2019,Far West,230.0,149.4
2018/2019,Hunter New England,167.0,169.8
2018/2019,Illawarra Shoalhaven,115.7,89.1
2018/2019,Mid North Coast,150.6,139.0
2018/2019,Murrumbidgee,229.5,155.8
2018/2019,Nepean Blue Mountains,197.8,143.1
2018/2019,Northern NSW,144.8,111.7
2018/2019,Northern Sydney,116.3,118.1
2018/2019,South Eastern Sydney,124.5,119.1
2018/2019,South Western Sydney,168.3,171.9
2018/2019,Southern NSW,144.9,160.1
2018/2019,Sydney,124.0,116.1
2018/2019,Western NSW,124.6,105.5
2018/2019,Western Sydney,184.4,150.2
2019/2020,Central Coast,131.7,100.6
2019/2020,Far West,127.6,186.5
2019/2020,Hunter New England,144.2,154.7
2019/2020,Illawarra Shoalhaven,99.1,58.7
2019/2020,Mid North Coast,120.5,124.2
2019/2020,Murrumbidgee,179.1,110.5
2019/2020,Nepean Blue Mountains,138.1,109.2
2019/2020,Northern NSW,109.4,96.1
2019/2020,Northern Sydney,95.9,84.4
2019/2020,South Eastern Sydney,105.6,95.5
2019/2020,South Western Sydney,143.8,125.2
2019/2020,Southern NSW,121.1,93.5
2019/2020,Sydney,116.8,99.2
2019/2020,Western NSW,157.3,101.6
2019/2020,Western Sydney,161.8,117.6
2020/2021,Central Coast,81.1,69.8
2020/2021,Far West,153.4,81.5
2020/2021,Hunter New England,110.6,115.6
2020/2021,Illawarra Shoalhaven,72.9,47.4
2020/2021,Mid North Coast,80.5,86.2
2020/2021,Murrumbidgee,143.2,93.6
2020/2021,Nepean Blue Mountains,119.1,94.1
2020/2021,Northern NSW,79.9,84.1
2020/2021,Northern Sydney,74.5,69.9
2020/2021,South Eastern Sydney,75.3,69.7
2020/2021,South Western Sydney,104.8,100.9
2020/2021,Southern NSW,93.0,73.2
2020/2021,Sydney,99.4,84.8
2020/2021,Western NSW,86.9,95.3
2020/2021,Western Sydney,132.3,137.7
2021/2022,Central Coast,76.1,79.8
2021/2022,Far West,104.2,36.6
2021/2022,Hunter New England,87.2,96.3
2021/2022,Illawarra Shoalhaven,69.7,52.7
2021/2022,Mid North Coast,64.2,88.2
2021/2022,Murrumbidgee,191.0,103.4
2021/2022,Nepean Blue Mountains,113.1,85.1
2021/2022,Northern NSW,81.5,59.9
2021/2022,Northern Sydney,61.7,58.3
2021/2022,South Eastern Sydney,81.3,74.5
2021/2022,South Western Sydney,98.9,96.7
2021/2022,Southern NSW,99.1,47.6
2021/2022,Sydney,86.8,68.6
2021/2022,Western NSW,90.8,82.3
2021/2022,Western Sydney,106.8,113.6
