financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population","Persons rate per 100,000 population"
2018/2019,Murrumbidgee,670.5,501,586
2019/2020,Murrumbidgee,640.3,478,559.5
2020/2021,Murrumbidgee,607.9,458.9,533.3
2021/2022,Murrumbidgee,582.8,463.2,523.5
2022/2023,Murrumbidgee,761.7,651.8,707.9
2023/2024,Murrumbidgee,604.35,515.45,561.55
2014/2015,Nepean Blue Mountains,447,379.1,415.2
2015/2016,Nepean Blue Mountains,400.1,347.5,374.6
2016/2017,Nepean Blue Mountains,439.7,365.9,404.2
2017/2018,Nepean Blue Mountains,397.1,320.8,361.2
2018/2019,Nepean Blue Mountains,406.2,332.5,371.4
2019/2020,Nepean Blue Mountains,366.3,275.4,321.6
2020/2021,Nepean Blue Mountains,268,235.1,252.2
2021/2022,Nepean Blue Mountains,271.6,236.5,254.9
2022/2023,Nepean Blue Mountains,291.9,260.8,277.7
2023/2024,Nepean Blue Mountains,477.55,415.3,448.85
2014/2015,Northern NSW,663.2,569.8,620
2015/2016,Northern NSW,669.9,649.9,663.7
2016/2017,Northern NSW,620.7,544.5,586
2017/2018,Northern NSW,664,580.1,625.6
2018/2019,Northern NSW,583.3,496.5,542.7
2019/2020,Northern NSW,558.3,460.8,512.2
2020/2021,Northern NSW,480.8,375.9,431.1
2021/2022,Northern NSW,518.8,389.2,456.3
2022/2023,Northern NSW,552.4,449.9,504.8
2023/2024,Northern NSW,386.85,366.45,379.5
2014/2015,Northern Sydney,221.3,283,254.2
2015/2016,Northern Sydney,211.7,263.9,239.7
2016/2017,Northern Sydney,215.5,243.2,231
2017/2018,Northern Sydney,195.6,216.7,207.9
2018/2019,Northern Sydney,195,223,210.8
2019/2020,Northern Sydney,169.1,183.5,177.6
2020/2021,Northern Sydney,129.6,146.1,138.5
2021/2022,Northern Sydney,119.7,131.2,126
2022/2023,Northern Sydney,146.9,163.4,155.9
2023/2024,Northern Sydney,213.15,235.9,225.9
2014/2015,South Eastern Sydney,279.4,308.4,295.9
2015/2016,South Eastern Sydney,253.3,274.9,265.5
2016/2017,South Eastern Sydney,250,269.2,261
2017/2018,South Eastern Sydney,216.3,234.7,226.8
2018/2019,South Eastern Sydney,240.7,237.8,240.5
2019/2020,South Eastern Sydney,230.7,205.6,219
2020/2021,South Eastern Sydney,178.3,174.3,176.9
2021/2022,South Eastern Sydney,180.9,158.6,170.5
2022/2023,South Eastern Sydney,218,190,204.9
2023/2024,South Eastern Sydney,279.9,277.4,279.95
2014/2015,South Western Sydney,341.8,364.8,355
2015/2016,South Western Sydney,335.1,366.2,352.9
2016/2017,South Western Sydney,331.8,322.1,328.9
2017/2018,South Western Sydney,292.5,280.8,288.5
2018/2019,South Western Sydney,306.8,311.3,311.1
2019/2020,South Western Sydney,268.3,240.6,255.8
2020/2021,South Western Sydney,220.6,211.7,217.3
2021/2022,South Western Sydney,217.2,207.4,213.1
2022/2023,South Western Sydney,250.3,248.3,250.6
2023/2024,South Western Sydney,339.45,325.8,334.2
2014/2015,Southern NSW,428.6,403.3,417.8
2015/2016,Southern NSW,465.2,414.6,441.9
2016/2017,Southern NSW,476.8,453.7,467.2
2017/2018,Southern NSW,445.1,425,436.5
2018/2019,Southern NSW,560.6,427.8,494
2019/2020,Southern NSW,492.2,370.3,431
2020/2021,Southern NSW,375,331.7,354.1
2021/2022,Southern NSW,390.5,310.5,350.6
2022/2023,Southern NSW,440.6,418.8,431.2
2023/2024,Southern NSW,351.8,350.95,352.9
2014/2015,Sydney,263,283.1,274.6
2015/2016,Sydney,251,287.6,270.8
2016/2017,Sydney,255.5,263.7,261.4
2017/2018,Sydney,208.6,229.5,220.4
2018/2019,Sydney,233.1,244.4,239.9
2019/2020,Sydney,199.2,202.8,201.8
2020/2021,Sydney,183.8,191.9,188.2
2021/2022,Sydney,159.1,160.1,160.3
2022/2023,Sydney,206.4,193.3,200.4
2023/2024,Sydney,332.95,285,309.8
2014/2015,Western NSW,459.5,376.7,419.2
2015/2016,Western NSW,564.2,562.7,565.8
2016/2017,Western NSW,728.9,646.5,690.1
2017/2018,Western NSW,579,496.8,539.9
2018/2019,Western NSW,609,493.8,553.1
2019/2020,Western NSW,586.8,443,516.3
2020/2021,Western NSW,578.6,521.1,551.8
2021/2022,Western NSW,619.8,502.3,561.8
2022/2023,Western NSW,620.9,575.8,600.8
2023/2024,Western NSW,464,448.45,458.45
2014/2015,Western Sydney,307.1,321.1,316.1
2015/2016,Western Sydney,305.7,312.8,310.9
2016/2017,Western Sydney,298.5,307.5,304.2
2017/2018,Western Sydney,271.3,263.4,268.5
2018/2019,Western Sydney,279.2,257.9,269.2
2019/2020,Western Sydney,244.8,203.2,224.7
2020/2021,Western Sydney,184.8,188.5,187.3
2021/2022,Western Sydney,187.4,184,186.1
2022/2023,Western Sydney,220.4,209.3,215.7
2023/2024,Western Sydney,220.4,209.3,215.7
