"Respiratory disease hospitalisations by Disease type, Sex and LHD",,,,,,
Disease type,Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Influenza and pneumonia,Males,South Western Sydney LHD,20/21,230.7,217.8,244.1
Influenza and pneumonia,Males,South Western Sydney LHD,21/22,666.1,644.3,688.5
Influenza and pneumonia,Males,South Eastern Sydney LHD,1-Feb,282,264.4,300.4
Influenza and pneumonia,Males,South Eastern Sydney LHD,2-Mar,292.5,274.8,311
Influenza and pneumonia,Males,South Eastern Sydney LHD,3-Apr,301.1,283.2,319.8
Influenza and pneumonia,Males,South Eastern Sydney LHD,4-May,281.8,264.8,299.7
Influenza and pneumonia,Males,South Eastern Sydney LHD,5-Jun,270.1,253.5,287.6
Influenza and pneumonia,Males,South Eastern Sydney LHD,6-Jul,262.6,246.4,279.6
Influenza and pneumonia,Males,South Eastern Sydney LHD,7-Aug,275.2,258.8,292.3
Influenza and pneumonia,Males,South Eastern Sydney LHD,8-Sep,256.4,240.8,272.7
Influenza and pneumonia,Males,South Eastern Sydney LHD,9-Oct,258.4,242.9,274.6
Influenza and pneumonia,Males,South Eastern Sydney LHD,10-Nov,259.2,243.8,275.3
Influenza and pneumonia,Males,South Eastern Sydney LHD,11-Dec,303.9,287.4,321.1
Influenza and pneumonia,Males,South Eastern Sydney LHD,Dec-13,258.5,243.5,274.2
Influenza and pneumonia,Males,South Eastern Sydney LHD,13/14,239.1,224.7,254.1
Influenza and pneumonia,Males,South Eastern Sydney LHD,14/15,307.6,291.5,324.4
Influenza and pneumonia,Males,South Eastern Sydney LHD,15/16,291,275.5,307.1
Influenza and pneumonia,Males,South Eastern Sydney LHD,16/17,314.4,298.5,331
Influenza and pneumonia,Males,South Eastern Sydney LHD,17/18,350.7,334.1,367.9
Influenza and pneumonia,Males,South Eastern Sydney LHD,18/19,367.8,350.6,385.5
Influenza and pneumonia,Males,South Eastern Sydney LHD,19/20,339.4,323.1,356.3
Influenza and pneumonia,Males,South Eastern Sydney LHD,20/21,187.7,175.7,200.3
Influenza and pneumonia,Males,South Eastern Sydney LHD,21/22,367.1,350.4,384.4
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,1-Feb,286.8,261.9,313.4
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,2-Mar,251.4,228.5,276
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,3-Apr,252.2,229.3,276.7
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,4-May,293.5,269,319.7
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,5-Jun,280.3,256.4,305.8
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,6-Jul,259.6,237.2,283.5
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,7-Aug,282.5,259.1,307.4
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,8-Sep,336,310.9,362.7
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,9-Oct,328.7,304.1,354.8
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,10-Nov,294.4,271.7,318.6
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,11-Dec,304.5,281.7,328.6
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,Dec-13,331.6,308.3,356.2
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,13/14,345,321.5,369.8
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,14/15,387.5,362.4,413.9
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,15/16,350.7,326.8,375.9
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,16/17,350.6,327.4,375.2
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,17/18,419.5,394.4,445.7
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,18/19,404.8,380.1,430.8
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,19/20,399,374.7,424.6
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,20/21,256.5,237.3,276.9
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,21/22,379.2,355.8,403.8
Influenza and pneumonia,Males,Western Sydney LHD,1-Feb,311.1,289.4,333.9
Influenza and pneumonia,Males,Western Sydney LHD,2-Mar,299.1,278.1,321.2
Influenza and pneumonia,Males,Western Sydney LHD,3-Apr,317.7,296.5,339.9
Influenza and pneumonia,Males,Western Sydney LHD,4-May,284.8,264.6,306.1
Influenza and pneumonia,Males,Western Sydney LHD,5-Jun,291.7,271.5,313
Influenza and pneumonia,Males,Western Sydney LHD,6-Jul,292,272.2,312.7
Influenza and pneumonia,Males,Western Sydney LHD,7-Aug,311.6,291.5,332.6
Influenza and pneumonia,Males,Western Sydney LHD,8-Sep,304.6,285,325.2
Influenza and pneumonia,Males,Western Sydney LHD,9-Oct,317.2,297.8,337.5
Influenza and pneumonia,Males,Western Sydney LHD,10-Nov,305.5,286.6,325.2
Influenza and pneumonia,Males,Western Sydney LHD,11-Dec,348,328.2,368.6
Influenza and pneumonia,Males,Western Sydney LHD,Dec-13,301.9,283.9,320.8
Influenza and pneumonia,Males,Western Sydney LHD,13/14,330.3,311.9,349.5
Influenza and pneumonia,Males,Western Sydney LHD,14/15,335.9,317.5,355.1
Influenza and pneumonia,Males,Western Sydney LHD,15/16,343.5,325.4,362.2
Influenza and pneumonia,Males,Western Sydney LHD,16/17,352.2,334,371
Influenza and pneumonia,Males,Western Sydney LHD,17/18,415.5,396.2,435.5
Influenza and pneumonia,Males,Western Sydney LHD,18/19,400.4,381.9,419.5
Influenza and pneumonia,Males,Western Sydney LHD,19/20,372.9,355.3,391.2
Influenza and pneumonia,Males,Western Sydney LHD,20/21,230.3,216.8,244.5
Influenza and pneumonia,Males,Western Sydney LHD,21/22,546.9,526.3,568
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,1-Feb,410.2,374,448.7
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,2-Mar,344.1,312.6,377.7
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,3-Apr,362,330.1,395.9
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,4-May,364.9,332.2,399.8
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,5-Jun,341.5,309.4,375.8
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,6-Jul,344.1,312.9,377.5
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,7-Aug,447.8,412,485.7
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,8-Sep,340.9,309.9,374
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,9-Oct,325.6,296.5,356.7
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,10-Nov,413.6,380.7,448.4
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,11-Dec,372.1,341,405.2
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,Dec-13,329,300.6,359.3
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,13/14,342.5,314.1,372.9
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,14/15,392.5,362.4,424.3
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,15/16,392,362.5,423.2
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,16/17,370.6,342.3,400.6
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,17/18,475.3,443.7,508.5
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,18/19,422.6,393.2,453.6
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,19/20,374.8,347.5,403.8
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,20/21,247.6,225.7,271
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,21/22,370.2,343.8,398
Influenza and pneumonia,Males,Northern Sydney LHD,1-Feb,248.5,232.4,265.4
Influenza and pneumonia,Males,Northern Sydney LHD,2-Mar,247.3,231.4,263.9
Influenza and pneumonia,Males,Northern Sydney LHD,3-Apr,251.5,235.6,268.2
Influenza and pneumonia,Males,Northern Sydney LHD,4-May,264.3,248.2,281.3
Influenza and pneumonia,Males,Northern Sydney LHD,5-Jun,242.9,227.4,259
Influenza and pneumonia,Males,Northern Sydney LHD,6-Jul,240.2,225,256.1
Influenza and pneumonia,Males,Northern Sydney LHD,7-Aug,280.1,264,297
Influenza and pneumonia,Males,Northern Sydney LHD,8-Sep,268.7,253.1,285
Influenza and pneumonia,Males,Northern Sydney LHD,9-Oct,247.1,232.4,262.5
Influenza and pneumonia,Males,Northern Sydney LHD,10-Nov,267,251.8,282.9
Influenza and pneumonia,Males,Northern Sydney LHD,11-Dec,283.3,267.8,299.5
Influenza and pneumonia,Males,Northern Sydney LHD,Dec-13,241.3,227.2,256
Influenza and pneumonia,Males,Northern Sydney LHD,13/14,257.5,243.1,272.5
Influenza and pneumonia,Males,Northern Sydney LHD,14/15,306.7,291.1,323
Influenza and pneumonia,Males,Northern Sydney LHD,15/16,334.9,318.7,351.7
Influenza and pneumonia,Males,Northern Sydney LHD,16/17,320.2,304.6,336.5
Influenza and pneumonia,Males,Northern Sydney LHD,17/18,384.5,367.5,402.1
Influenza and pneumonia,Males,Northern Sydney LHD,18/19,360.8,344.4,377.8
Influenza and pneumonia,Males,Northern Sydney LHD,19/20,343,327,359.6
Influenza and pneumonia,Males,Northern Sydney LHD,20/21,185.3,173.7,197.4
Influenza and pneumonia,Males,Northern Sydney LHD,21/22,269.2,255.3,283.8
Influenza and pneumonia,Males,Central Coast LHD,1-Feb,294.6,268.3,322.8
Influenza and pneumonia,Males,Central Coast LHD,2-Mar,317.7,290.6,346.8
Influenza and pneumonia,Males,Central Coast LHD,3-Apr,308.5,281.6,337.3
Influenza and pneumonia,Males,Central Coast LHD,4-May,278.8,253.4,306.1
Influenza and pneumonia,Males,Central Coast LHD,5-Jun,321.6,294.5,350.6
Influenza and pneumonia,Males,Central Coast LHD,6-Jul,270.3,246.1,296.4
Influenza and pneumonia,Males,Central Coast LHD,7-Aug,306.9,281.2,334.3
Influenza and pneumonia,Males,Central Coast LHD,8-Sep,280.2,255.9,306.3
Influenza and pneumonia,Males,Central Coast LHD,9-Oct,285,260.7,311
Influenza and pneumonia,Males,Central Coast LHD,10-Nov,330.9,304.9,358.7
Influenza and pneumonia,Males,Central Coast LHD,11-Dec,305.2,280.5,331.6
Influenza and pneumonia,Males,Central Coast LHD,Dec-13,316.7,291.7,343.3
Influenza and pneumonia,Males,Central Coast LHD,13/14,317.3,292.8,343.3
Influenza and pneumonia,Males,Central Coast LHD,14/15,402.9,374.9,432.6
Influenza and pneumonia,Males,Central Coast LHD,15/16,404.2,376.4,433.6
Influenza and pneumonia,Males,Central Coast LHD,16/17,325.1,301,350.7
Influenza and pneumonia,Males,Central Coast LHD,17/18,422.5,394.6,451.8
Influenza and pneumonia,Males,Central Coast LHD,18/19,420.8,392.6,450.5
Influenza and pneumonia,Males,Central Coast LHD,19/20,409.6,382.1,438.6
Influenza and pneumonia,Males,Central Coast LHD,20/21,217.5,198.2,238.3
Influenza and pneumonia,Males,Central Coast LHD,21/22,352.7,327.6,379.4
Influenza and pneumonia,Males,Hunter New England LHD,1-Feb,354.7,336.2,373.8
Influenza and pneumonia,Males,Hunter New England LHD,2-Mar,355.9,337.6,375
Influenza and pneumonia,Males,Hunter New England LHD,3-Apr,362.9,344.6,382
Influenza and pneumonia,Males,Hunter New England LHD,4-May,371.9,353.5,391
Influenza and pneumonia,Males,Hunter New England LHD,5-Jun,326.1,308.9,343.9
Influenza and pneumonia,Males,Hunter New England LHD,6-Jul,330.3,313.4,347.9
Influenza and pneumonia,Males,Hunter New England LHD,7-Aug,330.4,313.6,347.9
Influenza and pneumonia,Males,Hunter New England LHD,8-Sep,323.1,306.6,340.2
Influenza and pneumonia,Males,Hunter New England LHD,9-Oct,316.6,300.4,333.3
Influenza and pneumonia,Males,Hunter New England LHD,10-Nov,321.3,305.2,338.1
Influenza and pneumonia,Males,Hunter New England LHD,11-Dec,358.1,341.2,375.6
Influenza and pneumonia,Males,Hunter New England LHD,Dec-13,305.2,289.9,321.1
Influenza and pneumonia,Males,Hunter New England LHD,13/14,325.8,310.1,342
Influenza and pneumonia,Males,Hunter New England LHD,14/15,391,373.9,408.6
Influenza and pneumonia,Males,Hunter New England LHD,15/16,398.9,381.6,416.8
Influenza and pneumonia,Males,Hunter New England LHD,16/17,395.9,379,413.4
Influenza and pneumonia,Males,Hunter New England LHD,17/18,461,443,479.6
Influenza and pneumonia,Males,Hunter New England LHD,18/19,417.6,400.4,435.4
Influenza and pneumonia,Males,Hunter New England LHD,19/20,379.1,362.9,395.7
Influenza and pneumonia,Males,Hunter New England LHD,20/21,253.1,240.3,266.4
Influenza and pneumonia,Males,Hunter New England LHD,21/22,318.2,303.7,333.4
Influenza and pneumonia,Males,Northern NSW LHD,1-Feb,375.9,344,409.9
Influenza and pneumonia,Males,Northern NSW LHD,2-Mar,362.3,331.2,395.5
Influenza and pneumonia,Males,Northern NSW LHD,3-Apr,346.5,316.1,379.2
Influenza and pneumonia,Males,Northern NSW LHD,4-May,306.6,278.4,337
Influenza and pneumonia,Males,Northern NSW LHD,5-Jun,328.9,299.3,360.7
Influenza and pneumonia,Males,Northern NSW LHD,6-Jul,282.3,255.6,311.2
Influenza and pneumonia,Males,Northern NSW LHD,7-Aug,350.7,321.2,382.2
Influenza and pneumonia,Males,Northern NSW LHD,8-Sep,313,285.3,342.6
Influenza and pneumonia,Males,Northern NSW LHD,9-Oct,342.4,313.3,373.6
Influenza and pneumonia,Males,Northern NSW LHD,10-Nov,306.5,279.4,335.5
Influenza and pneumonia,Males,Northern NSW LHD,11-Dec,348.9,320.5,379.2
Influenza and pneumonia,Males,Northern NSW LHD,Dec-13,287,261.5,314.3
Influenza and pneumonia,Males,Northern NSW LHD,13/14,325.9,298.3,355.4
Influenza and pneumonia,Males,Northern NSW LHD,14/15,320.6,293.8,349.2
Influenza and pneumonia,Males,Northern NSW LHD,15/16,387.6,357.9,419.2
Influenza and pneumonia,Males,Northern NSW LHD,16/17,375.3,346.8,405.6
Influenza and pneumonia,Males,Northern NSW LHD,17/18,445,413.9,477.9
Influenza and pneumonia,Males,Northern NSW LHD,18/19,399.8,369.5,431.9
Influenza and pneumonia,Males,Northern NSW LHD,19/20,414.7,384.7,446.4
Influenza and pneumonia,Males,Northern NSW LHD,20/21,212.6,192.1,234.8
Influenza and pneumonia,Males,Northern NSW LHD,21/22,320.8,295.6,347.8
Influenza and pneumonia,Males,Mid North Coast LHD,1-Feb,381.6,343.4,423
Influenza and pneumonia,Males,Mid North Coast LHD,2-Mar,427.1,387.2,470
Influenza and pneumonia,Males,Mid North Coast LHD,3-Apr,504.8,461.3,551.5
Influenza and pneumonia,Males,Mid North Coast LHD,4-May,421.5,382.9,463.1
Influenza and pneumonia,Males,Mid North Coast LHD,5-Jun,403.7,365.9,444.4
Influenza and pneumonia,Males,Mid North Coast LHD,6-Jul,389.1,352.4,428.7
Influenza and pneumonia,Males,Mid North Coast LHD,7-Aug,430.9,392.7,471.8
Influenza and pneumonia,Males,Mid North Coast LHD,8-Sep,391,354.7,430
Influenza and pneumonia,Males,Mid North Coast LHD,9-Oct,376.8,341.6,414.8
Influenza and pneumonia,Males,Mid North Coast LHD,10-Nov,340.1,308.2,374.7
Influenza and pneumonia,Males,Mid North Coast LHD,11-Dec,393,358.3,430.4
Influenza and pneumonia,Males,Mid North Coast LHD,Dec-13,399.6,365.3,436.6
Influenza and pneumonia,Males,Mid North Coast LHD,13/14,324.7,295.1,356.8
Influenza and pneumonia,Males,Mid North Coast LHD,14/15,399.9,366.2,436.1
Influenza and pneumonia,Males,Mid North Coast LHD,15/16,451.9,414.9,491.5
Influenza and pneumonia,Males,Mid North Coast LHD,16/17,408.1,373.7,445
Influenza and pneumonia,Males,Mid North Coast LHD,17/18,429.6,394.7,466.9
Influenza and pneumonia,Males,Mid North Coast LHD,18/19,399.5,366,435.4
Influenza and pneumonia,Males,Mid North Coast LHD,19/20,392.8,359.6,428.5
Influenza and pneumonia,Males,Mid North Coast LHD,20/21,285.5,257.5,315.8
Influenza and pneumonia,Males,Mid North Coast LHD,21/22,328.2,298.4,360.4
Influenza and pneumonia,Males,Southern NSW LHD,1-Feb,350.9,312.3,393
Influenza and pneumonia,Males,Southern NSW LHD,2-Mar,376,336.3,419
Influenza and pneumonia,Males,Southern NSW LHD,3-Apr,397.7,357.2,441.6
Influenza and pneumonia,Males,Southern NSW LHD,4-May,371.6,333.4,413
Influenza and pneumonia,Males,Southern NSW LHD,5-Jun,322,287,360.2
Influenza and pneumonia,Males,Southern NSW LHD,6-Jul,298.6,265,335.3
Influenza and pneumonia,Males,Southern NSW LHD,7-Aug,406.6,367.8,448.5
Influenza and pneumonia,Males,Southern NSW LHD,8-Sep,392.4,355.2,432.6
Influenza and pneumonia,Males,Southern NSW LHD,9-Oct,391.5,354.5,431.5
Influenza and pneumonia,Males,Southern NSW LHD,10-Nov,455.8,416.1,498.5
Influenza and pneumonia,Males,Southern NSW LHD,11-Dec,431.8,393.7,472.8
Influenza and pneumonia,Males,Southern NSW LHD,Dec-13,362.3,328.2,399.2
Influenza and pneumonia,Males,Southern NSW LHD,13/14,354.1,320.4,390.5
Influenza and pneumonia,Males,Southern NSW LHD,14/15,371.9,337.5,408.9
Influenza and pneumonia,Males,Southern NSW LHD,15/16,414.9,378.7,453.8
Influenza and pneumonia,Males,Southern NSW LHD,16/17,451.8,414.6,491.6
Influenza and pneumonia,Males,Southern NSW LHD,17/18,504.5,465.9,545.6
Influenza and pneumonia,Males,Southern NSW LHD,18/19,454.3,417.5,493.7
Influenza and pneumonia,Males,Southern NSW LHD,19/20,421.6,386.9,458.6
Influenza and pneumonia,Males,Southern NSW LHD,20/21,294.1,265.7,324.9
Influenza and pneumonia,Males,Southern NSW LHD,21/22,329.3,299.8,361.2
Influenza and pneumonia,Males,Murrumbidgee LHD,1-Feb,463.5,424.4,505.2
Influenza and pneumonia,Males,Murrumbidgee LHD,2-Mar,534.8,493.3,578.9
Influenza and pneumonia,Males,Murrumbidgee LHD,3-Apr,475.2,435.9,517
Influenza and pneumonia,Males,Murrumbidgee LHD,4-May,485.3,445.4,527.7
Influenza and pneumonia,Males,Murrumbidgee LHD,5-Jun,509.7,470.1,551.8
Influenza and pneumonia,Males,Murrumbidgee LHD,6-Jul,421.8,386,460.1
Influenza and pneumonia,Males,Murrumbidgee LHD,7-Aug,484.8,446.6,525.4
Influenza and pneumonia,Males,Murrumbidgee LHD,8-Sep,465.7,428.7,505.1
Influenza and pneumonia,Males,Murrumbidgee LHD,9-Oct,446.1,410,484.6
Influenza and pneumonia,Males,Murrumbidgee LHD,10-Nov,519.4,480.8,560.3
Influenza and pneumonia,Males,Murrumbidgee LHD,11-Dec,504.6,467,544.6
Influenza and pneumonia,Males,Murrumbidgee LHD,Dec-13,438.9,404.2,475.8
Influenza and pneumonia,Males,Murrumbidgee LHD,13/14,459.5,424.2,496.9
Influenza and pneumonia,Males,Murrumbidgee LHD,14/15,562.2,523.7,602.9
Influenza and pneumonia,Males,Murrumbidgee LHD,15/16,577.6,538.2,619.1
Influenza and pneumonia,Males,Murrumbidgee LHD,16/17,536.1,498.6,575.7
Influenza and pneumonia,Males,Murrumbidgee LHD,17/18,589.7,550.6,630.9
Influenza and pneumonia,Males,Murrumbidgee LHD,18/19,573.4,534.8,614.2
Influenza and pneumonia,Males,Murrumbidgee LHD,19/20,508.3,472.7,546
Influenza and pneumonia,Males,Murrumbidgee LHD,20/21,351,321.6,382.5
Influenza and pneumonia,Males,Murrumbidgee LHD,21/22,478.6,444.2,515.1
Influenza and pneumonia,Males,Western NSW LHD,1-Feb,569.8,528.6,613.5
Influenza and pneumonia,Males,Western NSW LHD,2-Mar,614,571.4,659
Influenza and pneumonia,Males,Western NSW LHD,3-Apr,658.9,614.6,705.6
Influenza and pneumonia,Males,Western NSW LHD,4-May,598.7,556.3,643.4
Influenza and pneumonia,Males,Western NSW LHD,5-Jun,554.7,514.5,597.1
Influenza and pneumonia,Males,Western NSW LHD,6-Jul,488.2,451.1,527.6
Influenza and pneumonia,Males,Western NSW LHD,7-Aug,544.3,505.2,585.5
Influenza and pneumonia,Males,Western NSW LHD,8-Sep,503.8,466.7,543
Influenza and pneumonia,Males,Western NSW LHD,9-Oct,552.3,513.4,593.3
Influenza and pneumonia,Males,Western NSW LHD,10-Nov,531.6,494.2,571.1
Influenza and pneumonia,Males,Western NSW LHD,11-Dec,511.8,475.6,550.2
Influenza and pneumonia,Males,Western NSW LHD,Dec-13,507.8,472.4,545.2
Influenza and pneumonia,Males,Western NSW LHD,13/14,426.5,394.1,460.8
Influenza and pneumonia,Males,Western NSW LHD,14/15,483.2,449.1,519.2
Influenza and pneumonia,Males,Western NSW LHD,15/16,545.3,508.9,583.7
Influenza and pneumonia,Males,Western NSW LHD,16/17,599.4,561.6,639.1
Influenza and pneumonia,Males,Western NSW LHD,17/18,564.7,528.2,603.2
Influenza and pneumonia,Males,Western NSW LHD,18/19,486.6,452.7,522.3
Influenza and pneumonia,Males,Western NSW LHD,19/20,456.8,424.2,491.4
Influenza and pneumonia,Males,Western NSW LHD,20/21,332.4,305,361.8
Influenza and pneumonia,Males,Western NSW LHD,21/22,418.6,388.3,450.8
Influenza and pneumonia,Males,Far West LHD,1-Feb,406.6,316.7,514.3
Influenza and pneumonia,Males,Far West LHD,2-Mar,488.7,386.1,610.1
Influenza and pneumonia,Males,Far West LHD,3-Apr,459.5,359.4,578.8
Influenza and pneumonia,Males,Far West LHD,4-May,390.4,298.2,502
Influenza and pneumonia,Males,Far West LHD,5-Jun,507.7,400.7,634.2
Influenza and pneumonia,Males,Far West LHD,6-Jul,407.5,318.1,514.9
Influenza and pneumonia,Males,Far West LHD,7-Aug,335.2,255.7,432.4
Influenza and pneumonia,Males,Far West LHD,8-Sep,471.6,373.5,588
Influenza and pneumonia,Males,Far West LHD,9-Oct,305.8,227.8,402.4
Influenza and pneumonia,Males,Far West LHD,10-Nov,385,294.9,494
Influenza and pneumonia,Males,Far West LHD,11-Dec,401.6,310.2,511.7
Influenza and pneumonia,Males,Far West LHD,Dec-13,358,275.4,458.6
Influenza and pneumonia,Males,Far West LHD,13/14,376.2,291.1,479.4
Influenza and pneumonia,Males,Far West LHD,14/15,372,287.7,474.4
Influenza and pneumonia,Males,Far West LHD,15/16,539.7,433.2,665
Influenza and pneumonia,Males,Far West LHD,16/17,420.3,327.7,531.7
Influenza and pneumonia,Males,Far West LHD,17/18,493,392,612.9
Influenza and pneumonia,Males,Far West LHD,18/19,559.8,454.6,683.1
Influenza and pneumonia,Males,Far West LHD,19/20,606.7,497,734.7
Influenza and pneumonia,Males,Far West LHD,20/21,460.8,366,573.9
Influenza and pneumonia,Males,Far West LHD,21/22,466.5,367.4,585
Influenza and pneumonia,Males,All LHDs,1-Feb,337,330.4,343.8
Influenza and pneumonia,Males,All LHDs,2-Mar,339.7,333.1,346.4
Influenza and pneumonia,Males,All LHDs,3-Apr,346.2,339.6,352.9
Influenza and pneumonia,Males,All LHDs,4-May,332.6,326.1,339.1
Influenza and pneumonia,Males,All LHDs,5-Jun,314,307.7,320.2
Influenza and pneumonia,Males,All LHDs,6-Jul,306,300,312.2
Influenza and pneumonia,Males,All LHDs,7-Aug,335.8,329.6,342.1
Influenza and pneumonia,Males,All LHDs,8-Sep,317.5,311.5,323.6
Influenza and pneumonia,Males,All LHDs,9-Oct,314.4,308.5,320.4
Influenza and pneumonia,Males,All LHDs,10-Nov,324.3,318.5,330.3
Influenza and pneumonia,Males,All LHDs,11-Dec,345.4,339.4,351.5
Influenza and pneumonia,Males,All LHDs,Dec-13,312.6,307,318.3
Influenza and pneumonia,Males,All LHDs,13/14,314.1,308.5,319.8
Influenza and pneumonia,Males,All LHDs,14/15,363.9,357.9,369.9
Influenza and pneumonia,Males,All LHDs,15/16,376.8,370.8,382.9
Influenza and pneumonia,Males,All LHDs,16/17,378.6,372.7,384.6
Influenza and pneumonia,Males,All LHDs,17/18,434.2,427.9,440.5
Influenza and pneumonia,Males,All LHDs,18/19,411,404.9,417.1
Influenza and pneumonia,Males,All LHDs,19/20,385.6,379.8,391.5
Influenza and pneumonia,Males,All LHDs,20/21,238.5,234,243.1
Influenza and pneumonia,Males,All LHDs,21/22,419.1,413.2,425.2
Influenza and pneumonia,Females,Sydney LHD,1-Feb,222.3,204.1,241.7
Influenza and pneumonia,Females,Sydney LHD,2-Mar,219.4,201.6,238.5
