financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population","Persons rate per 100,000 population"
2001/2002,Hunter New England,210.8,319.9,257.9
2002/2003,Hunter New England,212.2,323.3,258.8
2003/2004,Hunter New England,207.4,312.4,248.8
2004/2005,Hunter New England,199.7,283.1,232.8
2005/2006,Hunter New England,188.4,311.4,240.3
2006/2007,Hunter New England,193.0,290.8,232.6
2007/2008,Hunter New England,226.4,318.8,263.8
2008/2009,Hunter New England,212.0,303.9,249.4
2009/2010,Hunter New England,234.3,291.8,255.4
2010/2011,Hunter New England,232.5,308.6,262.5
2014/2015,Hunter New England,239.3,279.4,254.7
2015/2016,Hunter New England,235.0,293.3,259.9
2016/2017,Hunter New England,256.4,316.8,282.0
2017/2018,Hunter New England,256.1,284.2,267.1
2018/2019,Hunter New England,240.1,258.6,246.1
2019/2020,Hunter New England,217.0,244.2,228.2
2020/2021,Hunter New England,147.5,179.3,161.6
2021/2022,Hunter New England,150.0,172.1,160.1
2022/2023,Hunter New England,163.63333333333333,215.23333333333332,186.63333333333333
2023/2024,Hunter New England,177.26666666666668,258.3666666666667,213.16666666666666
2001/2002,Illawarra Shoalhaven,190.9,301.5,239.7
2002/2003,Illawarra Shoalhaven,203.6,291.2,239.5
2003/2004,Illawarra Shoalhaven,220.2,325.9,264.7
2004/2005,Illawarra Shoalhaven,203.5,287.4,239.4
2005/2006,Illawarra Shoalhaven,202.8,226.4,212.3
2006/2007,Illawarra Shoalhaven,199.4,250.5,220.7
2007/2008,Illawarra Shoalhaven,194.9,251.1,218.2
2008/2009,Illawarra Shoalhaven,198.6,275.6,231.2
2009/2010,Illawarra Shoalhaven,234.9,284.0,253.5
2010/2011,Illawarra Shoalhaven,222.0,314.8,262.8
2014/2015,Illawarra Shoalhaven,248.2,270.3,254.8
2015/2016,Illawarra Shoalhaven,233.0,245.4,235.9
2016/2017,Illawarra Shoalhaven,242.9,256.0,246.5
2017/2018,Illawarra Shoalhaven,254.9,262.4,256.2
2018/2019,Illawarra Shoalhaven,251.7,239.0,244.1
2019/2020,Illawarra Shoalhaven,240.3,225.6,231.8
2020/2021,Illawarra Shoalhaven,168.2,155.4,161.2
2021/2022,Illawarra Shoalhaven,158.6,146.3,151.7
2022/2023,Illawarra Shoalhaven,195.1,214.63333333333333,202.16666666666666
2023/2024,Illawarra Shoalhaven,231.60000000000002,282.9666666666667,252.63333333333333
2001/2002,Mid North Coast,268.1,351.3,303.1
2002/2003,Mid North Coast,230.2,351.9,286.7
2003/2004,Mid North Coast,244.9,394.6,310.5
2004/2005,Mid North Coast,206.8,366.0,279.2
2005/2006,Mid North Coast,202.0,340.3,262.2
2006/2007,Mid North Coast,169.9,292.5,223.0
2007/2008,Mid North Coast,237.9,287.0,257.7
2008/2009,Mid North Coast,266.2,318.7,288.0
2009/2010,Mid North Coast,241.8,327.4,281.1
2010/2011,Mid North Coast,264.8,303.2,279.8
2014/2015,Mid North Coast,289.7,303.9,295.4
2015/2016,Mid North Coast,292.0,355.1,319.2
2016/2017,Mid North Coast,264.5,331.8,294.6
2017/2018,Mid North Coast,289.0,313.1,299.1
2018/2019,Mid North Coast,268.5,264.9,265.5
2019/2020,Mid North Coast,272.8,242.3,256.8
2020/2021,Mid North Coast,224.3,181.9,203.5
2021/2022,Mid North Coast,190.0,177.7,183.7
2022/2023,Mid North Coast,238.53333333333333,329.9666666666667,275.76666666666665
2023/2024,Mid North Coast,287.06666666666666,482.23333333333335,367.8333333333333
2001/2002,Murrumbidgee,335.6,634.5,459.9
2002/2003,Murrumbidgee,396.5,696.5,522.8
2003/2004,Murrumbidgee,428.8,726.4,554.7
2004/2005,Murrumbidgee,423.9,677.0,523.3
2005/2006,Murrumbidgee,408.8,567.4,471.1
2006/2007,Murrumbidgee,343.1,466.1,394.1
2007/2008,Murrumbidgee,361.8,537.2,434.3
2008/2009,Murrumbidgee,400.7,446.9,415.7
2009/2010,Murrumbidgee,371.9,435.1,395.0
2010/2011,Murrumbidgee,362.1,454.3,399.7
2014/2015,Murrumbidgee,413.6,420.6,412.0
2015/2016,Murrumbidgee,363.9,429.9,390.3
2016/2017,Murrumbidgee,394.9,431.0,407.7
2017/2018,Murrumbidgee,382.3,431.7,401.4
2018/2019,Murrumbidgee,381.3,432.1,402.5
2019/2020,Murrumbidgee,351.7,395.6,368.7
2020/2021,Murrumbidgee,260.4,297.5,275.0
2021/2022,Murrumbidgee,252.3,241.4,245.5
2022/2023,Murrumbidgee,233.70000000000002,287.4666666666667,255.13333333333333
2023/2024,Murrumbidgee,215.1,333.53333333333336,264.76666666666665
2001/2002,Nepean Blue Mountains,196.5,379.6,274.4
2002/2003,Nepean Blue Mountains,237.8,347.6,283.1
2003/2004,Nepean Blue Mountains,222.7,307.2,258.3
2004/2005,Nepean Blue Mountains,239.6,290.6,260.4
2005/2006,Nepean Blue Mountains,222.2,315.5,258.5
2006/2007,Nepean Blue Mountains,267.4,358.9,305.3
2007/2008,Nepean Blue Mountains,227.9,351.1,280.1
2008/2009,Nepean Blue Mountains,243.7,288.9,262.0
2009/2010,Nepean Blue Mountains,222.3,280.6,245.1
2010/2011,Nepean Blue Mountains,244.9,285.0,256.9
2014/2015,Nepean Blue Mountains,241.1,289.6,260.9
2015/2016,Nepean Blue Mountains,237.6,285.6,256.5
2016/2017,Nepean Blue Mountains,277.6,301.6,284.8
2017/2018,Nepean Blue Mountains,271.7,271.9,268.8
2018/2019,Nepean Blue Mountains,247.4,224.9,235.1
2019/2020,Nepean Blue Mountains,209.6,207.6,207.5
2020/2021,Nepean Blue Mountains,141.0,132.4,135.4
2021/2022,Nepean Blue Mountains,122.5,160.6,138.9
2022/2023,Nepean Blue Mountains,141.66666666666666,199.66666666666666,166.9
2023/2024,Nepean Blue Mountains,160.83333333333334,238.73333333333335,194.9
2001/2002,Northern NSW,180.0,277.8,222.9
2002/2003,Northern NSW,195.0,311.0,244.8
2003/2004,Northern NSW,241.3,279.4,255.3
2004/2005,Northern NSW,210.0,256.0,228.7
2005/2006,Northern NSW,237.5,275.5,252.7
2006/2007,Northern NSW,190.6,248.4,216.3
2007/2008,Northern NSW,212.6,288.3,245.8
2008/2009,Northern NSW,245.7,334.0,285.1
2009/2010,Northern NSW,233.8,278.4,252.9
2010/2011,Northern NSW,238.8,299.7,265.0
2014/2015,Northern NSW,228.1,308.5,263.1
2015/2016,Northern NSW,230.1,285.6,254.6
2016/2017,Northern NSW,250.5,293.6,269.8
2017/2018,Northern NSW,272.3,256.1,263.6
2018/2019,Northern NSW,248.2,277.1,259.6
2019/2020,Northern NSW,229.6,282.9,253.4
2020/2021,Northern NSW,158.8,191.2,173.4
2021/2022,Northern NSW,164.4,174.2,167.8
2022/2023,Northern NSW,152.2,169.76666666666665,158.0
2023/2024,Northern NSW,140.0,165.33333333333334,148.20000000000002
2001/2002,Northern Sydney,127.8,160.9,138.4
2002/2003,Northern Sydney,112.8,129.2,116.7
2003/2004,Northern Sydney,106.9,134.4,116.0
2004/2005,Northern Sydney,104.7,142.2,118.7
2005/2006,Northern Sydney,96.1,127.8,108.2
2006/2007,Northern Sydney,91.7,117.1,101.8
2007/2008,Northern Sydney,111.5,142.4,123.3
2008/2009,Northern Sydney,104.3,127.0,112.5
2009/2010,Northern Sydney,106.4,127.5,113.5
2010/2011,Northern Sydney,113.3,123.4,116.8
2014/2015,Northern Sydney,120.8,128.0,123.5
2015/2016,Northern Sydney,116.0,138.7,125.2
2016/2017,Northern Sydney,109.3,112.2,109.3
2017/2018,Northern Sydney,102.9,115.4,108.1
2018/2019,Northern Sydney,93.4,115.8,102.9
2019/2020,Northern Sydney,78.9,95.9,85.5
2020/2021,Northern Sydney,58.1,66.3,61.2
2021/2022,Northern Sydney,56.1,65.5,60.5
2022/2023,Northern Sydney,87.93333333333334,128.73333333333332,105.26666666666668
2023/2024,Northern Sydney,119.76666666666667,191.96666666666664,150.03333333333336
2001/2002,South Eastern Sydney,151.6,255.2,194.8
2002/2003,South Eastern Sydney,138.2,271.2,193.8
2003/2004,South Eastern Sydney,147.3,231.4,181.1
2004/2005,South Eastern Sydney,136.4,229.2,173.9
2005/2006,South Eastern Sydney,126.7,192.6,154.6
2006/2007,South Eastern Sydney,115.3,203.0,151.2
2007/2008,South Eastern Sydney,130.0,220.0,168.2
2008/2009,South Eastern Sydney,131.2,202.4,161.1
2009/2010,South Eastern Sydney,110.5,172.8,135.2
2010/2011,South Eastern Sydney,116.1,170.4,139.3
2014/2015,South Eastern Sydney,123.3,154.2,135.9
2015/2016,South Eastern Sydney,125.6,150.1,135.7
2016/2017,South Eastern Sydney,122.2,161.8,139.7
2017/2018,South Eastern Sydney,119.1,142.0,129.1
2018/2019,South Eastern Sydney,117.9,140.7,127.8
2019/2020,South Eastern Sydney,105.7,136.5,118.5
2020/2021,South Eastern Sydney,65.0,91.8,76.8
2021/2022,South Eastern Sydney,62.4,75.6,68.3
2022/2023,South Eastern Sydney,115.7,173.8,139.6
2023/2024,South Eastern Sydney,169.0,272.0,210.89999999999998
2001/2002,South Western Sydney,222.3,370.2,282.2
2002/2003,South Western Sydney,221.0,347.9,272.5
2003/2004,South Western Sydney,230.6,315.1,262.4
2004/2005,South Western Sydney,216.5,318.8,257.5
2005/2006,South Western Sydney,202.9,298.0,243.2
2006/2007,South Western Sydney,203.5,303.9,244.5
2007/2008,South Western Sydney,243.3,295.3,263.3
2008/2009,South Western Sydney,238.7,300.1,262.8
2009/2010,South Western Sydney,219.0,276.6,241.0
2010/2011,South Western Sydney,190.1,270.0,221.8
2014/2015,South Western Sydney,191.1,256.2,219.1
2015/2016,South Western Sydney,213.2,265.2,234.9
2016/2017,South Western Sydney,221.0,275.6,243.9
2017/2018,South Western Sydney,229.3,244.7,233.1
2018/2019,South Western Sydney,215.7,257.5,232.2
2019/2020,South Western Sydney,189.2,212.6,198.0
2020/2021,South Western Sydney,113.5,151.1,129.7
2021/2022,South Western Sydney,105.2,127.0,114.9
2022/2023,South Western Sydney,149.13333333333333,203.63333333333333,172.36666666666667
2023/2024,South Western Sydney,193.06666666666666,280.26666666666665,229.83333333333334
2001/2002,Southern NSW,237.0,356.9,287.3
2002/2003,Southern NSW,227.6,357.4,285.6
2003/2004,Southern NSW,206.3,337.1,268.6
2004/2005,Southern NSW,249.5,342.5,289.8
2005/2006,Southern NSW,246.6,286.6,261.0
2006/2007,Southern NSW,190.2,260.6,220.6
2007/2008,Southern NSW,216.1,266.5,235.1
2008/2009,Southern NSW,264.9,246.3,251.8
2009/2010,Southern NSW,240.5,287.6,258.6
2010/2011,Southern NSW,234.9,307.8,266.4
2014/2015,Southern NSW,219.1,267.0,240.9
2015/2016,Southern NSW,224.7,289.5,253.5
2016/2017,Southern NSW,261.3,308.4,280.5
2017/2018,Southern NSW,313.5,353.1,330.4
2018/2019,Southern NSW,304.0,315.8,308.1
2019/2020,Southern NSW,251.0,272.4,260.7
2020/2021,Southern NSW,156.7,230.0,191.5
2021/2022,Southern NSW,140.7,190.1,164.4
2022/2023,Southern NSW,147.46666666666667,231.26666666666668,184.6
2023/2024,Southern NSW,154.23333333333332,272.43333333333334,204.8
2001/2002,Sydney,161.0,313.6,225.0
2002/2003,Sydney,150.9,282.3,207.2
2003/2004,Sydney,176.0,298.8,222.0
2004/2005,Sydney,150.3,326.7,220.4
2005/2006,Sydney,137.7,283.7,202.1
2006/2007,Sydney,148.3,275.6,203.8
2007/2008,Sydney,163.6,283.1,214.9
2008/2009,Sydney,171.8,340.0,245.2
2009/2010,Sydney,168.3,250.0,204.4
2010/2011,Sydney,133.5,254.7,186.9
2014/2015,Sydney,148.7,238.9,189.6
2015/2016,Sydney,136.8,241.5,184.1
2016/2017,Sydney,150.4,246.9,193.9
2017/2018,Sydney,149.2,236.8,189.4
2018/2019,Sydney,162.2,240.1,197.9
2019/2020,Sydney,146.6,204.0,172.0
2020/2021,Sydney,80.5,140.6,108.1
2021/2022,Sydney,67.8,102.0,83.1
2022/2023,Sydney,177.4,261.4,211.56666666666666
2023/2024,Sydney,287.0,420.8,340.0333333333333
2001/2002,Western NSW,396.6,580.2,468.5
2002/2003,Western NSW,375.7,592.7,462.6
2003/2004,Western NSW,422.3,563.3,478.4
2004/2005,Western NSW,359.2,574.6,447.1
2005/2006,Western NSW,357.7,551.9,436.3
2006/2007,Western NSW,329.1,444.5,375.0
2007/2008,Western NSW,359.1,478.9,410.5
2008/2009,Western NSW,320.0,544.7,418.2
2009/2010,Western NSW,354.3,483.9,408.4
2010/2011,Western NSW,357.3,410.1,372.9
2014/2015,Western NSW,369.0,376.1,366.8
2015/2016,Western NSW,333.0,375.6,349.6
2016/2017,Western NSW,345.9,380.9,360.9
2017/2018,Western NSW,381.7,391.3,382.6
2018/2019,Western NSW,347.4,320.3,331.9
2019/2020,Western NSW,333.0,346.5,337.8
2020/2021,Western NSW,269.5,274.3,269.5
2021/2022,Western NSW,261.5,225.6,242.6
2022/2023,Western NSW,240.93333333333334,253.23333333333332,242.93333333333334
2023/2024,Western NSW,220.36666666666667,280.8666666666667,243.26666666666665
2001/2002,Western Sydney,199.8,308.5,243.6
2002/2003,Western Sydney,188.3,313.7,240.4
2003/2004,Western Sydney,192.6,296.2,236.6
2004/2005,Western Sydney,173.3,296.5,221.2
2005/2006,Western Sydney,171.6,294.8,221.7
2006/2007,Western Sydney,182.9,289.1,223.5
2007/2008,Western Sydney,168.7,283.9,215.2
2008/2009,Western Sydney,203.3,277.2,231.7
2009/2010,Western Sydney,185.7,279.1,224.5
2010/2011,Western Sydney,198.4,259.2,221.2
2014/2015,Western Sydney,207.1,288.3,240.9
2015/2016,Western Sydney,218.4,260.3,234.0
2016/2017,Western Sydney,211.8,269.6,236.6
2017/2018,Western Sydney,217.1,222.9,217.1
2018/2019,Western Sydney,208.9,249.2,226.2
2019/2020,Western Sydney,193.5,204.9,197.4
2020/2021,Western Sydney,131.7,161.5,144.3
2021/2022,Western Sydney,118.9,127.3,121.3
2022/2023,Western Sydney,118.9,127.3,121.3
2023/2024,Western Sydney,118.9,127.3,121.3
